,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
15,E1,14/08/10,Ipswich,Burnley,1,1,0.4166666666666667,0.3125,0.3333333333333333,1011,Ipswich1011,Burnley1011,E11011,0.0625,0.39215686274509803,0.29411764705882354,0.3137254901960784,Liverpool,Stoke,1,1
39,E1,28/08/10,Ipswich,Bristol City,2,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Ipswich1011,Bristol City1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Portsmouth,Bolton,3,0
65,E1,14/09/10,Ipswich,QPR,0,3,0.4166666666666667,0.3076923076923077,0.3448275862068966,1011,Ipswich1011,QPR1011,E11011,0.06918656056587102,0.3897043622079801,0.28778168286127764,0.3225139549307422,Man City,West Ham,0,3
77,E1,18/09/10,Ipswich,Cardiff,2,0,0.4,0.3076923076923077,0.35714285714285715,1011,Ipswich1011,Cardiff1011,E11011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Chelsea,Aston Villa,3,0
113,E1,02/10/10,Ipswich,Leeds,2,1,0.5,0.29411764705882354,0.26666666666666666,1011,Ipswich1011,Leeds1011,E11011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Stoke,Hull,3,0
124,E1,16/10/10,Ipswich,Coventry,1,2,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Ipswich1011,Coventry1011,E11011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Bolton,Blackburn,0,3
160,E1,30/10/10,Ipswich,Millwall,2,0,0.5,0.30303030303030304,0.26666666666666666,1011,Ipswich1011,Millwall1011,E11011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Bolton,West Ham,3,0
182,E1,09/11/10,Ipswich,Derby,0,2,0.47619047619047616,0.3076923076923077,0.2857142857142857,1011,Ipswich1011,Derby1011,E11011,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,West Ham,Portsmouth,0,3
195,E1,13/11/10,Ipswich,Barnsley,1,3,0.5882352941176471,0.2777777777777778,0.2,1011,Ipswich1011,Barnsley1011,E11011,0.06601307189542482,0.5518087063151441,0.26057633353770693,0.187614960147149,Arsenal,Portsmouth,0,3
231,E1,04/12/10,Ipswich,Swansea,1,3,0.3802281368821293,0.3225806451612903,0.36363636363636365,1011,Ipswich1011,Swansea1011,E11011,0.06644514567978321,0.35653792266995676,0.3024821731038665,0.3409799042261768,Fulham,Portsmouth,0,3
250,E1,18/12/10,Ipswich,Leicester,3,0,0.3448275862068966,0.30303030303030304,0.4166666666666667,1011,Ipswich1011,Leicester1011,E11011,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,West Ham,Birmingham,3,0
287,E1,03/01/11,Ipswich,Nott'm Forest,0,1,0.3802281368821293,0.3125,0.37037037037037035,1011,Ipswich1011,Nott'm Forest1011,E11011,0.06309850725249966,0.35766030550151096,0.2939520635840543,0.3483876309144347,Tottenham,Blackburn,0,3
312,E1,22/01/11,Ipswich,Doncaster,3,2,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Ipswich1011,Doncaster1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,West Ham,Stoke,3,0
341,E1,05/02/11,Ipswich,Sheffield United,3,0,0.5235602094240838,0.29411764705882354,0.25,1011,Ipswich1011,Sheffield United1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Stoke,Bolton,3,0
369,E1,19/02/11,Ipswich,Hull,1,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Ipswich1011,Hull1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Man City,Tottenham,1,1
