,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
16,E1,14/08/10,Leicester,Middlesbrough,0,0,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Leicester1011,Middlesbrough1011,E11011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Arsenal,Portsmouth,1,1
40,E1,28/08/10,Leicester,Reading,1,2,0.4444444444444444,0.3076923076923077,0.3125,1011,Leicester1011,Reading1011,E11011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Chelsea,Stoke,0,3
66,E1,14/09/10,Leicester,Cardiff,2,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Leicester1011,Cardiff1011,E11011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Tottenham,Bolton,3,0
78,E1,18/09/10,Leicester,QPR,0,2,0.4,0.30303030303030304,0.36363636363636365,1011,Leicester1011,QPR1011,E11011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Everton,Wolves,0,3
114,E1,02/10/10,Leicester,Scunthorpe,3,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Leicester1011,Scunthorpe1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,West Ham,Everton,3,0
125,E1,16/10/10,Leicester,Hull,1,1,0.5464480874316939,0.2777777777777778,0.23809523809523808,1011,Leicester1011,Hull1011,E11011,0.062321103304709746,0.5143906919779547,0.2614819350887937,0.2241273729332517,Stoke,Portsmouth,1,1
161,E1,30/10/10,Leicester,Preston,1,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Leicester1011,Preston1011,E11011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Man United,Wolves,3,0
189,E1,10/11/10,Leicester,Sheffield United,2,2,0.5714285714285714,0.2857142857142857,0.21052631578947367,1011,Leicester1011,Sheffield United1011,E11011,0.06766917293233066,0.5352112676056339,0.26760563380281693,0.1971830985915493,Stoke,Birmingham,1,1
197,E1,13/11/10,Leicester,Derby,2,0,0.5,0.29411764705882354,0.26666666666666666,1011,Leicester1011,Derby1011,E11011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Arsenal,Everton,3,0
227,E1,29/11/10,Leicester,Nott'm Forest,1,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Leicester1011,Nott'm Forest1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Arsenal,Man United,3,0
241,E1,11/12/10,Leicester,Doncaster,5,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Leicester1011,Doncaster1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Chelsea,Arsenal,3,0
256,E1,26/12/10,Leicester,Leeds,2,2,0.48780487804878053,0.29411764705882354,0.2857142857142857,1011,Leicester1011,Leeds1011,E11011,0.06763681082188988,0.4569015166058744,0.2754847379535419,0.26761374544058353,Portsmouth,Stoke,1,1
288,E1,03/01/11,Leicester,Swansea,2,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Leicester1011,Swansea1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Man United,Fulham,3,0
313,E1,22/01/11,Leicester,Millwall,4,2,0.5988023952095809,0.26666666666666666,0.2,1011,Leicester1011,Millwall1011,E11011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Everton,Wolves,3,0
