,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
12,E2,13/08/10,Leyton Orient,Charlton,1,3,0.3448275862068966,0.3076923076923077,0.4166666666666667,1011,Leyton Orient1011,Charlton1011,E21011,0.06918656056587102,0.3225139549307422,0.28778168286127764,0.3897043622079801,Birmingham,Portsmouth,0,3
42,E2,28/08/10,Leyton Orient,Exeter,3,0,0.4444444444444444,0.3076923076923077,0.3125,1011,Leyton Orient1011,Exeter1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Man United,Tottenham,3,0
63,E2,11/09/10,Leyton Orient,Huddersfield,1,2,0.3333333333333333,0.3076923076923077,0.42016806722689076,1011,Leyton Orient1011,Huddersfield1011,E21011,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Chelsea,Wigan,0,3
84,E2,24/09/10,Leyton Orient,Brentford,1,0,0.4166666666666667,0.30303030303030304,0.3472222222222222,1011,Leyton Orient1011,Brentford1011,E21011,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Man City,Wigan,3,0
102,E2,28/09/10,Leyton Orient,Walsall,0,0,0.5128205128205129,0.3076923076923077,0.25,1011,Leyton Orient1011,Walsall1011,E21011,0.0705128205128207,0.47904191616766467,0.2874251497005988,0.23353293413173648,Portsmouth,Wigan,1,1
138,E2,16/10/10,Leyton Orient,Hartlepool,1,0,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Leyton Orient1011,Hartlepool1011,E21011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Wolves,Birmingham,3,0
162,E2,30/10/10,Leyton Orient,Rochdale,2,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,1011,Leyton Orient1011,Rochdale1011,E21011,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Aston Villa,Sunderland,3,0
195,E2,20/11/10,Leyton Orient,Bournemouth,2,2,0.4,0.3076923076923077,0.35714285714285715,1011,Leyton Orient1011,Bournemouth1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Arsenal,Portsmouth,1,1
250,E2,03/01/11,Leyton Orient,Colchester,4,2,0.4347826086956522,0.29411764705882354,0.3333333333333333,1011,Leyton Orient1011,Colchester1011,E21011,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,West Ham,Birmingham,3,0
288,E2,22/01/11,Leyton Orient,Sheffield Weds,4,0,0.3846153846153846,0.30303030303030304,0.3802281368821293,1011,Leyton Orient1011,Sheffield Weds1011,E21011,0.06787382452781676,0.36016931568245014,0.2837697638710213,0.3560609204465287,Man United,Fulham,3,0
296,E2,25/01/11,Leyton Orient,Milton Keynes Dons,2,2,0.4347826086956522,0.3076923076923077,0.3225806451612903,1011,Leyton Orient1011,Milton Keynes Dons1011,E21011,0.0650555615492503,0.40822528363047,0.28889789303079416,0.3028768233387358,Tottenham,Stoke,1,1
311,E2,01/02/11,Leyton Orient,Brighton,0,0,0.3333333333333333,0.3076923076923077,0.42016806722689076,1011,Leyton Orient1011,Brighton1011,E21011,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Tottenham,Portsmouth,1,1
329,E2,08/02/11,Leyton Orient,Swindon,3,0,0.5,0.30303030303030304,0.26666666666666666,1011,Leyton Orient1011,Swindon1011,E21011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Man United,Blackburn,3,0
336,E2,12/02/11,Leyton Orient,Bristol Rvs,4,1,0.5988023952095809,0.26666666666666666,0.2,1011,Leyton Orient1011,Bristol Rvs1011,E21011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Wigan,Portsmouth,3,0
390,E2,05/03/11,Leyton Orient,Notts County,2,0,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Leyton Orient1011,Notts County1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,West Brom,Newcastle,3,0
414,E2,12/03/11,Leyton Orient,Oldham,1,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Leyton Orient1011,Oldham1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Swansea,Reading,3,0
440,E2,22/03/11,Leyton Orient,Dag and Red,1,1,0.6172839506172839,0.2777777777777778,0.2,1011,Leyton Orient1011,Dag and Red1011,E21011,0.09506172839506166,0.5636978579481398,0.25366403607666294,0.1826381059751973,Coventry,Bristol City,1,1
449,E2,26/03/11,Leyton Orient,Yeovil,1,5,0.5464480874316939,0.2777777777777778,0.23809523809523808,1011,Leyton Orient1011,Yeovil1011,E21011,0.062321103304709746,0.5143906919779547,0.2614819350887937,0.2241273729332517,Watford,Barnsley,0,3
469,E2,05/04/11,Leyton Orient,Plymouth,2,0,0.5714285714285714,0.26666666666666666,0.2222222222222222,1011,Leyton Orient1011,Plymouth1011,E21011,0.0603174603174601,0.5389221556886228,0.251497005988024,0.20958083832335334,Middlesbrough,West Brom,3,0
481,E2,09/04/11,Leyton Orient,Southampton,0,2,0.26666666666666666,0.29411764705882354,0.5,1011,Leyton Orient1011,Southampton1011,E21011,0.0607843137254902,0.2513863216266174,0.27726432532347506,0.47134935304990755,Reading,Watford,0,3
486,E2,12/04/11,Leyton Orient,Carlisle,0,0,0.5405405405405405,0.2857142857142857,0.23809523809523808,1011,Leyton Orient1011,Carlisle1011,E21011,0.0643500643500643,0.5078597339782346,0.26844014510278114,0.22370012091898428,Nott'm Forest,Plymouth,1,1
507,E2,22/04/11,Leyton Orient,Peterboro,2,1,0.3472222222222222,0.29411764705882354,0.42016806722689076,1011,Leyton Orient1011,Peterboro1011,E21011,0.06150793650793651,0.32710280373831774,0.27707531610775155,0.3958218801539307,Middlesbrough,Reading,3,0
533,E2,30/04/11,Leyton Orient,Tranmere,0,3,0.5555555555555556,0.2777777777777778,0.23094688221709006,1011,Leyton Orient1011,Tranmere1011,E21011,0.0642802155504234,0.5220012055455093,0.26100060277275466,0.21699819168173598,Sheffield Weds,Preston,0,3
11,E2,07/08/10,Yeovil,Leyton Orient,2,1,0.4444444444444444,0.3076923076923077,0.3125,1011,Yeovil1011,Leyton Orient1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Wigan,Wolves,3,0
29,E2,21/08/10,Southampton,Leyton Orient,1,1,0.6944444444444444,0.23094688221709006,0.14285714285714285,1011,Southampton1011,Leyton Orient1011,E21011,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Man United,Arsenal,1,1
