,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
8,E0,15/08/10,Liverpool,Arsenal,1,1,0.4,0.3076923076923077,0.3472222222222222,1011,Liverpool1011,Arsenal1011,E01011,0.05491452991452994,0.3791776382418473,0.29167510633988253,0.32914725541827017,Man United,Birmingham,1,1
28,E0,29/08/10,Liverpool,West Brom,1,0,0.819672131147541,0.16666666666666666,0.06666666666666667,1011,Liverpool1011,West Brom1011,E01011,0.0530054644808744,0.7784120394395433,0.15827711468604044,0.06331084587441618,Chelsea,Burnley,3,0
54,E0,25/09/10,Liverpool,Sunderland,2,2,0.6944444444444444,0.23094688221709006,0.13333333333333333,1011,Liverpool1011,Sunderland1011,E01011,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Man United,Man City,1,1
68,E0,03/10/10,Liverpool,Blackpool,1,2,0.7518796992481203,0.2,0.1,1011,Liverpool1011,Blackpool1011,E01011,0.0518796992481203,0.7147962830593281,0.1901358112937813,0.09506790564689065,Wigan,Hull,0,3
87,E0,24/10/10,Liverpool,Blackburn,2,1,0.5988023952095809,0.2777777777777778,0.18181818181818182,1011,Liverpool1011,Blackburn1011,E01011,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Burnley,Wigan,3,0
108,E0,07/11/10,Liverpool,Chelsea,2,0,0.2631578947368421,0.29411764705882354,0.5,1011,Liverpool1011,Chelsea1011,E01011,0.05727554179566563,0.24890190336749632,0.2781844802342606,0.47291361639824303,Blackburn,Portsmouth,3,0
134,E0,20/11/10,Liverpool,West Ham,3,0,0.6369426751592356,0.2631578947368421,0.15384615384615385,1011,Liverpool1011,West Ham1011,E01011,0.05394672374223175,0.6043404859191113,0.24968804286658017,0.14597147121430842,West Ham,Burnley,3,0
158,E0,06/12/10,Liverpool,Aston Villa,3,0,0.6172839506172839,0.26666666666666666,0.16666666666666666,1011,Liverpool1011,Aston Villa1011,E01011,0.050617283950617376,0.5875440658049352,0.25381903642773207,0.15863689776733253,Liverpool,Arsenal,3,0
188,E0,29/12/10,Liverpool,Wolves,0,1,0.7518796992481203,0.2,0.1,1011,Liverpool1011,Wolves1011,E01011,0.0518796992481203,0.7147962830593281,0.1901358112937813,0.09506790564689065,Everton,Burnley,0,3
191,E0,01/01/11,Liverpool,Bolton,2,1,0.5882352941176471,0.26666666666666666,0.2,1011,Liverpool1011,Bolton1011,E01011,0.05490196078431375,0.5576208178438662,0.2527881040892193,0.1895910780669145,Man City,Wolves,3,0
218,E0,16/01/11,Liverpool,Everton,2,2,0.45454545454545453,0.3125,0.2857142857142857,1011,Liverpool1011,Everton1011,E01011,0.05275974025974017,0.4317656129529684,0.2968388589051658,0.27139552814186585,Chelsea,Birmingham,1,1
233,E0,26/01/11,Liverpool,Fulham,1,0,0.6535947712418301,0.2631578947368421,0.14285714285714285,1011,Liverpool1011,Fulham1011,E01011,0.059609808835815015,0.6168258974121139,0.2483535850106669,0.1348205175772192,Burnley,West Ham,3,0
243,E0,02/02/11,Liverpool,Stoke,2,0,0.6172839506172839,0.26666666666666666,0.16666666666666666,1011,Liverpool1011,Stoke1011,E01011,0.050617283950617376,0.5875440658049352,0.25381903642773207,0.15863689776733253,Man City,Bolton,3,0
258,E0,12/02/11,Liverpool,Wigan,1,1,0.7352941176470588,0.21052631578947367,0.1111111111111111,1011,Liverpool1011,Wigan1011,E01011,0.05693154454764349,0.6956875508543532,0.19918633034987795,0.10512611879576893,Chelsea,Wolves,1,1
284,E0,06/03/11,Liverpool,Man United,3,1,0.35714285714285715,0.3125,0.3846153846153846,1011,Liverpool1011,Man United1011,E01011,0.05425824175824179,0.33876221498371334,0.29641693811074915,0.3648208469055374,Chelsea,West Ham,3,0
317,E0,11/04/11,Liverpool,Man City,3,0,0.3846153846153846,0.3125,0.35714285714285715,1011,Liverpool1011,Man City1011,E01011,0.05425824175824179,0.3648208469055374,0.29641693811074915,0.33876221498371334,Arsenal,Wolves,3,0
330,E0,23/04/11,Liverpool,Birmingham,5,0,0.6944444444444444,0.23094688221709006,0.13333333333333333,1011,Liverpool1011,Birmingham1011,E01011,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Liverpool,Fulham,3,0
347,E0,01/05/11,Liverpool,Newcastle,3,0,0.6944444444444444,0.23094688221709006,0.13333333333333333,1011,Liverpool1011,Newcastle1011,E01011,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Aston Villa,Hull,3,0
367,E0,15/05/11,Liverpool,Tottenham,0,2,0.5780346820809249,0.2631578947368421,0.21052631578947367,1011,Liverpool1011,Tottenham1011,E01011,0.05171889260724072,0.5496094879953717,0.25021695111368236,0.20017356089094587,Wigan,Hull,0,3
19,E0,23/08/10,Man City,Liverpool,3,0,0.42016806722689076,0.3076923076923077,0.3225806451612903,1011,Man City1011,Liverpool1011,E01011,0.050441020080488785,0.39999205971097346,0.2929172621883437,0.30709067810068286,Man City,Wolves,3,0
