,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
19,E0,22/08/09,Man City,Wolves,1,0,0.7518796992481203,0.2222222222222222,0.08333333333333333,0910,Man City0910,Wolves0910,E00910,0.05743525480367584,0.7110408848508789,0.2101520837448153,0.07880703140430574,Man City,Wolves,3,0
38,E0,12/09/09,Man City,Arsenal,4,2,0.3472222222222222,0.3076923076923077,0.4,0910,Man City0910,Arsenal0910,E00910,0.05491452991452994,0.32914725541827017,0.29167510633988253,0.3791776382418473,Arsenal,Man City,3,0
65,E0,28/09/09,Man City,West Ham,3,1,0.6944444444444444,0.23094688221709006,0.13333333333333333,0910,Man City0910,West Ham0910,E00910,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Man City,West Ham,3,0
94,E0,25/10/09,Man City,Fulham,2,2,0.6944444444444444,0.23809523809523808,0.125,0910,Man City0910,Fulham0910,E00910,0.05753968253968256,0.6566604127579737,0.225140712945591,0.11819887429643527,Man City,Fulham,1,1
109,E0,07/11/09,Man City,Burnley,3,3,0.7518796992481203,0.21052631578947367,0.09090909090909091,0910,Man City0910,Burnley0910,E00910,0.05331510594668476,0.7138221933809216,0.19987021414665804,0.08630759247242052,Man City,Burnley,1,1
132,E0,28/11/09,Man City,Hull,1,1,0.7751937984496123,0.18181818181818182,0.09090909090909091,0910,Man City0910,Hull0910,E00910,0.04792107117688493,0.7397444519166108,0.17350369872225962,0.08675184936112981,Man City,Hull,1,1
142,E0,05/12/09,Man City,Chelsea,2,1,0.23809523809523808,0.29411764705882354,0.5235602094240838,0910,Man City0910,Chelsea0910,E00910,0.05577309457814539,0.22551743297680232,0.2785803583831088,0.4959022086400889,Chelsea,Man City,3,0
171,E0,19/12/09,Man City,Sunderland,4,3,0.6535947712418301,0.25,0.14285714285714285,0910,Man City0910,Sunderland0910,E00910,0.04645191409897298,0.6245817532902074,0.23890252063350434,0.13651572607628817,Man City,Sunderland,3,0
180,E0,26/12/09,Man City,Stoke,2,0,0.6944444444444444,0.23094688221709006,0.13333333333333333,0910,Man City0910,Stoke0910,E00910,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Man City,Stoke,3,0
199,E0,11/01/10,Man City,Blackburn,4,1,0.6944444444444444,0.23094688221709006,0.125,0910,Man City0910,Blackburn0910,E00910,0.05039132666153456,0.661129263749351,0.2198674687757657,0.11900326747488318,Man City,Blackburn,3,0
228,E0,31/01/10,Man City,Portsmouth,2,0,0.7751937984496123,0.2,0.07692307692307693,0910,Man City0910,Portsmouth0910,E00910,0.052116875372689275,0.7367943776921333,0.19009294944457042,0.07311267286329631,Man City,Portsmouth,3,0
243,E0,09/02/10,Man City,Bolton,2,0,0.6944444444444444,0.23809523809523808,0.125,0910,Man City0910,Bolton0910,E00910,0.05753968253968256,0.6566604127579737,0.225140712945591,0.11819887429643527,Man City,Bolton,3,0
262,E0,21/02/10,Man City,Liverpool,0,0,0.4166666666666667,0.30303030303030304,0.3333333333333333,0910,Man City0910,Liverpool0910,E00910,0.05303030303030298,0.3956834532374101,0.2877697841726619,0.31654676258992803,Man City,Liverpool,1,1
305,E0,24/03/10,Man City,Everton,0,2,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Man City0910,Everton0910,E00910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Man City,Everton,0,3
316,E0,29/03/10,Man City,Wigan,3,0,0.7518796992481203,0.21052631578947367,0.09090909090909091,0910,Man City0910,Wigan0910,E00910,0.05331510594668476,0.7138221933809216,0.19987021414665804,0.08630759247242052,Man City,Wigan,3,0
331,E0,11/04/10,Man City,Birmingham,5,1,0.7142857142857143,0.2222222222222222,0.11764705882352941,0910,Man City0910,Birmingham0910,E00910,0.05415499533146595,0.6775907883082374,0.21080602302922938,0.11160318866253321,Man City,Birmingham,3,0
340,E0,17/04/10,Man City,Man United,0,1,0.3472222222222222,0.2857142857142857,0.4166666666666667,0910,Man City0910,Man United0910,E00910,0.04960317460317465,0.33081285444234404,0.2722117202268431,0.39697542533081287,Man United,Man City,0,3
359,E0,01/05/10,Man City,Aston Villa,3,1,0.5464480874316939,0.2777777777777778,0.23094688221709006,0910,Man City0910,Aston Villa0910,E00910,0.05517274742656175,0.517875474669351,0.2632533662902535,0.2188711590403955,Man City,Aston Villa,3,0
