,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
8,E0,16/08/09,Man United,Birmingham,1,0,0.8333333333333334,0.16666666666666666,0.058823529411764705,0910,Man United0910,Birmingham0910,E00910,0.05882352941176472,0.7870370370370371,0.15740740740740738,0.05555555555555555,Man United,Birmingham,3,0
29,E0,29/08/09,Man United,Arsenal,2,1,0.45454545454545453,0.30303030303030304,0.2857142857142857,0910,Man United0910,Arsenal0910,E00910,0.04329004329004338,0.4356846473029045,0.2904564315352697,0.2738589211618257,Man United,Arsenal,3,0
54,E0,20/09/09,Man United,Man City,4,3,0.6369426751592356,0.25,0.16666666666666666,0910,Man United0910,Man City0910,E00910,0.05360934182590227,0.6045340050377834,0.23727959697732998,0.15818639798488665,Man United,Man City,3,0
69,E0,03/10/09,Man United,Sunderland,2,2,0.8333333333333334,0.15384615384615385,0.06666666666666667,0910,Man United0910,Sunderland0910,E00910,0.05384615384615388,0.7907542579075426,0.14598540145985403,0.0632603406326034,Man United,Sunderland,1,1
79,E0,17/10/09,Man United,Bolton,2,1,0.8333333333333334,0.18181818181818182,0.07692307692307693,0910,Man United0910,Bolton0910,E00910,0.09207459207459201,0.7630736392742797,0.16648879402347921,0.0704375667022412,Man United,Bolton,3,0
101,E0,31/10/09,Man United,Blackburn,2,0,0.8547008547008548,0.14285714285714285,0.05263157894736842,0910,Man United0910,Blackburn0910,E00910,0.05018957650536593,0.8138538734549016,0.13602986170603354,0.050116264839064985,Man United,Blackburn,3,0
122,E0,21/11/09,Man United,Everton,3,0,0.7142857142857143,0.2222222222222222,0.1111111111111111,0910,Man United0910,Everton0910,E00910,0.04761904761904767,0.6818181818181818,0.2121212121212121,0.10606060606060605,Man United,Everton,3,0
154,E0,12/12/09,Man United,Aston Villa,0,1,0.6666666666666666,0.23809523809523808,0.14285714285714285,0910,Man United0910,Aston Villa0910,E00910,0.04761904761904745,0.6363636363636365,0.2272727272727273,0.13636363636363638,Man United,Aston Villa,0,3
161,E0,15/12/09,Man United,Wolves,3,0,0.8547008547008548,0.14285714285714285,0.05263157894736842,0910,Man United0910,Wolves0910,E00910,0.05018957650536593,0.8138538734549016,0.13602986170603354,0.050116264839064985,Man United,Wolves,3,0
194,E0,30/12/09,Man United,Wigan,5,0,0.8333333333333334,0.15384615384615385,0.06666666666666667,0910,Man United0910,Wigan0910,E00910,0.05384615384615388,0.7907542579075426,0.14598540145985403,0.0632603406326034,Man United,Wigan,3,0
202,E0,16/01/10,Man United,Burnley,3,0,0.8547008547008548,0.14285714285714285,0.058823529411764705,0910,Man United0910,Burnley0910,E00910,0.056381526969762286,0.8090834919771553,0.13523252651618167,0.05568398150666304,Man United,Burnley,3,0
211,E0,23/01/10,Man United,Hull,4,0,0.8771929824561404,0.15384615384615385,0.06666666666666667,0910,Man United0910,Hull0910,E00910,0.09770580296896081,0.799114826653553,0.140152446520777,0.060732726825670026,Man United,Hull,3,0
236,E0,06/02/10,Man United,Portsmouth,5,0,0.8849557522123894,0.11764705882352941,0.043478260869565216,0910,Man United0910,Portsmouth0910,E00910,0.04608107190548405,0.8459724355784418,0.11246457084748696,0.04156299357407127,Man United,Portsmouth,3,0
264,E0,23/02/10,Man United,West Ham,3,0,0.8333333333333334,0.15384615384615385,0.06666666666666667,0910,Man United0910,West Ham0910,E00910,0.05384615384615388,0.7907542579075426,0.14598540145985403,0.0632603406326034,Man United,West Ham,3,0
288,E0,14/03/10,Man United,Fulham,3,0,0.819672131147541,0.16666666666666666,0.06666666666666667,0910,Man United0910,Fulham0910,E00910,0.0530054644808744,0.7784120394395433,0.15827711468604044,0.06331084587441618,Man United,Fulham,3,0
301,E0,21/03/10,Man United,Liverpool,2,1,0.5988023952095809,0.26666666666666666,0.18181818181818182,0910,Man United0910,Liverpool0910,E00910,0.04728724369442938,0.5717651950932151,0.2546261002148451,0.17360870469193984,Man United,Liverpool,3,0
320,E0,03/04/10,Man United,Chelsea,1,2,0.3802281368821293,0.3125,0.36363636363636365,0910,Man United0910,Chelsea0910,E00910,0.056364500518492955,0.3599402826349265,0.2958259197905802,0.3442337975744933,Man United,Chelsea,0,3
