,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
7,E1,07/08/10,Middlesbrough,Ipswich,1,3,0.5464480874316939,0.29411764705882354,0.2222222222222222,1011,Middlesbrough1011,Ipswich1011,E11011,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Wolves,West Ham,0,3
35,E1,22/08/10,Middlesbrough,Sheffield United,1,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Middlesbrough1011,Sheffield United1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Man City,Portsmouth,3,0
67,E1,14/09/10,Middlesbrough,Burnley,2,1,0.45454545454545453,0.3076923076923077,0.3076923076923077,1011,Middlesbrough1011,Burnley1011,E11011,0.06993006993007,0.4248366013071895,0.2875816993464052,0.2875816993464052,Burnley,Birmingham,3,0
79,E1,18/09/10,Middlesbrough,Reading,3,1,0.4347826086956522,0.3076923076923077,0.3225806451612903,1011,Middlesbrough1011,Reading1011,E11011,0.0650555615492503,0.40822528363047,0.28889789303079416,0.3028768233387358,Man United,Bolton,3,0
115,E1,02/10/10,Middlesbrough,Portsmouth,2,2,0.5,0.30303030303030304,0.2631578947368421,1011,Middlesbrough1011,Portsmouth1011,E11011,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Wigan,Fulham,1,1
126,E1,16/10/10,Middlesbrough,Leeds,1,2,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Middlesbrough1011,Leeds1011,E11011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Tottenham,Wigan,0,3
162,E1,30/10/10,Middlesbrough,Bristol City,1,2,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Middlesbrough1011,Bristol City1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Aston Villa,Sunderland,0,3
174,E1,06/11/10,Middlesbrough,Crystal Palace,2,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Middlesbrough1011,Crystal Palace1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Chelsea,West Ham,3,0
211,E1,20/11/10,Middlesbrough,Millwall,0,1,0.5235602094240838,0.29411764705882354,0.25,1011,Middlesbrough1011,Millwall1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man United,Hull,0,3
221,E1,27/11/10,Middlesbrough,Hull,2,2,0.47619047619047616,0.3076923076923077,0.2857142857142857,1011,Middlesbrough1011,Hull1011,E11011,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Chelsea,Burnley,1,1
242,E1,11/12/10,Middlesbrough,Cardiff,1,0,0.35714285714285715,0.3076923076923077,0.4,1011,Middlesbrough1011,Cardiff1011,E11011,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Fulham,Burnley,3,0
289,E1,03/01/11,Middlesbrough,Norwich,1,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,1011,Middlesbrough1011,Norwich1011,E11011,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Man City,Sunderland,1,1
314,E1,22/01/11,Middlesbrough,Preston,1,1,0.6369426751592356,0.25,0.18181818181818182,1011,Middlesbrough1011,Preston1011,E11011,0.0687608569774174,0.5959637003927942,0.23391575240417176,0.17012054720303402,Burnley,Blackburn,1,1
333,E1,01/02/11,Middlesbrough,Scunthorpe,2,0,0.6369426751592356,0.2631578947368421,0.16666666666666666,1011,Middlesbrough1011,Scunthorpe1011,E11011,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Chelsea,Bolton,3,0
357,E1,12/02/11,Middlesbrough,Swansea,3,4,0.4,0.3125,0.3472222222222222,1011,Middlesbrough1011,Swansea1011,E11011,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Everton,Fulham,0,3
396,E1,26/02/11,Middlesbrough,QPR,0,3,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Middlesbrough1011,QPR1011,E11011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Ipswich,Leicester,0,3
402,E1,01/03/11,Middlesbrough,Nott'm Forest,1,1,0.37037037037037035,0.3125,0.3802281368821293,1011,Middlesbrough1011,Nott'm Forest1011,E11011,0.06309850725249966,0.3483876309144347,0.2939520635840543,0.35766030550151096,Sheffield United,Watford,1,1
423,E1,08/03/11,Middlesbrough,Derby,2,1,0.5235602094240838,0.3076923076923077,0.23094688221709006,1011,Middlesbrough1011,Derby1011,E11011,0.06219939933348151,0.4929020010297615,0.2896747144513368,0.21742328451890172,Reading,Sheffield United,3,0
449,E1,19/03/11,Middlesbrough,Watford,2,1,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Middlesbrough1011,Watford1011,E11011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Watford,Barnsley,3,0
461,E1,02/04/11,Middlesbrough,Leicester,3,3,0.37037037037037035,0.3076923076923077,0.3846153846153846,1011,Middlesbrough1011,Leicester1011,E11011,0.06267806267806275,0.34852546916890076,0.28954423592493295,0.3619302949061662,Newcastle,Blackpool,1,1
499,E1,16/04/11,Middlesbrough,Barnsley,1,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Middlesbrough1011,Barnsley1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Barnsley,Ipswich,1,1
521,E1,25/04/11,Middlesbrough,Coventry,2,1,0.48780487804878053,0.29411764705882354,0.2857142857142857,1011,Middlesbrough1011,Coventry1011,E11011,0.06763681082188988,0.4569015166058744,0.2754847379535419,0.26761374544058353,Sheffield Weds,Coventry,3,0
545,E1,07/05/11,Middlesbrough,Doncaster,3,0,0.5988023952095809,0.26666666666666666,0.2,1011,Middlesbrough1011,Doncaster1011,E11011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Swansea,Blackpool,3,0
16,E1,14/08/10,Leicester,Middlesbrough,0,0,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Leicester1011,Middlesbrough1011,E11011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Arsenal,Portsmouth,1,1
36,E1,28/08/10,Barnsley,Middlesbrough,2,0,0.35714285714285715,0.3076923076923077,0.4,1011,Barnsley1011,Middlesbrough1011,E11011,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Blackburn,Wolves,3,0
56,E1,11/09/10,QPR,Middlesbrough,3,0,0.48780487804878053,0.30303030303030304,0.2777777777777778,1011,QPR1011,Middlesbrough1011,E11011,0.06861295885686136,0.4564841498559078,0.28357348703170027,0.25994236311239194,Birmingham,Bolton,3,0
95,E1,25/09/10,Watford,Middlesbrough,3,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,1011,Watford1011,Middlesbrough1011,E11011,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Arsenal,West Ham,3,0
