,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
17,E1,14/08/10,Millwall,Hull,4,0,0.4,0.3125,0.3472222222222222,1011,Millwall1011,Hull1011,E11011,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Birmingham,Stoke,3,0
41,E1,28/08/10,Millwall,Coventry,3,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Millwall1011,Coventry1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Sunderland,Hull,3,0
68,E1,14/09/10,Millwall,Reading,0,0,0.4166666666666667,0.3125,0.3333333333333333,1011,Millwall1011,Reading1011,E11011,0.0625,0.39215686274509803,0.29411764705882354,0.3137254901960784,Wigan,Hull,1,1
80,E1,18/09/10,Millwall,Watford,1,6,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Millwall1011,Watford1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Tottenham,Portsmouth,0,3
116,E1,02/10/10,Millwall,Burnley,1,1,0.4,0.30303030303030304,0.36363636363636365,1011,Millwall1011,Burnley1011,E11011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Liverpool,Birmingham,1,1
138,E1,19/10/10,Millwall,Portsmouth,0,1,0.47619047619047616,0.3076923076923077,0.2857142857142857,1011,Millwall1011,Portsmouth1011,E11011,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Wolves,Birmingham,0,3
149,E1,23/10/10,Millwall,Derby,2,0,0.4444444444444444,0.3076923076923077,0.3125,1011,Millwall1011,Derby1011,E11011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Birmingham,West Ham,3,0
184,E1,09/11/10,Millwall,Norwich,1,1,0.4444444444444444,0.3076923076923077,0.3125,1011,Millwall1011,Norwich1011,E11011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Arsenal,Aston Villa,1,1
198,E1,13/11/10,Millwall,Sheffield United,0,1,0.47619047619047616,0.3076923076923077,0.2857142857142857,1011,Millwall1011,Sheffield United1011,E11011,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Man United,Birmingham,0,3
233,E1,04/12/10,Millwall,Scunthorpe,3,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Millwall1011,Scunthorpe1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Burnley,West Ham,3,0
