,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
6,E2,08/08/09,Milton Keynes Dons,Hartlepool,0,0,0.5988023952095809,0.2777777777777778,0.19047619047619047,0910,Milton Keynes Dons0910,Hartlepool0910,E20910,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,Stoke,Burnley,1,1
43,E2,22/08/09,Milton Keynes Dons,Colchester,2,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Milton Keynes Dons0910,Colchester0910,E20910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Wigan,West Ham,3,0
68,E2,05/09/09,Milton Keynes Dons,Huddersfield,2,3,0.45454545454545453,0.29411764705882354,0.3125,0910,Milton Keynes Dons0910,Huddersfield0910,E20910,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Wigan,Hull,0,3
83,E2,14/09/09,Milton Keynes Dons,Norwich,2,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Milton Keynes Dons0910,Norwich0910,E20910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Blackburn,Burnley,3,0
103,E2,26/09/09,Milton Keynes Dons,Leeds,0,1,0.3333333333333333,0.29411764705882354,0.4347826086956522,0910,Milton Keynes Dons0910,Leeds0910,E20910,0.06223358908780918,0.3138041733547351,0.2768860353130016,0.40930979133226325,Stoke,Wolves,0,3
138,E2,10/10/09,Milton Keynes Dons,Walsall,1,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,0910,Milton Keynes Dons0910,Walsall0910,E20910,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Wolves,Birmingham,3,0
145,E2,17/10/09,Milton Keynes Dons,Gillingham,2,0,0.6172839506172839,0.2777777777777778,0.16666666666666666,0910,Milton Keynes Dons0910,Gillingham0910,E20910,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Wigan,Birmingham,3,0
175,E2,31/10/09,Milton Keynes Dons,Bristol Rvs,2,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Milton Keynes Dons0910,Bristol Rvs0910,E20910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Wolves,Burnley,3,0
209,E2,24/11/09,Milton Keynes Dons,Carlisle,3,4,0.5988023952095809,0.2777777777777778,0.18181818181818182,0910,Milton Keynes Dons0910,Carlisle0910,E20910,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Arsenal,Bolton,0,3
232,E2,05/12/09,Milton Keynes Dons,Yeovil,2,2,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,Milton Keynes Dons0910,Yeovil0910,E20910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Bolton,Fulham,1,1
255,E2,19/12/09,Milton Keynes Dons,Brentford,0,1,0.5780346820809249,0.2777777777777778,0.21052631578947367,0910,Milton Keynes Dons0910,Brentford0910,E20910,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Man United,Everton,0,3
265,E2,26/12/09,Milton Keynes Dons,Stockport,4,1,0.7352941176470588,0.2222222222222222,0.1111111111111111,0910,Milton Keynes Dons0910,Stockport0910,E20910,0.06862745098039214,0.6880733944954128,0.20795107033639143,0.10397553516819572,Birmingham,Wigan,3,0
301,E2,23/01/10,Milton Keynes Dons,Tranmere,1,0,0.6535947712418301,0.25,0.16666666666666666,0910,Milton Keynes Dons0910,Tranmere0910,E20910,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Man United,Liverpool,3,0
322,E2,30/01/10,Milton Keynes Dons,Exeter,1,1,0.6535947712418301,0.2631578947368421,0.15384615384615385,0910,Milton Keynes Dons0910,Exeter0910,E20910,0.07059881982482619,0.6104945747546898,0.245804394572283,0.143701030673027,Stoke,Hull,1,1
366,E2,20/02/10,Milton Keynes Dons,Southend,3,1,0.5780346820809249,0.2777777777777778,0.21052631578947367,0910,Milton Keynes Dons0910,Southend0910,E20910,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Arsenal,Blackburn,3,0
376,E2,23/02/10,Milton Keynes Dons,Millwall,1,3,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Milton Keynes Dons0910,Millwall0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Liverpool,Hull,0,3
400,E2,06/03/10,Milton Keynes Dons,Leyton Orient,1,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Milton Keynes Dons0910,Leyton Orient0910,E20910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Plymouth,QPR,3,0
