,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E2,07/08/10,Walsall,Milton Keynes Dons,1,2,0.4,0.3125,0.3472222222222222,1011,Walsall1011,Milton Keynes Dons1011,E21011,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Chelsea,Sunderland,0,3,1,0,0,0
1,E2,21/08/10,Carlisle,Milton Keynes Dons,4,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Carlisle1011,Milton Keynes Dons1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Everton,Burnley,3,0,0,0,1,1
2,E2,28/08/10,Milton Keynes Dons,Swindon,2,1,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Milton Keynes Dons1011,Swindon1011,E21011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Wigan,West Ham,3,0,1,0,0,0
3,E2,04/09/10,Milton Keynes Dons,Hartlepool,1,0,0.5780346820809249,0.2857142857142857,0.2,1011,Milton Keynes Dons1011,Hartlepool1011,E21011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Hull,Birmingham,3,0,1,0,1,1
4,E2,11/09/10,Brighton,Milton Keynes Dons,2,0,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Brighton1011,Milton Keynes Dons1011,E21011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Arsenal,Fulham,3,0,0,0,2,2
5,E2,15/09/10,Milton Keynes Dons,Southampton,2,0,0.4,0.29411764705882354,0.4,1011,Milton Keynes Dons1011,Southampton1011,E21011,0.09411764705882364,0.3655913978494624,0.26881720430107525,0.3655913978494624,Man United,Sunderland,3,0,1,0,0,0
6,E2,18/09/10,Milton Keynes Dons,Rochdale,1,1,0.5235602094240838,0.29411764705882354,0.25,1011,Milton Keynes Dons1011,Rochdale1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man City,Aston Villa,1,1,0,1,1,1
7,E2,25/09/10,Peterboro,Milton Keynes Dons,2,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Peterboro1011,Milton Keynes Dons1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Aston Villa,Wolves,3,0,0,0,0,2
8,E2,28/09/10,Charlton,Milton Keynes Dons,1,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Charlton1011,Milton Keynes Dons1011,E21011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Everton,Aston Villa,3,0,0,0,0,0
9,E2,02/10/10,Milton Keynes Dons,Colchester,1,1,0.4444444444444444,0.3076923076923077,0.3125,1011,Milton Keynes Dons1011,Colchester1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Stoke,Hull,1,1,0,1,0,0
10,E2,09/10/10,Milton Keynes Dons,Dag and Red,2,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Milton Keynes Dons1011,Dag and Red1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Stoke,Portsmouth,3,0,1,0,0,1
11,E2,16/10/10,Bournemouth,Milton Keynes Dons,3,2,0.45454545454545453,0.30303030303030304,0.3076923076923077,1011,Bournemouth1011,Milton Keynes Dons1011,E21011,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Man City,Hull,3,0,0,0,1,2
12,E2,23/10/10,Milton Keynes Dons,Exeter,1,0,0.5,0.30303030303030304,0.26666666666666666,1011,Milton Keynes Dons1011,Exeter1011,E21011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Birmingham,West Ham,3,0,1,0,0,0
13,E2,30/10/10,Tranmere,Milton Keynes Dons,4,2,0.3802281368821293,0.3076923076923077,0.3802281368821293,1011,Tranmere1011,Milton Keynes Dons1011,E21011,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,Tottenham,Man City,3,0,0,0,1,1
14,E2,02/11/10,Milton Keynes Dons,Yeovil,3,2,0.5235602094240838,0.29411764705882354,0.25,1011,Milton Keynes Dons1011,Yeovil1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Liverpool,Portsmouth,3,0,1,0,0,0
15,E2,13/11/10,Brentford,Milton Keynes Dons,0,2,0.4444444444444444,0.3076923076923077,0.3125,1011,Brentford1011,Milton Keynes Dons1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Liverpool,Wolves,0,3,1,0,1,1
16,E2,20/11/10,Milton Keynes Dons,Sheffield Weds,1,4,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Milton Keynes Dons1011,Sheffield Weds1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Stoke,Fulham,0,3,0,0,2,2
17,E2,23/11/10,Huddersfield,Milton Keynes Dons,4,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Huddersfield1011,Milton Keynes Dons1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Aston Villa,West Ham,3,0,0,0,0,0
18,E2,11/12/10,Notts County,Milton Keynes Dons,2,0,0.45454545454545453,0.3076923076923077,0.3076923076923077,1011,Notts County1011,Milton Keynes Dons1011,E21011,0.06993006993007,0.4248366013071895,0.2875816993464052,0.2875816993464052,Chelsea,Burnley,3,0,0,0,0,0
19,E2,28/12/10,Milton Keynes Dons,Bournemouth,2,0,0.4,0.3076923076923077,0.35714285714285715,1011,Milton Keynes Dons1011,Bournemouth1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Sunderland,Stoke,3,0,1,0,0,0
20,E2,01/01/11,Milton Keynes Dons,Bristol Rvs,2,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Milton Keynes Dons1011,Bristol Rvs1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Tottenham,Aston Villa,3,0,1,0,1,1
21,E2,03/01/11,Yeovil,Milton Keynes Dons,1,0,0.37037037037037035,0.3076923076923077,0.3846153846153846,1011,Yeovil1011,Milton Keynes Dons1011,E21011,0.06267806267806275,0.34852546916890076,0.28954423592493295,0.3619302949061662,Man United,Everton,3,0,0,0,2,2
22,E2,08/01/11,Exeter,Milton Keynes Dons,1,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Exeter1011,Milton Keynes Dons1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Aston Villa,Burnley,1,1,0,1,0,0
23,E2,15/01/11,Milton Keynes Dons,Tranmere,2,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Milton Keynes Dons1011,Tranmere1011,E21011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Tottenham,Everton,3,0,1,0,0,1
24,E2,18/01/11,Milton Keynes Dons,Plymouth,1,3,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Milton Keynes Dons1011,Plymouth1011,E21011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Burnley,Stoke,0,3,0,0,1,2
25,E2,22/01/11,Dag and Red,Milton Keynes Dons,0,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Dag and Red1011,Milton Keynes Dons1011,E21011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Arsenal,Hull,0,3,1,0,0,0
26,E2,25/01/11,Leyton Orient,Milton Keynes Dons,2,2,0.4347826086956522,0.3076923076923077,0.3225806451612903,1011,Leyton Orient1011,Milton Keynes Dons1011,E21011,0.0650555615492503,0.40822528363047,0.28889789303079416,0.3028768233387358,Tottenham,Stoke,1,1,0,1,1,1
27,E2,02/02/11,Bristol Rvs,Milton Keynes Dons,1,2,0.3802281368821293,0.30303030303030304,0.3846153846153846,1011,Bristol Rvs1011,Milton Keynes Dons1011,E21011,0.06787382452781698,0.3560609204465286,0.28376976387102126,0.36016931568245003,Man City,Wigan,0,3,1,0,0,2
28,E2,05/02/11,Sheffield Weds,Milton Keynes Dons,2,2,0.5,0.29411764705882354,0.27027027027027023,1011,Sheffield Weds1011,Milton Keynes Dons1011,E21011,0.06438791732909377,0.4697535474234503,0.2763256161314414,0.25392083644510827,Fulham,Wigan,1,1,0,1,1,3
29,E2,12/02/11,Milton Keynes Dons,Brentford,1,1,0.47619047619047616,0.3076923076923077,0.2777777777777778,1011,Milton Keynes Dons1011,Brentford1011,E21011,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Birmingham,Hull,1,1,0,1,0,4
30,E2,15/02/11,Milton Keynes Dons,Leyton Orient,2,3,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Milton Keynes Dons1011,Leyton Orient1011,E21011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Aston Villa,Portsmouth,0,3,0,0,0,5
31,E2,19/02/11,Hartlepool,Milton Keynes Dons,0,1,0.4,0.29411764705882354,0.37037037037037035,1011,Hartlepool1011,Milton Keynes Dons1011,E21011,0.06448801742919397,0.375767498976668,0.2762996316004912,0.34793286942284074,Aston Villa,Birmingham,0,3,1,0,0,0
32,E2,22/02/11,Milton Keynes Dons,Oldham,0,0,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Milton Keynes Dons1011,Oldham1011,E21011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Fulham,West Ham,1,1,0,1,1,1
33,E2,26/02/11,Milton Keynes Dons,Brighton,1,0,0.3333333333333333,0.3076923076923077,0.42016806722689076,1011,Milton Keynes Dons1011,Brighton1011,E21011,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Aston Villa,Blackburn,3,0,1,0,0,2
34,E2,05/03/11,Rochdale,Milton Keynes Dons,1,4,0.4347826086956522,0.29411764705882354,0.3333333333333333,1011,Rochdale1011,Milton Keynes Dons1011,E21011,0.06223358908780896,0.4093097913322633,0.27688603531300165,0.31380417335473515,Barnsley,Coventry,0,3,1,0,1,3
35,E2,08/03/11,Milton Keynes Dons,Charlton,2,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Milton Keynes Dons1011,Charlton1011,E21011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Scunthorpe,Derby,3,0,1,0,2,4
36,E2,12/03/11,Colchester,Milton Keynes Dons,1,3,0.4347826086956522,0.3076923076923077,0.3225806451612903,1011,Colchester1011,Milton Keynes Dons1011,E21011,0.0650555615492503,0.40822528363047,0.28889789303079416,0.3028768233387358,Middlesbrough,Scunthorpe,0,3,1,0,3,5
37,E2,21/03/11,Milton Keynes Dons,Peterboro,1,0,0.4,0.30303030303030304,0.36363636363636365,1011,Milton Keynes Dons1011,Peterboro1011,E21011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Sheffield United,West Brom,3,0,1,0,4,6
38,E2,25/03/11,Milton Keynes Dons,Walsall,1,1,0.5555555555555556,0.29411764705882354,0.21052631578947367,1011,Milton Keynes Dons1011,Walsall1011,E21011,0.06019951840385285,0.5240103828682673,0.2774172615184945,0.19857235561323813,Middlesbrough,Ipswich,1,1,0,1,5,7
39,E2,02/04/11,Southampton,Milton Keynes Dons,3,2,0.6535947712418301,0.25,0.16666666666666666,1011,Southampton1011,Milton Keynes Dons1011,E21011,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Sheffield United,Sheffield Weds,3,0,0,0,0,8
