,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
18,E0,22/08/10,Newcastle,Aston Villa,6,0,0.3125,0.3076923076923077,0.4347826086956522,1011,Newcastle1011,Aston Villa1011,E01011,0.054974916387959816,0.29621557360808404,0.2916584109371904,0.41212601545472566,Hull,Bolton,3,0
34,E0,11/09/10,Newcastle,Blackpool,0,2,0.6369426751592356,0.25,0.16666666666666666,1011,Newcastle1011,Blackpool1011,E01011,0.05360934182590227,0.6045340050377834,0.23727959697732998,0.15818639798488665,Everton,Wigan,0,3
58,E0,26/09/10,Newcastle,Stoke,1,2,0.5235602094240838,0.29411764705882354,0.23809523809523808,1011,Newcastle1011,Stoke1011,E01011,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Arsenal,Fulham,0,3
75,E0,16/10/10,Newcastle,Wigan,2,2,0.5464480874316939,0.2857142857142857,0.2222222222222222,1011,Newcastle1011,Wigan1011,E01011,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Man City,Aston Villa,1,1
98,E0,31/10/10,Newcastle,Sunderland,5,1,0.45454545454545453,0.3125,0.2857142857142857,1011,Newcastle1011,Sunderland1011,E01011,0.05275974025974017,0.4317656129529684,0.2968388589051658,0.27139552814186585,Burnley,Hull,3,0
116,E0,10/11/10,Newcastle,Blackburn,1,2,0.5235602094240838,0.29411764705882354,0.23809523809523808,1011,Newcastle1011,Blackburn1011,E01011,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Liverpool,Birmingham,0,3
122,E0,13/11/10,Newcastle,Fulham,0,0,0.5235602094240838,0.29411764705882354,0.23809523809523808,1011,Newcastle1011,Fulham1011,E01011,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Man United,Everton,1,1
148,E0,28/11/10,Newcastle,Chelsea,1,1,0.2,0.2777777777777778,0.5780346820809249,1011,Newcastle1011,Chelsea1011,E01011,0.055812459858702645,0.1894275807530872,0.26309386215706554,0.5474785570898474,Fulham,Sunderland,1,1
162,E0,11/12/10,Newcastle,Liverpool,3,1,0.2631578947368421,0.29411764705882354,0.5,1011,Newcastle1011,Liverpool1011,E01011,0.05727554179566563,0.24890190336749632,0.2781844802342606,0.47291361639824303,Aston Villa,Sunderland,3,0
177,E0,26/12/10,Newcastle,Man City,1,3,0.3076923076923077,0.3076923076923077,0.4444444444444444,1011,Newcastle1011,Man City1011,E01011,0.05982905982905984,0.2903225806451613,0.2903225806451613,0.4193548387096774,Burnley,Bolton,0,3
208,E0,05/01/11,Newcastle,West Ham,5,0,0.5464480874316939,0.2777777777777778,0.23094688221709006,1011,Newcastle1011,West Ham1011,E01011,0.05517274742656175,0.517875474669351,0.2632533662902535,0.2188711590403955,Arsenal,Bolton,3,0
227,E0,22/01/11,Newcastle,Tottenham,1,1,0.2857142857142857,0.29411764705882354,0.47619047619047616,1011,Newcastle1011,Tottenham1011,E01011,0.056022408963585235,0.27055702917771884,0.2785145888594165,0.4509283819628648,Arsenal,Man United,1,1
247,E0,05/02/11,Newcastle,Arsenal,4,4,0.2,0.25,0.5988023952095809,1011,Newcastle1011,Arsenal1011,E01011,0.04880239520958085,0.19069369112189552,0.2383671139023694,0.5709391949757351,Man United,Aston Villa,1,1
270,E0,26/02/11,Newcastle,Bolton,1,1,0.47619047619047616,0.3076923076923077,0.26666666666666666,1011,Newcastle1011,Bolton1011,E01011,0.05054945054945059,0.4532775453277545,0.2928870292887029,0.25383542538354253,Liverpool,Blackburn,1,1
282,E0,05/03/11,Newcastle,Everton,1,2,0.3846153846153846,0.3125,0.35714285714285715,1011,Newcastle1011,Everton1011,E01011,0.05425824175824179,0.3648208469055374,0.29641693811074915,0.33876221498371334,Bolton,Wigan,0,3
301,E0,02/04/11,Newcastle,Wolves,4,1,0.5128205128205129,0.29411764705882354,0.25,1011,Newcastle1011,Wolves1011,E01011,0.05693815987933637,0.48519443453442745,0.27827327863003926,0.23653228683553335,Man United,Liverpool,3,0
324,E0,19/04/11,Newcastle,Man United,0,0,0.18181818181818182,0.2777777777777778,0.5988023952095809,1011,Newcastle1011,Man United1011,E01011,0.05839835480554045,0.17178615309883705,0.26245106723433437,0.5657627796668286,Liverpool,Birmingham,1,1
352,E0,07/05/11,Newcastle,Birmingham,2,1,0.5235602094240838,0.29411764705882354,0.23809523809523808,1011,Newcastle1011,Birmingham1011,E01011,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,West Ham,Wigan,3,0
375,E0,22/05/11,Newcastle,West Brom,3,3,0.5,0.2857142857142857,0.26666666666666666,1011,Newcastle1011,West Brom1011,E01011,0.05238095238095242,0.4751131221719457,0.27149321266968324,0.25339366515837103,Everton,Portsmouth,1,1
9,E0,16/08/10,Man United,Newcastle,3,0,0.8,0.18181818181818182,0.06666666666666667,1011,Man United1011,Newcastle1011,E01011,0.048484848484848575,0.7630057803468208,0.17341040462427745,0.06358381502890173,Liverpool,Tottenham,3,0
25,E0,28/08/10,Wolves,Newcastle,1,1,0.4166666666666667,0.3125,0.3225806451612903,1011,Wolves1011,Newcastle1011,E01011,0.051747311827957,0.39616613418530355,0.2971246006389776,0.30670926517571884,Liverpool,Aston Villa,1,1
42,E0,18/09/10,Everton,Newcastle,0,1,0.6172839506172839,0.26666666666666666,0.16666666666666666,1011,Everton1011,Newcastle1011,E01011,0.050617283950617376,0.5875440658049352,0.25381903642773207,0.15863689776733253,Man United,Tottenham,0,3
69,E0,03/10/10,Man City,Newcastle,2,1,0.6944444444444444,0.25,0.11764705882352941,1011,Man City1011,Newcastle1011,E01011,0.06209150326797386,0.6538461538461539,0.2353846153846154,0.11076923076923077,Man United,Sunderland,3,0
85,E0,23/10/10,West Ham,Newcastle,1,2,0.42016806722689076,0.3076923076923077,0.3225806451612903,1011,West Ham1011,Newcastle1011,E01011,0.050441020080488785,0.39999205971097346,0.2929172621883437,0.30709067810068286,Fulham,Hull,0,3
107,E0,07/11/10,Arsenal,Newcastle,0,1,0.7751937984496123,0.18181818181818182,0.09090909090909091,1011,Arsenal1011,Newcastle1011,E01011,0.04792107117688493,0.7397444519166108,0.17350369872225962,0.08675184936112981,Aston Villa,Bolton,0,3
133,E0,20/11/10,Bolton,Newcastle,5,1,0.47619047619047616,0.30303030303030304,0.2777777777777778,1011,Bolton1011,Newcastle1011,E01011,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Man United,Portsmouth,3,0
157,E0,05/12/10,West Brom,Newcastle,3,1,0.4444444444444444,0.30303030303030304,0.3076923076923077,1011,West Brom1011,Newcastle1011,E01011,0.05516705516705511,0.4212076583210604,0.2871870397643594,0.2916053019145803,Tottenham,Wolves,3,0
