,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
7,E2,08/08/09,Norwich,Colchester,1,7,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Norwich0910,Colchester0910,E20910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Wolves,West Ham,0,3
44,E2,22/08/09,Norwich,Wycombe,5,2,0.5780346820809249,0.2857142857142857,0.2,0910,Norwich0910,Wycombe0910,E20910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Aston Villa,Birmingham,3,0
69,E2,05/09/09,Norwich,Walsall,0,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,0910,Norwich0910,Walsall0910,E20910,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Man United,Sunderland,1,1
90,E2,19/09/09,Norwich,Charlton,2,2,0.35714285714285715,0.3076923076923077,0.4,0910,Norwich0910,Charlton0910,E20910,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Tottenham,Stoke,1,1
113,E2,29/09/09,Norwich,Leyton Orient,4,0,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,Norwich0910,Leyton Orient0910,E20910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Stoke,Hull,3,0
125,E2,03/10/09,Norwich,Bristol Rvs,5,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Norwich0910,Bristol Rvs0910,E20910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Stoke,Portsmouth,3,0
165,E2,24/10/09,Norwich,Swindon,1,0,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,Norwich0910,Swindon0910,E20910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Liverpool,Wigan,3,0
187,E2,14/11/09,Norwich,Tranmere,2,0,0.7142857142857143,0.23094688221709006,0.11764705882352941,0910,Norwich0910,Tranmere0910,E20910,0.06287965532633377,0.6720287764529735,0.21728413095477203,0.11068709259225445,Chelsea,Fulham,3,0
210,E2,24/11/09,Norwich,Brighton,4,1,0.625,0.2631578947368421,0.17391304347826086,0910,Norwich0910,Brighton0910,E20910,0.06207093821510279,0.5884729329383249,0.2477780770266631,0.16374899003501214,Liverpool,Tottenham,3,0
233,E2,05/12/09,Norwich,Oldham,2,0,0.6666666666666666,0.25,0.14285714285714285,0910,Norwich0910,Oldham0910,E20910,0.059523809523809534,0.6292134831460674,0.23595505617977527,0.1348314606741573,Burnley,West Ham,3,0
256,E2,19/12/09,Norwich,Huddersfield,3,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Norwich0910,Huddersfield0910,E20910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Portsmouth,Stoke,3,0
266,E2,26/12/09,Norwich,Millwall,2,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,0910,Norwich0910,Millwall0910,E20910,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Bolton,Wolves,3,0
283,E2,09/01/10,Norwich,Exeter,3,1,0.7352941176470588,0.2222222222222222,0.1111111111111111,0910,Norwich0910,Exeter0910,E20910,0.06862745098039214,0.6880733944954128,0.20795107033639143,0.10397553516819572,Burnley,Wolves,3,0
302,E2,23/01/10,Norwich,Brentford,1,0,0.6666666666666666,0.25,0.14285714285714285,0910,Norwich0910,Brentford0910,E20910,0.059523809523809534,0.6292134831460674,0.23595505617977527,0.1348314606741573,West Ham,Wolves,3,0
323,E2,30/01/10,Norwich,Hartlepool,2,1,0.7692307692307692,0.2,0.09090909090909091,0910,Norwich0910,Hartlepool0910,E20910,0.060139860139859946,0.7255936675461742,0.18865435356200533,0.0857519788918206,Tottenham,Sunderland,3,0
367,E2,20/02/10,Norwich,Southampton,0,2,0.5464480874316939,0.2777777777777778,0.23809523809523808,0910,Norwich0910,Southampton0910,E20910,0.062321103304709746,0.5143906919779547,0.2614819350887937,0.2241273729332517,Wigan,Hull,0,3
377,E2,23/02/10,Norwich,Southend,2,1,0.6944444444444444,0.23809523809523808,0.13333333333333333,0910,Norwich0910,Southend0910,E20910,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Man United,Stoke,3,0
401,E2,06/03/10,Norwich,Yeovil,3,0,0.7352941176470588,0.2222222222222222,0.1111111111111111,0910,Norwich0910,Yeovil0910,E20910,0.06862745098039214,0.6880733944954128,0.20795107033639143,0.10397553516819572,Scunthorpe,Derby,3,0
452,E2,27/03/10,Norwich,Leeds,1,0,0.5,0.29411764705882354,0.26666666666666666,0910,Norwich0910,Leeds0910,E20910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Sheffield United,Coventry,3,0
472,E2,05/04/10,Norwich,Stockport,2,1,0.8333333333333334,0.16666666666666666,0.06666666666666667,0910,Norwich0910,Stockport0910,E20910,0.06666666666666665,0.78125,0.15625,0.0625,Peterboro,Reading,3,0
484,E2,10/04/10,Norwich,Milton Keynes Dons,1,1,0.6369426751592356,0.26666666666666666,0.16666666666666666,0910,Norwich0910,Milton Keynes Dons0910,E20910,0.0702760084925691,0.595120015869867,0.249156913310851,0.15572307081928186,Sheffield United,Swansea,1,1
522,E2,24/04/10,Norwich,Gillingham,2,0,0.6944444444444444,0.23094688221709006,0.14285714285714285,0910,Norwich0910,Gillingham0910,E20910,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,West Brom,Reading,3,0
546,E2,08/05/10,Norwich,Carlisle,0,2,0.7142857142857143,0.2222222222222222,0.125,0910,Norwich0910,Carlisle0910,E20910,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Reading,Leicester,0,3
14,E2,15/08/09,Exeter,Norwich,1,1,0.37037037037037035,0.3076923076923077,0.3846153846153846,0910,Exeter0910,Norwich0910,E20910,0.06267806267806275,0.34852546916890076,0.28954423592493295,0.3619302949061662,Tottenham,Hull,1,1
24,E2,18/08/09,Brentford,Norwich,2,1,0.42016806722689076,0.29411764705882354,0.3472222222222222,0910,Brentford0910,Norwich0910,E20910,0.06150793650793651,0.3958218801539307,0.27707531610775155,0.32710280373831774,Tottenham,West Ham,3,0
52,E2,29/08/09,Hartlepool,Norwich,0,2,0.3472222222222222,0.29411764705882354,0.42016806722689076,0910,Hartlepool0910,Norwich0910,E20910,0.06150793650793651,0.32710280373831774,0.27707531610775155,0.3958218801539307,Chelsea,Tottenham,0,3
83,E2,14/09/09,Milton Keynes Dons,Norwich,2,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Milton Keynes Dons0910,Norwich0910,E20910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Blackburn,Burnley,3,0
99,E2,26/09/09,Gillingham,Norwich,1,1,0.4,0.30303030303030304,0.36363636363636365,0910,Gillingham0910,Norwich0910,E20910,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Everton,Aston Villa,1,1
133,E2,10/10/09,Carlisle,Norwich,0,1,0.3472222222222222,0.29411764705882354,0.42016806722689076,0910,Carlisle0910,Norwich0910,E20910,0.06150793650793651,0.32710280373831774,0.27707531610775155,0.3958218801539307,Man United,Portsmouth,0,3
154,E2,19/10/09,Leeds,Norwich,2,1,0.5780346820809249,0.2857142857142857,0.2,0910,Leeds0910,Norwich0910,E20910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Man United,Aston Villa,3,0
176,E2,31/10/09,Stockport,Norwich,1,3,0.23094688221709006,0.2857142857142857,0.5464480874316939,0910,Stockport0910,Norwich0910,E20910,0.06310925536306966,0.21723720403338773,0.2687534552755911,0.5140093406910212,Chelsea,Birmingham,0,3
200,E2,21/11/09,Southampton,Norwich,2,2,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Southampton0910,Norwich0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Chelsea,Sunderland,1,1
224,E2,01/12/09,Southend,Norwich,0,3,0.3125,0.30303030303030304,0.4444444444444444,0910,Southend0910,Norwich0910,E20910,0.0599747474747474,0.2948183442525313,0.2858844550327576,0.41929720071471116,Liverpool,Bolton,0,3
249,E2,12/12/09,Yeovil,Norwich,3,3,0.23094688221709006,0.2857142857142857,0.5464480874316939,0910,Yeovil0910,Norwich0910,E20910,0.06310925536306966,0.21723720403338773,0.2687534552755911,0.5140093406910212,Chelsea,Everton,1,1
281,E2,02/01/10,Wycombe,Norwich,0,1,0.18181818181818182,0.2631578947368421,0.6172839506172839,0910,Wycombe0910,Norwich0910,E20910,0.06226002717230772,0.171161652671968,0.24773397097258523,0.5811043763554469,Everton,Birmingham,0,3
285,E2,16/01/10,Colchester,Norwich,0,5,0.37037037037037035,0.3076923076923077,0.3846153846153846,0910,Colchester0910,Norwich0910,E20910,0.06267806267806275,0.34852546916890076,0.28954423592493295,0.3619302949061662,Arsenal,Hull,0,3
315,E2,26/01/10,Walsall,Norwich,1,2,0.23809523809523808,0.2777777777777778,0.5464480874316939,0910,Walsall0910,Norwich0910,E20910,0.062321103304709746,0.2241273729332517,0.2614819350887937,0.5143906919779547,Liverpool,Sunderland,0,3
335,E2,06/02/10,Millwall,Norwich,2,1,0.3333333333333333,0.3125,0.42016806722689076,0910,Millwall0910,Norwich0910,E20910,0.06600140056022408,0.31269502381343406,0.29315158482509446,0.39415339136147154,Arsenal,Tottenham,3,0
347,E2,13/02/10,Brighton,Norwich,1,2,0.25,0.2857142857142857,0.5235602094240838,0910,Brighton0910,Norwich0910,E20910,0.059274495138369465,0.23601059135039718,0.26972639011473964,0.4942630185348632,Aston Villa,Hull,0,3
389,E2,27/02/10,Oldham,Norwich,0,1,0.23094688221709006,0.2857142857142857,0.5464480874316939,0910,Oldham0910,Norwich0910,E20910,0.06310925536306966,0.21723720403338773,0.2687534552755911,0.5140093406910212,Watford,Doncaster,0,3
415,E2,13/03/10,Huddersfield,Norwich,1,3,0.35714285714285715,0.3076923076923077,0.4,0910,Huddersfield0910,Norwich0910,E20910,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Newcastle,Sheffield Weds,0,3
435,E2,20/03/10,Swindon,Norwich,1,1,0.3333333333333333,0.3076923076923077,0.42016806722689076,0910,Swindon0910,Norwich0910,E20910,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,QPR,Scunthorpe,1,1
458,E2,02/04/10,Tranmere,Norwich,3,1,0.2222222222222222,0.2857142857142857,0.5555555555555556,0910,Tranmere0910,Norwich0910,E20910,0.06349206349206349,0.208955223880597,0.26865671641791045,0.5223880597014926,Middlesbrough,Sheffield Weds,3,0
497,E2,13/04/10,Leyton Orient,Norwich,2,1,0.21052631578947367,0.2777777777777778,0.5714285714285714,0910,Leyton Orient0910,Norwich0910,E20910,0.05973266499582275,0.19865983445013796,0.2621206148994876,0.5392195506503745,Newcastle,QPR,3,0
505,E2,17/04/10,Charlton,Norwich,0,1,0.3846153846153846,0.29411764705882354,0.3846153846153846,0910,Charlton0910,Norwich0910,E20910,0.06334841628959276,0.36170212765957444,0.2765957446808511,0.36170212765957444,Plymouth,Scunthorpe,0,3
528,E2,01/05/10,Bristol Rvs,Norwich,0,3,0.29411764705882354,0.3125,0.45454545454545453,0910,Bristol Rvs0910,Norwich0910,E20910,0.06116310160427818,0.27716535433070866,0.2944881889763779,0.4283464566929133,Leicester,Crystal Palace,0,3
