,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
23,E1,15/08/10,Nott'm Forest,Leeds,1,1,0.5464480874316939,0.29411764705882354,0.2222222222222222,1011,Nott'm Forest1011,Leeds1011,E11011,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Chelsea,Fulham,1,1
42,E1,28/08/10,Nott'm Forest,Norwich,1,1,0.5235602094240838,0.29411764705882354,0.25,1011,Nott'm Forest1011,Norwich1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man United,Tottenham,1,1
54,E1,11/09/10,Nott'm Forest,Millwall,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Nott'm Forest1011,Millwall1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Man United,Man City,1,1
91,E1,25/09/10,Nott'm Forest,Swansea,3,1,0.45454545454545453,0.3125,0.29411764705882354,1011,Nott'm Forest1011,Swansea1011,E11011,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Aston Villa,Wolves,3,0
102,E1,28/09/10,Nott'm Forest,Sheffield United,1,1,0.5235602094240838,0.2777777777777778,0.2631578947368421,1011,Nott'm Forest1011,Sheffield United1011,E11011,0.06449588193870359,0.491838642410297,0.26094772416768536,0.2472136334220177,Portsmouth,Wigan,1,1
140,E1,19/10/10,Nott'm Forest,Middlesbrough,1,0,0.5235602094240838,0.29411764705882354,0.25,1011,Nott'm Forest1011,Middlesbrough1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Aston Villa,Hull,3,0
151,E1,23/10/10,Nott'm Forest,Ipswich,2,0,0.47619047619047616,0.3076923076923077,0.2857142857142857,1011,Nott'm Forest1011,Ipswich1011,E11011,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Burnley,Fulham,3,0
185,E1,09/11/10,Nott'm Forest,Coventry,2,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Nott'm Forest1011,Coventry1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Man United,Hull,3,0
199,E1,13/11/10,Nott'm Forest,QPR,0,0,0.4,0.3076923076923077,0.35714285714285715,1011,Nott'm Forest1011,QPR1011,E11011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Man City,Blackburn,1,1
252,E1,18/12/10,Nott'm Forest,Crystal Palace,3,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Nott'm Forest1011,Crystal Palace1011,E11011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Man City,Stoke,3,0
271,E1,29/12/10,Nott'm Forest,Derby,5,2,0.5235602094240838,0.3076923076923077,0.23094688221709006,1011,Nott'm Forest1011,Derby1011,E11011,0.06219939933348151,0.4929020010297615,0.2896747144513368,0.21742328451890172,Sunderland,Fulham,3,0
280,E1,01/01/11,Nott'm Forest,Barnsley,2,2,0.6172839506172839,0.2777777777777778,0.16666666666666666,1011,Nott'm Forest1011,Barnsley1011,E11011,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Burnley,Stoke,1,1
304,E1,15/01/11,Nott'm Forest,Portsmouth,2,1,0.5988023952095809,0.26666666666666666,0.2,1011,Nott'm Forest1011,Portsmouth1011,E11011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Blackburn,Birmingham,3,0
321,E1,25/01/11,Nott'm Forest,Bristol City,1,0,0.6535947712418301,0.2631578947368421,0.15384615384615385,1011,Nott'm Forest1011,Bristol City1011,E11011,0.07059881982482619,0.6104945747546898,0.245804394572283,0.143701030673027,Blackburn,Portsmouth,3,0
