,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
4,E2,07/08/10,Peterboro,Bristol Rvs,3,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Peterboro1011,Bristol Rvs1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Arsenal,Everton,3,0
26,E2,21/08/10,Peterboro,Huddersfield,4,2,0.4166666666666667,0.30303030303030304,0.3472222222222222,1011,Peterboro1011,Huddersfield1011,E21011,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Blackburn,West Ham,3,0
64,E2,11/09/10,Peterboro,Oldham,5,2,0.5780346820809249,0.2857142857142857,0.2,1011,Peterboro1011,Oldham1011,E21011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Sunderland,Wolves,3,0
91,E2,25/09/10,Peterboro,Milton Keynes Dons,2,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Peterboro1011,Milton Keynes Dons1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Aston Villa,Wolves,3,0
103,E2,28/09/10,Peterboro,Notts County,2,3,0.5988023952095809,0.26666666666666666,0.2,1011,Peterboro1011,Notts County1011,E21011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Stoke,Wolves,0,3
141,E2,16/10/10,Peterboro,Swindon,5,4,0.5464480874316939,0.2857142857142857,0.23809523809523808,1011,Peterboro1011,Swindon1011,E21011,0.07025761124121765,0.5105762217359592,0.26695842450765866,0.2224653537563822,Liverpool,Blackburn,3,0
165,E2,30/10/10,Peterboro,Brighton,0,3,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Peterboro1011,Brighton1011,E21011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Liverpool,Wigan,0,3
185,E2,13/11/10,Peterboro,Charlton,1,5,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Peterboro1011,Charlton1011,E21011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Man United,Hull,0,3
209,E2,23/11/10,Peterboro,Leyton Orient,2,2,0.5235602094240838,0.2777777777777778,0.26666666666666666,1011,Peterboro1011,Leyton Orient1011,E21011,0.06800465386852816,0.49022277901846506,0.2600904188681301,0.24968680211340488,Arsenal,Bolton,1,1
216,E2,10/12/10,Peterboro,Rochdale,2,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Peterboro1011,Rochdale1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Arsenal,Aston Villa,3,0
253,E2,03/01/11,Peterboro,Walsall,4,1,0.6369426751592356,0.25,0.18181818181818182,1011,Peterboro1011,Walsall1011,E21011,0.0687608569774174,0.5959637003927942,0.23391575240417176,0.17012054720303402,Wigan,Bolton,3,0
266,E2,11/01/11,Peterboro,Brentford,2,1,0.46511627906976744,0.29411764705882354,0.3076923076923077,1011,Peterboro1011,Brentford1011,E21011,0.06692623382089868,0.4359404280501035,0.27566821185521256,0.2883913600946839,Bolton,Wolves,3,0
291,E2,22/01/11,Peterboro,Hartlepool,4,0,0.5235602094240838,0.2777777777777778,0.26666666666666666,1011,Peterboro1011,Hartlepool1011,E21011,0.06800465386852816,0.49022277901846506,0.2600904188681301,0.24968680211340488,Aston Villa,Wigan,3,0
313,E2,01/02/11,Peterboro,Sheffield Weds,5,3,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Peterboro1011,Sheffield Weds1011,E21011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Everton,Wolves,3,0
325,E2,05/02/11,Peterboro,Southampton,4,4,0.3333333333333333,0.2857142857142857,0.4444444444444444,1011,Peterboro1011,Southampton1011,E21011,0.06349206349206349,0.3134328358208955,0.26865671641791045,0.417910447761194,Everton,West Ham,1,1
355,E2,19/02/11,Peterboro,Tranmere,2,1,0.5988023952095809,0.27027027027027023,0.2,1011,Peterboro1011,Tranmere1011,E21011,0.06907266547985103,0.5601138393532957,0.25280813830270366,0.18707802234400076,Liverpool,Burnley,3,0
364,E2,22/02/11,Peterboro,Colchester,1,1,0.5464480874316939,0.26666666666666666,0.25,1011,Peterboro1011,Colchester1011,E21011,0.06311475409836054,0.5140066820868672,0.2508352608583912,0.23515805705474174,Chelsea,Liverpool,1,1
391,E2,05/03/11,Peterboro,Exeter,3,0,0.5780346820809249,0.26666666666666666,0.2222222222222222,1011,Peterboro1011,Exeter1011,E21011,0.06692357096981372,0.5417770286539851,0.24993980255237178,0.20828316879364314,Coventry,Ipswich,3,0
415,E2,12/03/11,Peterboro,Carlisle,6,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Peterboro1011,Carlisle1011,E21011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Newcastle,Sheffield Weds,3,0
457,E2,01/04/11,Peterboro,Bournemouth,3,3,0.5555555555555556,0.2631578947368421,0.25,1011,Peterboro1011,Bournemouth1011,E21011,0.06871345029239762,0.5198358413132695,0.24623803009575923,0.23392612859097128,Preston,Scunthorpe,1,1
494,E2,16/04/11,Peterboro,Plymouth,2,1,0.7142857142857143,0.2222222222222222,0.13333333333333333,1011,Peterboro1011,Plymouth1011,E21011,0.06984126984126982,0.6676557863501484,0.20771513353115725,0.12462908011869436,Preston,Reading,3,0
522,E2,25/04/11,Peterboro,Yeovil,2,2,0.6666666666666666,0.23094688221709006,0.16666666666666666,1011,Peterboro1011,Yeovil1011,E21011,0.0642802155504234,0.6264014466546112,0.21699819168173598,0.1566003616636528,West Brom,Reading,1,1
547,E2,07/05/11,Peterboro,Dag and Red,5,0,0.5235602094240838,0.26666666666666666,0.2777777777777778,1011,Peterboro1011,Dag and Red1011,E21011,0.06800465386852839,0.49022277901846495,0.24968680211340483,0.26009041886813006,QPR,Leicester,3,0
13,E2,14/08/10,Bournemouth,Peterboro,5,1,0.3125,0.3076923076923077,0.4444444444444444,1011,Bournemouth1011,Peterboro1011,E21011,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Man United,Burnley,3,0
45,E2,28/08/10,Plymouth,Peterboro,0,3,0.4,0.3076923076923077,0.35714285714285715,1011,Plymouth1011,Peterboro1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Fulham,Everton,0,3
54,E2,04/09/10,Tranmere,Peterboro,1,0,0.26666666666666666,0.2857142857142857,0.5128205128205129,1011,Tranmere1011,Peterboro1011,E21011,0.06520146520146541,0.2503438789546079,0.26822558459422274,0.4814305364511692,Man United,Man City,3,0
73,E2,18/09/10,Exeter,Peterboro,2,2,0.3225806451612903,0.29411764705882354,0.4444444444444444,1011,Exeter1011,Peterboro1011,E21011,0.06114273666455827,0.3039936419630439,0.27717067355454006,0.41883568448241604,Everton,Stoke,1,1
109,E2,02/10/10,Carlisle,Peterboro,0,1,0.4166666666666667,0.29411764705882354,0.35714285714285715,1011,Carlisle1011,Peterboro1011,E21011,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,Man City,Burnley,0,3
124,E2,09/10/10,Hartlepool,Peterboro,2,0,0.3125,0.29411764705882354,0.45454545454545453,1011,Hartlepool1011,Peterboro1011,E21011,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Bolton,Blackburn,3,0
144,E2,23/10/10,Brentford,Peterboro,2,1,0.36363636363636365,0.30303030303030304,0.4,1011,Brentford1011,Peterboro1011,E21011,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Man United,West Ham,3,0
177,E2,02/11/10,Walsall,Peterboro,1,3,0.3125,0.29411764705882354,0.45454545454545453,1011,Walsall1011,Peterboro1011,E21011,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Burnley,Bolton,0,3
200,E2,20/11/10,Southampton,Peterboro,4,1,0.5988023952095809,0.26666666666666666,0.2,1011,Southampton1011,Peterboro1011,E21011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Chelsea,Sunderland,3,0
232,E2,28/12/10,Swindon,Peterboro,1,1,0.4347826086956522,0.2857142857142857,0.3472222222222222,1011,Swindon1011,Peterboro1011,E21011,0.06771911663216024,0.4072069160539711,0.2675931162640381,0.3251999676819907,Bolton,Fulham,1,1
269,E2,15/01/11,Brighton,Peterboro,3,1,0.5780346820809249,0.26666666666666666,0.2222222222222222,1011,Brighton1011,Peterboro1011,E21011,0.06692357096981372,0.5417770286539851,0.24993980255237178,0.20828316879364314,Arsenal,Stoke,3,0
300,E2,28/01/11,Colchester,Peterboro,2,1,0.42016806722689076,0.29411764705882354,0.3472222222222222,1011,Colchester1011,Peterboro1011,E21011,0.06150793650793651,0.3958218801539307,0.27707531610775155,0.32710280373831774,Man City,Fulham,3,0
332,E2,12/02/11,Charlton,Peterboro,3,2,0.5,0.2777777777777778,0.2857142857142857,1011,Charlton1011,Peterboro1011,E21011,0.06349206349206349,0.4701492537313433,0.2611940298507463,0.26865671641791045,Wolves,Stoke,3,0
349,E2,15/02/11,Yeovil,Peterboro,0,2,0.35714285714285715,0.29411764705882354,0.4166666666666667,1011,Yeovil1011,Peterboro1011,E21011,0.06792717086834732,0.3344262295081967,0.2754098360655738,0.39016393442622954,Bolton,Portsmouth,0,3
372,E2,26/02/11,Oldham,Peterboro,0,5,0.4166666666666667,0.2857142857142857,0.36363636363636365,1011,Oldham1011,Peterboro1011,E21011,0.06601731601731586,0.3908629441624366,0.26802030456852793,0.34111675126903557,Bolton,Birmingham,0,3
402,E2,08/03/11,Notts County,Peterboro,0,1,0.4166666666666667,0.3076923076923077,0.37037037037037035,1011,Notts County1011,Peterboro1011,E21011,0.09472934472934469,0.38061158100195186,0.28106701366297987,0.3383214053350683,Sheffield United,Watford,0,3
424,E2,15/03/11,Sheffield Weds,Peterboro,1,4,0.3846153846153846,0.29411764705882354,0.3846153846153846,1011,Sheffield Weds1011,Peterboro1011,E21011,0.06334841628959276,0.36170212765957444,0.2765957446808511,0.36170212765957444,Sheffield Weds,Scunthorpe,0,3
436,E2,21/03/11,Milton Keynes Dons,Peterboro,1,0,0.4,0.30303030303030304,0.36363636363636365,1011,Milton Keynes Dons1011,Peterboro1011,E21011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Sheffield United,West Brom,3,0
442,E2,25/03/11,Bristol Rvs,Peterboro,2,2,0.25,0.2777777777777778,0.5405405405405405,1011,Bristol Rvs1011,Peterboro1011,E21011,0.06831831831831825,0.23401264933239635,0.26001405481377377,0.5059732958538299,Sheffield United,Derby,1,1
468,E2,05/04/11,Dag and Red,Peterboro,0,2,0.3076923076923077,0.2857142857142857,0.47619047619047616,1011,Dag and Red1011,Peterboro1011,E21011,0.06959706959706957,0.28767123287671237,0.2671232876712329,0.4452054794520548,Doncaster,Ipswich,0,3
480,E2,09/04/11,Huddersfield,Peterboro,1,1,0.4347826086956522,0.2857142857142857,0.3472222222222222,1011,Huddersfield1011,Peterboro1011,E21011,0.06771911663216024,0.4072069160539711,0.2675931162640381,0.3251999676819907,QPR,Barnsley,1,1
507,E2,22/04/11,Leyton Orient,Peterboro,2,1,0.3472222222222222,0.29411764705882354,0.42016806722689076,1011,Leyton Orient1011,Peterboro1011,E21011,0.06150793650793651,0.32710280373831774,0.27707531610775155,0.3958218801539307,Middlesbrough,Reading,3,0
535,E2,30/04/11,Rochdale,Peterboro,2,2,0.37037037037037035,0.29411764705882354,0.4,1011,Rochdale1011,Peterboro1011,E21011,0.06448801742919397,0.34793286942284074,0.2762996316004912,0.375767498976668,Watford,Sheffield Weds,1,1
