,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
21,E2,14/08/10,Plymouth,Carlisle,1,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Plymouth1011,Carlisle1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Man United,Wigan,1,1
45,E2,28/08/10,Plymouth,Peterboro,0,3,0.4,0.3076923076923077,0.35714285714285715,1011,Plymouth1011,Peterboro1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Fulham,Everton,0,3
78,E2,18/09/10,Plymouth,Sheffield Weds,3,2,0.37037037037037035,0.29411764705882354,0.4,1011,Plymouth1011,Sheffield Weds1011,E21011,0.06448801742919397,0.34793286942284074,0.2762996316004912,0.375767498976668,Everton,Wolves,3,0
83,E2,21/09/10,Plymouth,Brighton,0,2,0.4,0.30303030303030304,0.36363636363636365,1011,Plymouth1011,Brighton1011,E21011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Blackburn,Burnley,0,3
116,E2,02/10/10,Plymouth,Hartlepool,0,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Plymouth1011,Hartlepool1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Liverpool,Birmingham,0,3
126,E2,09/10/10,Plymouth,Charlton,2,2,0.4,0.3076923076923077,0.35714285714285715,1011,Plymouth1011,Charlton1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Tottenham,Wigan,1,1
150,E2,23/10/10,Plymouth,Huddersfield,2,1,0.3333333333333333,0.29411764705882354,0.4347826086956522,1011,Plymouth1011,Huddersfield1011,E21011,0.06223358908780918,0.3138041733547351,0.2768860353130016,0.40930979133226325,Man City,Bolton,3,0
173,E2,02/11/10,Plymouth,Bristol Rvs,3,1,0.45454545454545453,0.29411764705882354,0.3125,1011,Plymouth1011,Bristol Rvs1011,E21011,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Everton,Birmingham,3,0
198,E2,20/11/10,Plymouth,Brentford,1,2,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Plymouth1011,Brentford1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Man United,Birmingham,0,3
210,E2,23/11/10,Plymouth,Dag and Red,2,1,0.5,0.30303030303030304,0.26666666666666666,1011,Plymouth1011,Dag and Red1011,E21011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Liverpool,Tottenham,3,0
222,E2,11/12/10,Plymouth,Exeter,2,0,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Plymouth1011,Exeter1011,E21011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Fulham,Aston Villa,3,0
230,E2,28/12/10,Plymouth,Notts County,1,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Plymouth1011,Notts County1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Chelsea,Hull,1,1
240,E2,01/01/11,Plymouth,Yeovil,0,0,0.5235602094240838,0.29411764705882354,0.25,1011,Plymouth1011,Yeovil1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Birmingham,Wolves,1,1
273,E2,15/01/11,Plymouth,Oldham,0,2,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Plymouth1011,Oldham1011,E21011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Arsenal,Burnley,0,3
303,E2,29/01/11,Plymouth,Bournemouth,1,2,0.3333333333333333,0.29411764705882354,0.4347826086956522,1011,Plymouth1011,Bournemouth1011,E21011,0.06223358908780918,0.3138041733547351,0.2768860353130016,0.40930979133226325,Aston Villa,Sunderland,0,3
339,E2,12/02/11,Plymouth,Tranmere,1,3,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Plymouth1011,Tranmere1011,E21011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Fulham,Wolves,0,3
373,E2,26/02/11,Plymouth,Colchester,2,1,0.3225806451612903,0.29411764705882354,0.4444444444444444,1011,Plymouth1011,Colchester1011,E21011,0.06114273666455827,0.3039936419630439,0.27717067355454006,0.41883568448241604,Tottenham,Burnley,3,0
404,E2,08/03/11,Plymouth,Swindon,1,0,0.4,0.3076923076923077,0.35714285714285715,1011,Plymouth1011,Swindon1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Barnsley,Preston,3,0
432,E2,19/03/11,Plymouth,Rochdale,0,1,0.4166666666666667,0.29411764705882354,0.35714285714285715,1011,Plymouth1011,Rochdale1011,E21011,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,Ipswich,Preston,0,3
484,E2,09/04/11,Plymouth,Walsall,2,0,0.4166666666666667,0.30303030303030304,0.3448275862068966,1011,Plymouth1011,Walsall1011,E21011,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Sheffield United,Swansea,3,0
523,E2,25/04/11,Plymouth,Milton Keynes Dons,1,0,0.37037037037037035,0.29411764705882354,0.4,1011,Plymouth1011,Milton Keynes Dons1011,E21011,0.06448801742919397,0.34793286942284074,0.2762996316004912,0.375767498976668,Blackpool,Sheffield United,3,0
539,E2,02/05/11,Plymouth,Southampton,1,3,0.16666666666666666,0.25,0.6535947712418301,1011,Plymouth1011,Southampton1011,E21011,0.0702614379084967,0.15572519083969466,0.233587786259542,0.6106870229007634,QPR,Derby,0,3
548,E2,07/05/11,Plymouth,Leyton Orient,1,4,0.4166666666666667,0.29411764705882354,0.35714285714285715,1011,Plymouth1011,Leyton Orient1011,E21011,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,Bristol City,Sheffield Weds,0,3
7,E2,07/08/10,Southampton,Plymouth,0,1,0.5780346820809249,0.26666666666666666,0.2222222222222222,1011,Southampton1011,Plymouth1011,E21011,0.06692357096981372,0.5417770286539851,0.24993980255237178,0.20828316879364314,Wolves,West Ham,0,3
32,E2,21/08/10,Walsall,Plymouth,2,1,0.35714285714285715,0.3225806451612903,0.3846153846153846,1011,Walsall1011,Plymouth1011,E21011,0.06433888691953205,0.33555370524562866,0.30308076602830974,0.3613655287260616,Wolves,Hull,3,0
61,E2,11/09/10,Colchester,Plymouth,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Colchester1011,Plymouth1011,E21011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Man United,Stoke,1,1
92,E2,25/09/10,Rochdale,Plymouth,1,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Rochdale1011,Plymouth1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Bolton,Everton,1,1
106,E2,28/09/10,Swindon,Plymouth,2,3,0.5,0.30303030303030304,0.26666666666666666,1011,Swindon1011,Plymouth1011,E21011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Aston Villa,West Ham,0,3
139,E2,16/10/10,Notts County,Plymouth,2,0,0.4444444444444444,0.3125,0.3076923076923077,1011,Notts County1011,Plymouth1011,E21011,0.06463675213675213,0.41746111389864526,0.29352734570998495,0.28901154039136984,Arsenal,Stoke,3,0
164,E2,30/10/10,Oldham,Plymouth,4,2,0.45454545454545453,0.29411764705882354,0.3125,1011,Oldham1011,Plymouth1011,E21011,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Chelsea,Portsmouth,3,0
188,E2,13/11/10,Tranmere,Plymouth,1,0,0.4,0.3076923076923077,0.35714285714285715,1011,Tranmere1011,Plymouth1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Everton,Burnley,3,0
256,E2,04/01/11,Bristol Rvs,Plymouth,2,3,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Bristol Rvs1011,Plymouth1011,E21011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Portsmouth,Stoke,0,3
257,E2,08/01/11,Bournemouth,Plymouth,3,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Bournemouth1011,Plymouth1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,West Ham,Hull,3,0
