,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
5,E0,15/08/09,Portsmouth,Fulham,0,1,0.3802281368821293,0.3125,0.36363636363636365,0910,Portsmouth0910,Fulham0910,E00910,0.056364500518492955,0.3599402826349265,0.2958259197905802,0.3442337975744933,Portsmouth,Fulham,0,3
35,E0,30/08/09,Portsmouth,Man City,0,1,0.15384615384615385,0.2631578947368421,0.6369426751592356,0910,Portsmouth0910,Man City0910,E00910,0.05394672374223153,0.14597147121430845,0.24968804286658022,0.6043404859191114,Man City,Portsmouth,0,3
39,E0,12/09/09,Portsmouth,Bolton,2,3,0.3846153846153846,0.3125,0.35714285714285715,0910,Portsmouth0910,Bolton0910,E00910,0.05425824175824179,0.3648208469055374,0.29641693811074915,0.33876221498371334,Portsmouth,Bolton,0,3
60,E0,26/09/09,Portsmouth,Everton,0,1,0.23809523809523808,0.29411764705882354,0.5235602094240838,0910,Portsmouth0910,Everton0910,E00910,0.05577309457814539,0.22551743297680232,0.2785803583831088,0.4959022086400889,Everton,Portsmouth,0,3
80,E0,17/10/09,Portsmouth,Tottenham,1,2,0.2222222222222222,0.2857142857142857,0.5464480874316939,0910,Portsmouth0910,Tottenham0910,E00910,0.05438459536820184,0.21076011846001974,0.27097729516288255,0.5182625863770978,Tottenham,Portsmouth,0,3
102,E0,31/10/09,Portsmouth,Wigan,4,0,0.42016806722689076,0.30303030303030304,0.3333333333333333,0910,Portsmouth0910,Wigan0910,E00910,0.05653170359052706,0.39768618944323936,0.28681610026512416,0.31549771029163654,Portsmouth,Wigan,3,0
133,E0,28/11/09,Portsmouth,Man United,1,4,0.1,0.2222222222222222,0.7352941176470588,0910,Portsmouth0910,Man United0910,E00910,0.05751633986928084,0.09456118665018544,0.2101359703337454,0.6953028430160693,Man United,Portsmouth,0,3
143,E0,05/12/09,Portsmouth,Burnley,2,0,0.5235602094240838,0.29411764705882354,0.23809523809523808,0910,Portsmouth0910,Burnley0910,E00910,0.05577309457814539,0.4959022086400889,0.2785803583831088,0.22551743297680232,Portsmouth,Burnley,3,0
172,E0,19/12/09,Portsmouth,Liverpool,2,0,0.18181818181818182,0.25,0.6172839506172839,0910,Portsmouth0910,Liverpool0910,E00910,0.049102132435465684,0.17330837122225196,0.23829901043059643,0.5883926183471516,Liverpool,Portsmouth,3,0
195,E0,30/12/09,Portsmouth,Arsenal,1,4,0.15384615384615385,0.25,0.6535947712418301,0910,Portsmouth0910,Arsenal0910,E00910,0.05744092508798393,0.1454891239748009,0.23641982645905146,0.6180910495661476,Arsenal,Portsmouth,0,3
213,E0,26/01/10,Portsmouth,West Ham,1,1,0.4,0.3076923076923077,0.3472222222222222,0910,Portsmouth0910,West Ham0910,E00910,0.05491452991452994,0.3791776382418473,0.29167510633988253,0.32914725541827017,Portsmouth,West Ham,1,1
