,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
8,E1,07/08/10,Preston,Doncaster,0,2,0.4444444444444444,0.3076923076923077,0.3125,1011,Preston1011,Doncaster1011,E11011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Man United,Birmingham,0,3
32,E1,21/08/10,Preston,Portsmouth,1,0,0.3802281368821293,0.3076923076923077,0.3802281368821293,1011,Preston1011,Portsmouth1011,E11011,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,Wolves,Hull,3,0
69,E1,14/09/10,Preston,Nott'm Forest,1,2,0.3802281368821293,0.3076923076923077,0.3802281368821293,1011,Preston1011,Nott'm Forest1011,E11011,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,Man United,Sunderland,0,3
81,E1,18/09/10,Preston,Norwich,0,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Preston1011,Norwich1011,E11011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Stoke,West Ham,0,3
117,E1,02/10/10,Preston,Reading,1,1,0.37037037037037035,0.3125,0.3802281368821293,1011,Preston1011,Reading1011,E11011,0.06309850725249966,0.3483876309144347,0.2939520635840543,0.35766030550151096,Birmingham,Fulham,1,1
141,E1,19/10/10,Preston,Scunthorpe,2,3,0.5,0.29411764705882354,0.26666666666666666,1011,Preston1011,Scunthorpe1011,E11011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Liverpool,Blackburn,0,3
152,E1,23/10/10,Preston,Crystal Palace,4,3,0.45454545454545453,0.3076923076923077,0.30303030303030304,1011,Preston1011,Crystal Palace1011,E11011,0.06526806526806528,0.42669584245076586,0.2888402625820569,0.2844638949671772,Chelsea,Everton,3,0
187,E1,09/11/10,Preston,Barnsley,1,2,0.5,0.2857142857142857,0.2777777777777778,1011,Preston1011,Barnsley1011,E11011,0.06349206349206349,0.4701492537313433,0.26865671641791045,0.2611940298507463,Chelsea,Fulham,0,3
192,E1,12/11/10,Preston,Hull,0,2,0.45454545454545453,0.29411764705882354,0.3125,1011,Preston1011,Hull1011,E11011,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Liverpool,Aston Villa,0,3
222,E1,27/11/10,Preston,Millwall,0,0,0.4,0.30303030303030304,0.36363636363636365,1011,Preston1011,Millwall1011,E11011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Fulham,Aston Villa,1,1
244,E1,11/12/10,Preston,Ipswich,1,0,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Preston1011,Ipswich1011,E11011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Portsmouth,Sunderland,3,0
268,E1,28/12/10,Preston,Middlesbrough,1,3,0.3846153846153846,0.30303030303030304,0.3802281368821293,1011,Preston1011,Middlesbrough1011,E11011,0.06787382452781676,0.36016931568245014,0.2837697638710213,0.3560609204465287,Chelsea,Man City,0,3
281,E1,01/01/11,Preston,Derby,1,2,0.37037037037037035,0.3076923076923077,0.3846153846153846,1011,Preston1011,Derby1011,E11011,0.06267806267806275,0.34852546916890076,0.28954423592493295,0.3619302949061662,Everton,Birmingham,0,3
305,E1,15/01/11,Preston,Leicester,1,1,0.26666666666666666,0.29411764705882354,0.5,1011,Preston1011,Leicester1011,E11011,0.0607843137254902,0.2513863216266174,0.27726432532347506,0.47134935304990755,Man City,Everton,1,1
347,E1,05/02/11,Preston,Bristol City,0,4,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Preston1011,Bristol City1011,E11011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Aston Villa,Hull,0,3
374,E1,19/02/11,Preston,QPR,1,1,0.23094688221709006,0.2777777777777778,0.5555555555555556,1011,Preston1011,QPR1011,E11011,0.0642802155504234,0.21699819168173598,0.26100060277275466,0.5220012055455093,Chelsea,Wigan,1,1
398,E1,26/02/11,Preston,Burnley,1,2,0.3333333333333333,0.2857142857142857,0.4444444444444444,1011,Preston1011,Burnley1011,E11011,0.06349206349206349,0.3134328358208955,0.26865671641791045,0.417910447761194,West Brom,Nott'm Forest,0,3
425,E1,08/03/11,Preston,Leeds,1,2,0.3125,0.3076923076923077,0.4444444444444444,1011,Preston1011,Leeds1011,E11011,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Watford,Blackpool,0,3
451,E1,19/03/11,Preston,Coventry,2,1,0.42016806722689076,0.30303030303030304,0.3448275862068966,1011,Preston1011,Coventry1011,E11011,0.06802595646409038,0.39340623201512787,0.28372934308969827,0.3228644248951739,Cardiff,Newcastle,3,0
463,E1,02/04/11,Preston,Swansea,2,1,0.2857142857142857,0.30303030303030304,0.47619047619047616,1011,Preston1011,Swansea1011,E11011,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Sheffield United,Sheffield Weds,3,0
500,E1,16/04/11,Preston,Sheffield United,3,1,0.5,0.29411764705882354,0.26666666666666666,1011,Preston1011,Sheffield United1011,E11011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Coventry,Leicester,3,0
523,E1,25/04/11,Preston,Cardiff,0,1,0.2857142857142857,0.2777777777777778,0.5,1011,Preston1011,Cardiff1011,E11011,0.06349206349206349,0.26865671641791045,0.2611940298507463,0.4701492537313433,Blackpool,Sheffield United,0,3
547,E1,07/05/11,Preston,Watford,3,1,0.3802281368821293,0.2857142857142857,0.4,1011,Preston1011,Watford1011,E11011,0.06594242259641492,0.3567060741948635,0.2680391357521402,0.3752547900529964,QPR,Leicester,3,0
21,E1,14/08/10,Swansea,Preston,4,0,0.5464480874316939,0.29411764705882354,0.2222222222222222,1011,Swansea1011,Preston1011,E11011,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Man United,Wigan,3,0
45,E1,28/08/10,Sheffield United,Preston,1,0,0.5405405405405405,0.2857142857142857,0.23809523809523808,1011,Sheffield United1011,Preston1011,E11011,0.0643500643500643,0.5078597339782346,0.26844014510278114,0.22370012091898428,Fulham,Everton,3,0
48,E1,11/09/10,Burnley,Preston,4,3,0.5988023952095809,0.2777777777777778,0.19047619047619047,1011,Burnley1011,Preston1011,E11011,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,Bolton,Stoke,3,0
87,E1,25/09/10,Coventry,Preston,1,2,0.5,0.30303030303030304,0.2631578947368421,1011,Coventry1011,Preston1011,E11011,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Burnley,Wigan,0,3
100,E1,28/09/10,Leeds,Preston,4,6,0.5780346820809249,0.2857142857142857,0.2,1011,Leeds1011,Preston1011,E11011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Liverpool,Fulham,0,3
123,E1,16/10/10,Derby,Preston,3,0,0.5,0.29411764705882354,0.26666666666666666,1011,Derby1011,Preston1011,E11011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Arsenal,Sunderland,3,0
161,E1,30/10/10,Leicester,Preston,1,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Leicester1011,Preston1011,E11011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Man United,Wolves,3,0
169,E1,06/11/10,Bristol City,Preston,1,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Bristol City1011,Preston1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Tottenham,Blackburn,1,1
213,E1,20/11/10,QPR,Preston,3,1,0.6944444444444444,0.23094688221709006,0.14285714285714285,1011,QPR1011,Preston1011,E11011,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Portsmouth,West Ham,3,0
228,E1,04/12/10,Cardiff,Preston,1,1,0.6944444444444444,0.23094688221709006,0.14285714285714285,1011,Cardiff1011,Preston1011,E11011,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Man City,Portsmouth,1,1
285,E1,03/01/11,Crystal Palace,Preston,1,0,0.48780487804878053,0.29411764705882354,0.2857142857142857,1011,Crystal Palace1011,Preston1011,E11011,0.06763681082188988,0.4569015166058744,0.2754847379535419,0.26761374544058353,Arsenal,Hull,3,0
314,E1,22/01/11,Middlesbrough,Preston,1,1,0.6369426751592356,0.25,0.18181818181818182,1011,Middlesbrough1011,Preston1011,E11011,0.0687608569774174,0.5959637003927942,0.23391575240417176,0.17012054720303402,Burnley,Blackburn,1,1
326,E1,01/02/11,Barnsley,Preston,2,0,0.5235602094240838,0.29411764705882354,0.25,1011,Barnsley1011,Preston1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Fulham,Wigan,3,0
356,E1,12/02/11,Hull,Preston,1,0,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Hull1011,Preston1011,E11011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Chelsea,Stoke,3,0
365,E1,15/02/11,Watford,Preston,2,2,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Watford1011,Preston1011,E11011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Man United,Sunderland,1,1
383,E1,22/02/11,Nott'm Forest,Preston,2,2,0.7142857142857143,0.2222222222222222,0.125,1011,Nott'm Forest1011,Preston1011,E11011,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Derby,Peterboro,1,1
409,E1,05/03/11,Norwich,Preston,1,1,0.6535947712418301,0.25,0.16666666666666666,1011,Norwich1011,Preston1011,E11011,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Nott'm Forest,Watford,1,1
441,E1,15/03/11,Scunthorpe,Preston,0,3,0.4166666666666667,0.3076923076923077,0.3448275862068966,1011,Scunthorpe1011,Preston1011,E11011,0.06918656056587102,0.3897043622079801,0.28778168286127764,0.3225139549307422,Crystal Palace,Scunthorpe,0,3
466,E1,05/04/11,Reading,Preston,2,1,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Reading1011,Preston1011,E11011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Cardiff,QPR,3,0
474,E1,09/04/11,Portsmouth,Preston,1,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Portsmouth1011,Preston1011,E11011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Watford,Leicester,1,1
481,E1,12/04/11,Doncaster,Preston,1,1,0.4444444444444444,0.3076923076923077,0.3125,1011,Doncaster1011,Preston1011,E11011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Reading,Watford,1,1
512,E1,23/04/11,Millwall,Preston,4,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Millwall1011,Preston1011,E11011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Bristol City,Peterboro,3,0
532,E1,30/04/11,Ipswich,Preston,2,1,0.5714285714285714,0.26666666666666666,0.2222222222222222,1011,Ipswich1011,Preston1011,E11011,0.0603174603174601,0.5389221556886228,0.251497005988024,0.20958083832335334,Newcastle,Scunthorpe,3,0
