,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
6,E1,08/08/09,QPR,Blackpool,1,1,0.5780346820809249,0.2857142857142857,0.2,0910,QPR0910,Blackpool0910,E10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Stoke,Burnley,1,1
42,E1,22/08/09,QPR,Nott'm Forest,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,QPR0910,Nott'm Forest0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Man United,Tottenham,1,1
66,E1,12/09/09,QPR,Peterboro,1,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,QPR0910,Peterboro0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Tottenham,Bolton,1,1
100,E1,26/09/09,QPR,Barnsley,5,2,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,QPR0910,Barnsley0910,E10910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Liverpool,Fulham,3,0
139,E1,17/10/09,QPR,Preston,4,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,QPR0910,Preston0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Arsenal,Stoke,3,0
151,E1,20/10/09,QPR,Reading,4,1,0.5464480874316939,0.29411764705882354,0.2222222222222222,0910,QPR0910,Reading0910,E10910,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Burnley,Fulham,3,0
167,E1,30/10/09,QPR,Leicester,1,2,0.5405405405405405,0.29411764705882354,0.23809523809523808,0910,QPR0910,Leicester0910,E10910,0.07275342569460208,0.5038814396612561,0.2741707833450953,0.22194777699364857,Arsenal,Hull,0,3
179,E1,03/11/09,QPR,Crystal Palace,1,1,0.5464480874316939,0.29411764705882354,0.2222222222222222,0910,QPR0910,Crystal Palace0910,E10910,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Liverpool,Wolves,1,1
210,E1,28/11/09,QPR,Coventry,2,2,0.6369426751592356,0.26666666666666666,0.16666666666666666,0910,QPR0910,Coventry0910,E10910,0.0702760084925691,0.595120015869867,0.249156913310851,0.15572307081928186,Liverpool,Tottenham,1,1
224,E1,05/12/09,QPR,Middlesbrough,1,5,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,QPR0910,Middlesbrough0910,E10910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Liverpool,Bolton,0,3
257,E1,19/12/09,QPR,Sheffield United,1,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,QPR0910,Sheffield United0910,E10910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,West Ham,Hull,1,1
266,E1,26/12/09,QPR,Bristol City,2,1,0.5,0.29411764705882354,0.26666666666666666,0910,QPR0910,Bristol City0910,E10910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Bolton,Wolves,3,0
320,E1,30/01/10,QPR,Scunthorpe,0,1,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,QPR0910,Scunthorpe0910,E10910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Man United,Chelsea,0,3
346,E1,09/02/10,QPR,Ipswich,1,2,0.4,0.3076923076923077,0.35714285714285715,0910,QPR0910,Ipswich0910,E10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Liverpool,West Ham,0,3
377,E1,20/02/10,QPR,Doncaster,2,1,0.4444444444444444,0.3125,0.3076923076923077,0910,QPR0910,Doncaster0910,E10910,0.06463675213675213,0.41746111389864526,0.29352734570998495,0.28901154039136984,Man United,Stoke,3,0
404,E1,06/03/10,QPR,West Brom,3,1,0.2857142857142857,0.30303030303030304,0.47619047619047616,0910,QPR0910,West Brom0910,E10910,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Barnsley,Preston,3,0
410,E1,09/03/10,QPR,Plymouth,2,0,0.5780346820809249,0.2857142857142857,0.2,0910,QPR0910,Plymouth0910,E10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,West Brom,Peterboro,3,0
444,E1,20/03/10,QPR,Swansea,1,1,0.4,0.3076923076923077,0.35714285714285715,0910,QPR0910,Swansea0910,E10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Middlesbrough,Ipswich,1,1
456,E1,23/03/10,QPR,Derby,1,1,0.5405405405405405,0.29411764705882354,0.23094688221709006,0910,QPR0910,Derby0910,E10910,0.06560506981645409,0.5072616073735894,0.2760099922473943,0.21672840037901628,Plymouth,Watford,1,1
487,E1,03/04/10,QPR,Sheffield Weds,1,1,0.5235602094240838,0.29411764705882354,0.25,0910,QPR0910,Sheffield Weds0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,West Brom,Barnsley,1,1
519,E1,17/04/10,QPR,Cardiff,0,1,0.4,0.3076923076923077,0.35714285714285715,0910,QPR0910,Cardiff0910,E10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,QPR,Preston,0,3
526,E1,20/04/10,QPR,Watford,1,0,0.5,0.30303030303030304,0.2631578947368421,0910,QPR0910,Watford0910,E10910,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Doncaster,Peterboro,3,0
546,E1,02/05/10,QPR,Newcastle,0,1,0.3125,0.29411764705882354,0.45454545454545453,0910,QPR0910,Newcastle0910,E10910,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Reading,Leicester,0,3
20,E1,15/08/09,Plymouth,QPR,1,1,0.3846153846153846,0.3125,0.36363636363636365,0910,Plymouth0910,QPR0910,E10910,0.06075174825174834,0.36258755665430564,0.2946023897816234,0.34281005356407085,Sunderland,Blackburn,1,1
26,E1,18/08/09,Bristol City,QPR,1,0,0.4347826086956522,0.3076923076923077,0.3125,0910,Bristol City0910,QPR0910,E10910,0.054974916387959816,0.41212601545472566,0.2916584109371904,0.29621557360808404,Blackburn,West Ham,3,0
55,E1,29/08/09,Scunthorpe,QPR,0,1,0.36363636363636365,0.3125,0.3846153846153846,0910,Scunthorpe0910,QPR0910,E10910,0.06075174825174834,0.34281005356407085,0.2946023897816234,0.36258755665430564,Wolves,Fulham,0,3
86,E1,19/09/09,Cardiff,QPR,0,2,0.5235602094240838,0.3076923076923077,0.23094688221709006,0910,Cardiff0910,QPR0910,E10910,0.06219939933348151,0.4929020010297615,0.2896747144513368,0.21742328451890172,Sunderland,Birmingham,0,3
117,E1,30/09/09,Newcastle,QPR,1,1,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,Newcastle0910,QPR0910,E10910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Birmingham,Fulham,1,1
129,E1,03/10/09,Swansea,QPR,2,0,0.4,0.30303030303030304,0.35714285714285715,0910,Swansea0910,QPR0910,E10910,0.06017316017316032,0.3772968558595345,0.2858309514087382,0.3368721927317272,Aston Villa,Tottenham,3,0
159,E1,24/10/09,Derby,QPR,2,4,0.37037037037037035,0.3125,0.3846153846153846,0910,Derby0910,QPR0910,E10910,0.06748575498575482,0.3469557964970809,0.29274395329441205,0.3603002502085071,Birmingham,Blackburn,0,3
188,E1,07/11/09,Sheffield Weds,QPR,1,2,0.3448275862068966,0.30303030303030304,0.4166666666666667,0910,Sheffield Weds0910,QPR0910,E10910,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Everton,Burnley,0,3
195,E1,21/11/09,Doncaster,QPR,2,0,0.3333333333333333,0.3076923076923077,0.42016806722689076,0910,Doncaster0910,QPR0910,E10910,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Arsenal,Portsmouth,3,0
227,E1,07/12/09,Watford,QPR,3,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Watford0910,QPR0910,E10910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Arsenal,Man United,3,0
250,E1,14/12/09,West Brom,QPR,2,2,0.5988023952095809,0.2777777777777778,0.19047619047619047,0910,West Brom0910,QPR0910,E10910,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,West Ham,Birmingham,1,1
273,E1,28/12/09,Ipswich,QPR,3,0,0.4347826086956522,0.3076923076923077,0.3225806451612903,0910,Ipswich0910,QPR0910,E10910,0.0650555615492503,0.40822528363047,0.28889789303079416,0.3028768233387358,Arsenal,Burnley,3,0
287,E1,16/01/10,Blackpool,QPR,2,2,0.45454545454545453,0.3076923076923077,0.30303030303030304,0910,Blackpool0910,QPR0910,E10910,0.06526806526806528,0.42669584245076586,0.2888402625820569,0.2844638949671772,Tottenham,Blackburn,1,1
