,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
7,E1,08/08/09,Reading,Nott'm Forest,0,0,0.5235602094240838,0.3125,0.2222222222222222,0910,Reading0910,Nott'm Forest0910,E10910,0.05828243164630598,0.4947263544851754,0.29528979283333906,0.20998385268148553,Wolves,West Ham,1,1
43,E1,22/08/09,Reading,Sheffield United,1,3,0.4,0.3125,0.3472222222222222,0910,Reading0910,Sheffield United0910,E10910,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Wigan,West Ham,0,3
67,E1,12/09/09,Reading,Doncaster,0,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Reading0910,Doncaster0910,E10910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Burnley,Birmingham,1,1
82,E1,16/09/09,Reading,Cardiff,0,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Reading0910,Cardiff0910,E10910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Liverpool,Sunderland,0,3
101,E1,26/09/09,Reading,Watford,1,1,0.47619047619047616,0.3076923076923077,0.2857142857142857,0910,Reading0910,Watford0910,E10910,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Man United,Blackburn,1,1
127,E1,03/10/09,Reading,Middlesbrough,0,2,0.36363636363636365,0.30303030303030304,0.4,0910,Reading0910,Middlesbrough0910,E10910,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Fulham,Blackburn,0,3
166,E1,26/10/09,Reading,Leicester,0,1,0.4,0.30303030303030304,0.36363636363636365,0910,Reading0910,Leicester0910,E10910,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Tottenham,Man City,0,3
187,E1,07/11/09,Reading,Ipswich,1,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Reading0910,Ipswich0910,E10910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Chelsea,Fulham,1,1
199,E1,21/11/09,Reading,Blackpool,2,1,0.4444444444444444,0.30303030303030304,0.3125,0910,Reading0910,Blackpool0910,E10910,0.0599747474747474,0.41929720071471116,0.2858844550327576,0.2948183442525313,Man City,Blackburn,3,0
233,E1,08/12/09,Reading,Crystal Palace,2,4,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Reading0910,Crystal Palace0910,E10910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Burnley,West Ham,0,3
245,E1,12/12/09,Reading,Scunthorpe,1,1,0.5780346820809249,0.2777777777777778,0.21052631578947367,0910,Reading0910,Scunthorpe0910,E10910,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Wigan,Stoke,1,1
267,E1,26/12/09,Reading,Swansea,1,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Reading0910,Swansea0910,E10910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Burnley,Portsmouth,1,1
321,E1,30/01/10,Reading,Barnsley,1,0,0.5,0.30303030303030304,0.2631578947368421,0910,Reading0910,Barnsley0910,E10910,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Blackburn,Portsmouth,3,0
347,E1,09/02/10,Reading,Plymouth,2,1,0.5988023952095809,0.2777777777777778,0.18181818181818182,0910,Reading0910,Plymouth0910,E10910,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Aston Villa,Hull,3,0
390,E1,27/02/10,Reading,Sheffield Weds,5,0,0.5555555555555556,0.3076923076923077,0.2,0910,Reading0910,Sheffield Weds0910,E10910,0.06324786324786325,0.522508038585209,0.28938906752411575,0.18810289389067525,West Brom,Newcastle,3,0
413,E1,10/03/10,Reading,Derby,4,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Reading0910,Derby0910,E10910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Sheffield United,Leicester,3,0
421,E1,13/03/10,Reading,Bristol City,2,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Reading0910,Bristol City0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Preston,Peterboro,3,0
433,E1,16/03/10,Reading,QPR,1,0,0.5235602094240838,0.29411764705882354,0.25,0910,Reading0910,QPR0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Nott'm Forest,Derby,3,0
469,E1,27/03/10,Reading,West Brom,1,1,0.37037037037037035,0.3076923076923077,0.3846153846153846,0910,Reading0910,West Brom0910,E10910,0.06267806267806275,0.34852546916890076,0.28954423592493295,0.3619302949061662,Middlesbrough,West Brom,1,1
