,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
5,E2,07/08/10,Rochdale,Hartlepool,0,0,0.4444444444444444,0.3076923076923077,0.3125,1011,Rochdale1011,Hartlepool1011,E21011,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Portsmouth,Fulham,1,1
27,E2,21/08/10,Rochdale,Colchester,1,2,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Rochdale1011,Colchester1011,E21011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Liverpool,Bolton,0,3
65,E2,11/09/10,Rochdale,Walsall,3,2,0.5,0.29411764705882354,0.26666666666666666,1011,Rochdale1011,Walsall1011,E21011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Man City,West Ham,3,0
92,E2,25/09/10,Rochdale,Plymouth,1,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Rochdale1011,Plymouth1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Bolton,Everton,1,1
104,E2,28/09/10,Rochdale,Huddersfield,3,0,0.37037037037037035,0.29411764705882354,0.4,1011,Rochdale1011,Huddersfield1011,E21011,0.06448801742919397,0.34793286942284074,0.2762996316004912,0.375767498976668,Sunderland,West Ham,3,0
127,E2,09/10/10,Rochdale,Yeovil,0,1,0.5,0.30303030303030304,0.2631578947368421,1011,Rochdale1011,Yeovil1011,E21011,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Fulham,Blackburn,0,3
151,E2,23/10/10,Rochdale,Dag and Red,3,2,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Rochdale1011,Dag and Red1011,E21011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Burnley,Fulham,3,0
199,E2,20/11/10,Rochdale,Swindon,3,3,0.3846153846153846,0.30303030303030304,0.3802281368821293,1011,Rochdale1011,Swindon1011,E21011,0.06787382452781676,0.36016931568245014,0.2837697638710213,0.3560609204465287,Man City,Blackburn,1,1
214,E2,27/11/10,Rochdale,Oldham,1,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Rochdale1011,Oldham1011,E21011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Tottenham,Fulham,1,1
241,E2,01/01/11,Rochdale,Tranmere,3,2,0.47619047619047616,0.3076923076923077,0.2857142857142857,1011,Rochdale1011,Tranmere1011,E21011,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Chelsea,Arsenal,3,0
