,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
22,E1,15/08/09,Sheffield United,Watford,2,0,0.5988023952095809,0.2777777777777778,0.18181818181818182,0910,Sheffield United0910,Watford0910,E10910,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Everton,Burnley,3,0
33,E1,18/08/09,Sheffield United,Leicester,1,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Sheffield United0910,Leicester0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Aston Villa,Fulham,1,1
56,E1,29/08/09,Sheffield United,West Brom,2,2,0.4,0.3076923076923077,0.35714285714285715,0910,Sheffield United0910,West Brom0910,E10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Birmingham,Bolton,1,1
83,E1,18/09/09,Sheffield United,Sheffield Weds,3,2,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Sheffield United0910,Sheffield Weds0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Blackburn,Burnley,3,0
115,E1,29/09/09,Sheffield United,Ipswich,3,3,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,Sheffield United0910,Ipswich0910,E10910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Wigan,Fulham,1,1
128,E1,03/10/09,Sheffield United,Doncaster,1,1,0.6172839506172839,0.2777777777777778,0.16666666666666666,0910,Sheffield United0910,Doncaster0910,E10910,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Everton,Hull,1,1
164,E1,24/10/09,Sheffield United,Cardiff,3,4,0.4,0.3076923076923077,0.35714285714285715,0910,Sheffield United0910,Cardiff0910,E10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Chelsea,Portsmouth,0,3
178,E1,02/11/09,Sheffield United,Newcastle,0,1,0.36363636363636365,0.30303030303030304,0.4,0910,Sheffield United0910,Newcastle0910,E10910,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Tottenham,Fulham,0,3
200,E1,21/11/09,Sheffield United,Peterboro,1,0,0.5988023952095809,0.2777777777777778,0.19047619047619047,0910,Sheffield United0910,Peterboro0910,E10910,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,Chelsea,Sunderland,3,0
234,E1,08/12/09,Sheffield United,Nott'm Forest,0,0,0.4347826086956522,0.30303030303030304,0.3225806451612903,0910,Sheffield United0910,Nott'm Forest0910,E10910,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Man City,Hull,1,1
246,E1,12/12/09,Sheffield United,Crystal Palace,2,0,0.5235602094240838,0.30303030303030304,0.23809523809523808,0910,Sheffield United0910,Crystal Palace0910,E10910,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Arsenal,Liverpool,3,0
279,E1,28/12/09,Sheffield United,Preston,1,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Sheffield United0910,Preston0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Sunderland,Bolton,3,0
295,E1,16/01/10,Sheffield United,Middlesbrough,1,0,0.47619047619047616,0.3225806451612903,0.26666666666666666,0910,Sheffield United0910,Middlesbrough0910,E10910,0.06543778801843314,0.4469434832756632,0.3027681660899654,0.2502883506343714,Portsmouth,Hull,3,0
309,E1,26/01/10,Sheffield United,Reading,3,0,0.5780346820809249,0.2857142857142857,0.2,0910,Sheffield United0910,Reading0910,E10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Chelsea,Aston Villa,3,0
337,E1,06/02/10,Sheffield United,Derby,1,1,0.5780346820809249,0.2857142857142857,0.2,0910,Sheffield United0910,Derby0910,E10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Birmingham,Hull,1,1
357,E1,13/02/10,Sheffield United,Bristol City,2,0,0.5235602094240838,0.30303030303030304,0.23809523809523808,0910,Sheffield United0910,Bristol City0910,E10910,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Everton,Fulham,3,0
391,E1,27/02/10,Sheffield United,Plymouth,4,3,0.6369426751592356,0.26666666666666666,0.16666666666666666,0910,Sheffield United0910,Plymouth0910,E10910,0.0702760084925691,0.595120015869867,0.249156913310851,0.15572307081928186,Coventry,Ipswich,3,0
422,E1,13/03/10,Sheffield United,QPR,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Sheffield United0910,QPR0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,QPR,Nott'm Forest,1,1
434,E1,16/03/10,Sheffield United,Blackpool,3,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Sheffield United0910,Blackpool0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Plymouth,Sheffield Weds,3,0
472,E1,28/03/10,Sheffield United,Scunthorpe,0,1,0.6172839506172839,0.26666666666666666,0.18181818181818182,0910,Sheffield United0910,Scunthorpe0910,E10910,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Peterboro,Reading,0,3
488,E1,03/04/10,Sheffield United,Barnsley,0,0,0.5235602094240838,0.29411764705882354,0.25,0910,Sheffield United0910,Barnsley0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Bristol City,Blackpool,1,1
511,E1,10/04/10,Sheffield United,Coventry,1,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Sheffield United0910,Coventry0910,E10910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Blackpool,Plymouth,3,0
537,E1,24/04/10,Sheffield United,Swansea,2,0,0.3125,0.30303030303030304,0.4444444444444444,0910,Sheffield United0910,Swansea0910,E10910,0.0599747474747474,0.2948183442525313,0.2858844550327576,0.41929720071471116,West Brom,Coventry,3,0
0,E1,07/08/09,Middlesbrough,Sheffield United,0,0,0.4444444444444444,0.3076923076923077,0.3125,0910,Middlesbrough0910,Sheffield United0910,E10910,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Aston Villa,Wigan,1,1
43,E1,22/08/09,Reading,Sheffield United,1,3,0.4,0.3125,0.3472222222222222,0910,Reading0910,Sheffield United0910,E10910,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Wigan,West Ham,0,3
62,E1,12/09/09,Derby,Sheffield United,0,1,0.36363636363636365,0.3125,0.3846153846153846,0910,Derby0910,Sheffield United0910,E10910,0.06075174825174834,0.34281005356407085,0.2946023897816234,0.36258755665430564,Tottenham,Burnley,0,3
72,E1,15/09/09,Coventry,Sheffield United,3,2,0.3125,0.29411764705882354,0.45454545454545453,0910,Coventry0910,Sheffield United0910,E10910,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Chelsea,Liverpool,3,0
104,E1,26/09/09,Swansea,Sheffield United,2,1,0.3225806451612903,0.3125,0.4347826086956522,0910,Swansea0910,Sheffield United0910,E10910,0.06986325385694236,0.3015157722244982,0.2920934043424826,0.40639082343301935,Sunderland,West Ham,3,0
140,E1,17/10/09,Scunthorpe,Sheffield United,3,1,0.3076923076923077,0.30303030303030304,0.45454545454545453,0910,Scunthorpe0910,Sheffield United0910,E10910,0.06526806526806528,0.2888402625820569,0.2844638949671772,0.42669584245076586,Aston Villa,Hull,3,0
