,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
8,E1,08/08/09,Sheffield Weds,Barnsley,2,2,0.5235602094240838,0.30303030303030304,0.23809523809523808,0910,Sheffield Weds0910,Barnsley0910,E10910,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Man United,Birmingham,1,1
44,E1,22/08/09,Sheffield Weds,Scunthorpe,4,0,0.5235602094240838,0.29411764705882354,0.25,0910,Sheffield Weds0910,Scunthorpe0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Aston Villa,Birmingham,3,0
68,E1,12/09/09,Sheffield Weds,Nott'm Forest,1,1,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Sheffield Weds0910,Nott'm Forest0910,E10910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Wigan,Hull,1,1
78,E1,15/09/09,Sheffield Weds,Middlesbrough,1,3,0.3472222222222222,0.30303030303030304,0.4166666666666667,0910,Sheffield Weds0910,Middlesbrough0910,E10910,0.06691919191919204,0.32544378698224846,0.2840236686390532,0.3905325443786982,Everton,Wolves,0,3
103,E1,26/09/09,Sheffield Weds,Cardiff,3,1,0.4,0.3076923076923077,0.35714285714285715,0910,Sheffield Weds0910,Cardiff0910,E10910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Stoke,Wolves,3,0
141,E1,17/10/09,Sheffield Weds,Coventry,2,0,0.5,0.29411764705882354,0.26666666666666666,0910,Sheffield Weds0910,Coventry0910,E10910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Liverpool,Blackburn,3,0
153,E1,20/10/09,Sheffield Weds,Preston,1,2,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Sheffield Weds0910,Preston0910,E10910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Blackburn,Hull,0,3
188,E1,07/11/09,Sheffield Weds,QPR,1,2,0.3448275862068966,0.30303030303030304,0.4166666666666667,0910,Sheffield Weds0910,QPR0910,E10910,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Everton,Burnley,0,3
212,E1,28/11/09,Sheffield Weds,West Brom,0,4,0.29411764705882354,0.29411764705882354,0.47619047619047616,0910,Sheffield Weds0910,West Brom0910,E10910,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Bolton,Burnley,0,3
225,E1,05/12/09,Sheffield Weds,Reading,0,2,0.4,0.30303030303030304,0.36363636363636365,0910,Sheffield Weds0910,Reading0910,E10910,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,West Ham,Blackburn,0,3
258,E1,19/12/09,Sheffield Weds,Swansea,0,2,0.3333333333333333,0.3125,0.4166666666666667,0910,Sheffield Weds0910,Swansea0910,E10910,0.0625,0.3137254901960784,0.29411764705882354,0.39215686274509803,Chelsea,Wolves,0,3
268,E1,26/12/09,Sheffield Weds,Newcastle,2,2,0.2,0.2857142857142857,0.5780346820809249,0910,Sheffield Weds0910,Newcastle0910,E10910,0.06374896779521055,0.18801428349635152,0.2685918335662164,0.5433938829374321,Chelsea,Man City,1,1
301,E1,23/01/10,Sheffield Weds,Peterboro,2,1,0.5464480874316939,0.2857142857142857,0.23809523809523808,0910,Sheffield Weds0910,Peterboro0910,E10910,0.07025761124121765,0.5105762217359592,0.26695842450765866,0.2224653537563822,Man United,Liverpool,3,0
322,E1,30/01/10,Sheffield Weds,Plymouth,2,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Sheffield Weds0910,Plymouth0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Stoke,Hull,3,0
348,E1,09/02/10,Sheffield Weds,Blackpool,2,0,0.4347826086956522,0.30303030303030304,0.3225806451612903,0910,Sheffield Weds0910,Blackpool0910,E10910,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Arsenal,Man City,3,0
367,E1,16/02/10,Sheffield Weds,Doncaster,0,2,0.47619047619047616,0.3076923076923077,0.2857142857142857,0910,Sheffield Weds0910,Doncaster0910,E10910,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Wigan,Hull,0,3
379,E1,20/02/10,Sheffield Weds,Ipswich,0,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,0910,Sheffield Weds0910,Ipswich0910,E10910,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Wolves,Sunderland,0,3
405,E1,06/03/10,Sheffield Weds,Leicester,2,0,0.3802281368821293,0.3076923076923077,0.3802281368821293,0910,Sheffield Weds0910,Leicester0910,E10910,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,Blackpool,Derby,3,0
446,E1,20/03/10,Sheffield Weds,Derby,0,0,0.47619047619047616,0.3076923076923077,0.2777777777777778,0910,Sheffield Weds0910,Derby0910,E10910,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,QPR,Peterboro,1,1
460,E1,24/03/10,Sheffield Weds,Watford,2,1,0.5,0.30303030303030304,0.26666666666666666,0910,Sheffield Weds0910,Watford0910,E10910,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,West Brom,Doncaster,3,0
498,E1,05/04/10,Sheffield Weds,Bristol City,0,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Sheffield Weds0910,Bristol City0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Nott'm Forest,Scunthorpe,0,3
524,E1,18/04/10,Sheffield Weds,Sheffield United,1,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,0910,Sheffield Weds0910,Sheffield United0910,E10910,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Bristol City,Plymouth,1,1
549,E1,02/05/10,Sheffield Weds,Crystal Palace,2,2,0.4444444444444444,0.29411764705882354,0.3225806451612903,0910,Sheffield Weds0910,Crystal Palace0910,E10910,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Coventry,Reading,1,1
19,E1,15/08/09,Peterboro,Sheffield Weds,1,1,0.45454545454545453,0.3076923076923077,0.30303030303030304,0910,Peterboro0910,Sheffield Weds0910,E10910,0.06526806526806528,0.42669584245076586,0.2888402625820569,0.2844638949671772,Man City,Wolves,1,1
35,E1,19/08/09,Newcastle,Sheffield Weds,1,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Newcastle0910,Sheffield Weds0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Man City,Portsmouth,3,0
54,E1,29/08/09,Plymouth,Sheffield Weds,1,3,0.3846153846153846,0.3125,0.36363636363636365,0910,Plymouth0910,Sheffield Weds0910,E10910,0.06075174825174834,0.36258755665430564,0.2946023897816234,0.34281005356407085,Man United,Man City,0,3
83,E1,18/09/09,Sheffield United,Sheffield Weds,3,2,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Sheffield United0910,Sheffield Weds0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Blackburn,Burnley,3,0
110,E1,29/09/09,Crystal Palace,Sheffield Weds,0,0,0.45454545454545453,0.3125,0.29411764705882354,0910,Crystal Palace0910,Sheffield Weds0910,E10910,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Tottenham,Sunderland,1,1
122,E1,03/10/09,Derby,Sheffield Weds,3,0,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Derby0910,Sheffield Weds0910,E10910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Man United,Everton,3,0
155,E1,23/10/09,Watford,Sheffield Weds,4,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,0910,Watford0910,Sheffield Weds0910,E10910,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Stoke,Wigan,3,0
168,E1,31/10/09,Bristol City,Sheffield Weds,1,1,0.5,0.30303030303030304,0.26666666666666666,0910,Bristol City0910,Sheffield Weds0910,E10910,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Aston Villa,Stoke,1,1
196,E1,21/11/09,Ipswich,Sheffield Weds,0,0,0.5235602094240838,0.29411764705882354,0.25,0910,Ipswich0910,Sheffield Weds0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Stoke,Fulham,1,1
228,E1,08/12/09,Doncaster,Sheffield Weds,1,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Doncaster0910,Sheffield Weds0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Man City,Portsmouth,3,0
243,E1,12/12/09,Leicester,Sheffield Weds,3,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Leicester0910,Sheffield Weds0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Man City,Bolton,3,0
286,E1,16/01/10,Barnsley,Sheffield Weds,1,2,0.5,0.30303030303030304,0.26666666666666666,0910,Barnsley0910,Sheffield Weds0910,E10910,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Aston Villa,Stoke,0,3
298,E1,19/01/10,Blackpool,Sheffield Weds,1,2,0.5235602094240838,0.29411764705882354,0.25,0910,Blackpool0910,Sheffield Weds0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Wigan,Burnley,0,3
312,E1,27/01/10,Scunthorpe,Sheffield Weds,2,0,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Scunthorpe0910,Sheffield Weds0910,E10910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,West Ham,Stoke,3,0
333,E1,06/02/10,Nott'm Forest,Sheffield Weds,2,1,0.6369426751592356,0.2777777777777778,0.15384615384615385,0910,Nott'm Forest0910,Sheffield Weds0910,E10910,0.0685666067831674,0.5960720381078533,0.2599536388414805,0.14397432305066613,Chelsea,Bolton,3,0
390,E1,27/02/10,Reading,Sheffield Weds,5,0,0.5555555555555556,0.3076923076923077,0.2,0910,Reading0910,Sheffield Weds0910,E10910,0.06324786324786325,0.522508038585209,0.28938906752411575,0.18810289389067525,West Brom,Newcastle,3,0
412,E1,09/03/10,West Brom,Sheffield Weds,1,0,0.6944444444444444,0.23809523809523808,0.13333333333333333,0910,West Brom0910,Sheffield Weds0910,E10910,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Middlesbrough,Scunthorpe,3,0
