,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E2,07/08/10,Sheffield Weds,Dag and Red,2,0,0.6944444444444444,0.23094688221709006,0.14285714285714285,1011,Sheffield Weds1011,Dag and Red1011,E21011,0.06824846951867736,0.6500776404176282,0.2161921021250311,0.13373025745734066,Stoke,Burnley,3,0,1,0,0,0
1,E2,14/08/10,Colchester,Sheffield Weds,1,1,0.37037037037037035,0.3076923076923077,0.3846153846153846,1011,Colchester1011,Sheffield Weds1011,E21011,0.06267806267806275,0.34852546916890076,0.28954423592493295,0.3619302949061662,Birmingham,Stoke,1,1,0,1,1,1
2,E2,21/08/10,Sheffield Weds,Brighton,1,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Sheffield Weds1011,Brighton1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Chelsea,Burnley,3,0,1,0,0,2
3,E2,28/08/10,Hartlepool,Sheffield Weds,0,5,0.3125,0.29411764705882354,0.45454545454545453,1011,Hartlepool1011,Sheffield Weds1011,E21011,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Chelsea,Stoke,0,3,1,0,1,3
4,E2,05/09/10,Brentford,Sheffield Weds,1,0,0.3125,0.3076923076923077,0.4444444444444444,1011,Brentford1011,Sheffield Weds1011,E21011,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Birmingham,Bolton,3,0,0,0,2,4
5,E2,11/09/10,Sheffield Weds,Carlisle,0,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,1011,Sheffield Weds1011,Carlisle1011,E21011,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Tottenham,Bolton,0,3,0,0,0,0
6,E2,18/09/10,Plymouth,Sheffield Weds,3,2,0.37037037037037035,0.29411764705882354,0.4,1011,Plymouth1011,Sheffield Weds1011,E21011,0.06448801742919397,0.34793286942284074,0.2762996316004912,0.375767498976668,Everton,Wolves,3,0,0,0,0,0
7,E2,25/09/10,Sheffield Weds,Southampton,0,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Sheffield Weds1011,Southampton1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Man United,Liverpool,0,3,0,0,0,0
8,E2,28/09/10,Sheffield Weds,Oldham,0,0,0.5235602094240838,0.29411764705882354,0.25,1011,Sheffield Weds1011,Oldham1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man City,Birmingham,1,1,0,1,0,0
9,E2,02/10/10,Notts County,Sheffield Weds,0,2,0.4,0.30303030303030304,0.36363636363636365,1011,Notts County1011,Sheffield Weds1011,E21011,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,West Ham,Everton,0,3,1,0,0,1
10,E2,09/10/10,Sheffield Weds,Leyton Orient,1,0,0.5780346820809249,0.2857142857142857,0.2,1011,Sheffield Weds1011,Leyton Orient1011,E21011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Everton,Hull,3,0,1,0,1,2
11,E2,16/10/10,Yeovil,Sheffield Weds,0,2,0.3448275862068966,0.30303030303030304,0.42016806722689076,1011,Yeovil1011,Sheffield Weds1011,E21011,0.06802595646409038,0.3228644248951739,0.28372934308969827,0.39340623201512787,Portsmouth,Burnley,0,3,1,0,2,3
12,E2,23/10/10,Sheffield Weds,Bournemouth,1,1,0.5,0.29411764705882354,0.26666666666666666,1011,Sheffield Weds1011,Bournemouth1011,E21011,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Chelsea,Everton,1,1,0,1,3,4
13,E2,30/10/10,Charlton,Sheffield Weds,1,0,0.4,0.3076923076923077,0.35714285714285715,1011,Charlton1011,Sheffield Weds1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Liverpool,Arsenal,3,0,0,0,0,5
14,E2,02/11/10,Sheffield Weds,Huddersfield,0,2,0.4166666666666667,0.29411764705882354,0.35714285714285715,1011,Sheffield Weds1011,Huddersfield1011,E21011,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,Chelsea,West Ham,0,3,0,0,0,0
15,E2,13/11/10,Sheffield Weds,Rochdale,2,0,0.5464480874316939,0.2857142857142857,0.23094688221709006,1011,Sheffield Weds1011,Rochdale1011,E21011,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Blackburn,Sunderland,3,0,1,0,0,0
16,E2,20/11/10,Milton Keynes Dons,Sheffield Weds,1,4,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Milton Keynes Dons1011,Sheffield Weds1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Stoke,Fulham,0,3,1,0,1,1
17,E2,23/11/10,Sheffield Weds,Walsall,3,0,0.6535947712418301,0.25,0.16666666666666666,1011,Sheffield Weds1011,Walsall1011,E21011,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Man United,Hull,3,0,1,0,2,2
18,E2,04/12/10,Swindon,Sheffield Weds,2,1,0.3802281368821293,0.3076923076923077,0.3802281368821293,1011,Swindon1011,Sheffield Weds1011,E21011,0.06814858145656633,0.3559693318729463,0.28806133625410735,0.3559693318729463,Liverpool,Wolves,3,0,0,0,3,3
19,E2,11/12/10,Sheffield Weds,Bristol Rvs,6,2,0.5988023952095809,0.26666666666666666,0.2,1011,Sheffield Weds1011,Bristol Rvs1011,E21011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Hull,Wolves,3,0,1,0,0,0
20,E2,18/12/10,Exeter,Sheffield Weds,5,1,0.35714285714285715,0.29411764705882354,0.4166666666666667,1011,Exeter1011,Sheffield Weds1011,E21011,0.06792717086834732,0.3344262295081967,0.2754098360655738,0.39016393442622954,Arsenal,Man United,3,0,0,0,1,1
21,E2,03/01/11,Huddersfield,Sheffield Weds,1,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Huddersfield1011,Sheffield Weds1011,E21011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Chelsea,Everton,3,0,0,0,0,0
22,E2,15/01/11,Sheffield Weds,Charlton,2,2,0.5235602094240838,0.29411764705882354,0.25,1011,Sheffield Weds1011,Charlton1011,E21011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Man United,Wolves,1,1,0,1,0,0
23,E2,22/01/11,Leyton Orient,Sheffield Weds,4,0,0.3846153846153846,0.30303030303030304,0.3802281368821293,1011,Leyton Orient1011,Sheffield Weds1011,E21011,0.06787382452781676,0.36016931568245014,0.2837697638710213,0.3560609204465287,Man United,Fulham,3,0,0,0,0,1
24,E2,25/01/11,Sheffield Weds,Yeovil,2,2,0.5988023952095809,0.26666666666666666,0.2,1011,Sheffield Weds1011,Yeovil1011,E21011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Sunderland,Birmingham,1,1,0,1,0,0
25,E2,01/02/11,Peterboro,Sheffield Weds,5,3,0.4444444444444444,0.29411764705882354,0.3225806451612903,1011,Peterboro1011,Sheffield Weds1011,E21011,0.06114273666455827,0.41883568448241604,0.27717067355454006,0.3039936419630439,Everton,Wolves,3,0,0,0,0,1
26,E2,05/02/11,Sheffield Weds,Milton Keynes Dons,2,2,0.5,0.29411764705882354,0.27027027027027023,1011,Sheffield Weds1011,Milton Keynes Dons1011,E21011,0.06438791732909377,0.4697535474234503,0.2763256161314414,0.25392083644510827,Fulham,Wigan,1,1,0,1,0,0
27,E2,12/02/11,Rochdale,Sheffield Weds,2,1,0.3846153846153846,0.30303030303030304,0.3802281368821293,1011,Rochdale1011,Sheffield Weds1011,E21011,0.06787382452781676,0.36016931568245014,0.2837697638710213,0.3560609204465287,Man United,Man City,3,0,0,0,0,1
