,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
9,E2,08/08/09,Southampton,Millwall,1,1,0.5,0.29411764705882354,0.26666666666666666,0910,Southampton0910,Millwall0910,E20910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Liverpool,Tottenham,1,1
46,E2,22/08/09,Southampton,Brentford,1,1,0.5,0.29411764705882354,0.26666666666666666,0910,Southampton0910,Brentford0910,E20910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Arsenal,Wigan,1,1
70,E2,05/09/09,Southampton,Colchester,0,0,0.45454545454545453,0.29411764705882354,0.3125,0910,Southampton0910,Colchester0910,E20910,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Wolves,Portsmouth,1,1
92,E2,19/09/09,Southampton,Yeovil,2,0,0.5988023952095809,0.2777777777777778,0.18181818181818182,0910,Southampton0910,Yeovil0910,E20910,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Bolton,Everton,3,0
115,E2,29/09/09,Southampton,Bristol Rvs,2,3,0.4444444444444444,0.3076923076923077,0.3125,0910,Southampton0910,Bristol Rvs0910,E20910,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Wigan,Fulham,0,3
127,E2,03/10/09,Southampton,Gillingham,4,1,0.5464480874316939,0.2857142857142857,0.23094688221709006,0910,Southampton0910,Gillingham0910,E20910,0.06310925536306966,0.5140093406910212,0.2687534552755911,0.21723720403338773,Fulham,Blackburn,3,0
166,E2,24/10/09,Southampton,Milton Keynes Dons,3,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Southampton0910,Milton Keynes Dons0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Tottenham,Man City,3,0
190,E2,15/11/09,Southampton,Brighton,1,3,0.6369426751592356,0.2631578947368421,0.16666666666666666,0910,Southampton0910,Brighton0910,E20910,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Tottenham,West Ham,0,3
200,E2,21/11/09,Southampton,Norwich,2,2,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Southampton0910,Norwich0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Chelsea,Sunderland,1,1
223,E2,01/12/09,Southampton,Wycombe,1,0,0.6666666666666666,0.25,0.14285714285714285,0910,Southampton0910,Wycombe0910,E20910,0.059523809523809534,0.6292134831460674,0.23595505617977527,0.1348314606741573,Hull,Wolves,3,0
246,E2,12/12/09,Southampton,Tranmere,3,0,0.7142857142857143,0.2222222222222222,0.125,0910,Southampton0910,Tranmere0910,E20910,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Arsenal,Liverpool,3,0
267,E2,26/12/09,Southampton,Exeter,3,1,0.6666666666666666,0.2631578947368421,0.13333333333333333,0910,Southampton0910,Exeter0910,E20910,0.06315789473684208,0.627062706270627,0.24752475247524752,0.1254125412541254,Burnley,Portsmouth,3,0
324,E2,30/01/10,Southampton,Stockport,2,0,0.7751937984496123,0.2,0.08333333333333333,0910,Southampton0910,Stockport0910,E20910,0.05852713178294566,0.7323324789454412,0.18894177956792385,0.07872574148663493,Liverpool,Birmingham,3,0
390,E2,27/02/10,Southampton,Walsall,5,1,0.6369426751592356,0.26666666666666666,0.16666666666666666,0910,Southampton0910,Walsall0910,E20910,0.0702760084925691,0.595120015869867,0.249156913310851,0.15572307081928186,West Brom,Newcastle,3,0
394,E2,02/03/10,Southampton,Huddersfield,5,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Southampton0910,Huddersfield0910,E20910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Bristol City,Crystal Palace,3,0
419,E2,13/03/10,Southampton,Leeds,1,0,0.4,0.30303030303030304,0.35714285714285715,0910,Southampton0910,Leeds0910,E20910,0.06017316017316032,0.3772968558595345,0.2858309514087382,0.3368721927317272,Leicester,Barnsley,3,0
425,E2,16/03/10,Southampton,Swindon,0,1,0.5780346820809249,0.2857142857142857,0.2,0910,Southampton0910,Swindon0910,E20910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Watford,Blackpool,0,3
441,E2,23/03/10,Southampton,Hartlepool,3,2,0.6944444444444444,0.23809523809523808,0.13333333333333333,0910,Southampton0910,Hartlepool0910,E20910,0.06587301587301586,0.6515264333581534,0.22338049143708116,0.12509307520476545,Crystal Palace,Scunthorpe,3,0
473,E2,05/04/10,Southampton,Leyton Orient,2,1,0.7352941176470588,0.2222222222222222,0.1111111111111111,0910,Southampton0910,Leyton Orient0910,E20910,0.06862745098039214,0.6880733944954128,0.20795107033639143,0.10397553516819572,Preston,Coventry,3,0
486,E2,10/04/10,Southampton,Charlton,1,0,0.5,0.2857142857142857,0.2777777777777778,0910,Southampton0910,Charlton0910,E20910,0.06349206349206349,0.4701492537313433,0.26865671641791045,0.2611940298507463,Nott'm Forest,Plymouth,3,0
515,E2,20/04/10,Southampton,Oldham,0,0,0.7352941176470588,0.2222222222222222,0.1111111111111111,0910,Southampton0910,Oldham0910,E20910,0.06862745098039214,0.6880733944954128,0.20795107033639143,0.10397553516819572,Ipswich,Swansea,1,1
524,E2,24/04/10,Southampton,Carlisle,3,2,0.7352941176470588,0.21052631578947367,0.11764705882352941,0910,Southampton0910,Carlisle0910,E20910,0.06346749226006176,0.6914119359534208,0.19796215429403205,0.11062590975254732,Bristol City,Plymouth,3,0
548,E2,08/05/10,Southampton,Southend,3,1,0.7518796992481203,0.2,0.1111111111111111,0910,Southampton0910,Southend0910,E20910,0.06299081035923138,0.7073247406475951,0.1881483810122603,0.10452687834014461,Bristol City,Sheffield Weds,3,0
16,E2,15/08/09,Huddersfield,Southampton,3,1,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Huddersfield0910,Southampton0910,E20910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Arsenal,Portsmouth,3,0
32,E2,18/08/09,Swindon,Southampton,1,0,0.3472222222222222,0.3125,0.4,0910,Swindon0910,Southampton0910,E20910,0.05972222222222223,0.327653997378768,0.2948885976408912,0.3774574049803408,Wolves,Hull,3,0
55,E2,29/08/09,Stockport,Southampton,1,1,0.3225806451612903,0.30303030303030304,0.4347826086956522,0910,Stockport0910,Southampton0910,E20910,0.06039355688724557,0.30420841683366734,0.28577154308617236,0.41002004008016035,Wolves,Fulham,1,1
75,E2,12/09/09,Charlton,Southampton,1,1,0.6172839506172839,0.2777777777777778,0.16666666666666666,0910,Charlton0910,Southampton0910,E20910,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Man City,Aston Villa,1,1
97,E2,26/09/09,Carlisle,Southampton,1,1,0.3802281368821293,0.30303030303030304,0.3802281368821293,0910,Carlisle0910,Southampton0910,E20910,0.0634865767945616,0.35752979414951247,0.28494041170097506,0.35752979414951247,Chelsea,Bolton,1,1
132,E2,09/10/09,Southend,Southampton,1,3,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Southend0910,Southampton0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Man City,Hull,0,3
146,E2,17/10/09,Oldham,Southampton,1,3,0.3846153846153846,0.3076923076923077,0.37037037037037035,0910,Oldham0910,Southampton0910,E20910,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Wolves,Bolton,0,3
173,E2,31/10/09,Leyton Orient,Southampton,2,2,0.23809523809523808,0.2857142857142857,0.5235602094240838,0910,Leyton Orient0910,Southampton0910,E20910,0.04736973323360738,0.2273268269459653,0.27279219233515833,0.49988098071887654,Everton,Birmingham,1,1
207,E2,24/11/09,Hartlepool,Southampton,1,3,0.3448275862068966,0.30303030303030304,0.4166666666666667,0910,Hartlepool0910,Southampton0910,E20910,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Blackburn,Fulham,0,3
236,E2,05/12/09,Walsall,Southampton,1,3,0.3472222222222222,0.30303030303030304,0.4166666666666667,0910,Walsall0910,Southampton0910,E20910,0.06691919191919204,0.32544378698224846,0.2840236686390532,0.3905325443786982,Man United,Portsmouth,0,3
254,E2,19/12/09,Leeds,Southampton,1,0,0.5464480874316939,0.2857142857142857,0.23809523809523808,0910,Leeds0910,Southampton0910,E20910,0.07025761124121765,0.5105762217359592,0.26695842450765866,0.2224653537563822,Arsenal,Sunderland,3,0
271,E2,28/12/09,Colchester,Southampton,2,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Colchester0910,Southampton0910,E20910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Sunderland,Fulham,3,0
