,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
10,E2,08/08/09,Southend,Huddersfield,2,2,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Southend0910,Huddersfield0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Chelsea,Sunderland,1,1
36,E2,21/08/09,Southend,Millwall,0,0,0.4,0.30303030303030304,0.35714285714285715,0910,Southend0910,Millwall0910,E20910,0.06017316017316032,0.3772968558595345,0.2858309514087382,0.3368721927317272,Blackburn,Wolves,1,1
61,E2,04/09/09,Southend,Leyton Orient,3,0,0.45454545454545453,0.29411764705882354,0.3125,0910,Southend0910,Leyton Orient0910,E20910,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Man United,Stoke,3,0
72,E2,11/09/09,Southend,Leeds,0,0,0.25,0.2857142857142857,0.5235602094240838,0910,Southend0910,Leeds0910,E20910,0.059274495138369465,0.23601059135039718,0.26972639011473964,0.4942630185348632,Chelsea,Liverpool,1,1
104,E2,26/09/09,Southend,Oldham,0,1,0.5235602094240838,0.3076923076923077,0.23094688221709006,0910,Southend0910,Oldham0910,E20910,0.06219939933348151,0.4929020010297615,0.2896747144513368,0.21742328451890172,Sunderland,West Ham,0,3
132,E2,09/10/09,Southend,Southampton,1,3,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Southend0910,Southampton0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Man City,Hull,0,3
147,E2,17/10/09,Southend,Bristol Rvs,2,1,0.4,0.30303030303030304,0.35714285714285715,0910,Southend0910,Bristol Rvs0910,E20910,0.06017316017316032,0.3772968558595345,0.2858309514087382,0.3368721927317272,Tottenham,Everton,3,0
168,E2,30/10/09,Southend,Gillingham,1,0,0.5,0.29411764705882354,0.26666666666666666,0910,Southend0910,Gillingham0910,E20910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Aston Villa,Stoke,3,0
191,E2,20/11/09,Southend,Milton Keynes Dons,2,1,0.3333333333333333,0.3076923076923077,0.42016806722689076,0910,Southend0910,Milton Keynes Dons0910,E20910,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Man City,Wolves,3,0
224,E2,01/12/09,Southend,Norwich,0,3,0.3125,0.30303030303030304,0.4444444444444444,0910,Southend0910,Norwich0910,E20910,0.0599747474747474,0.2948183442525313,0.2858844550327576,0.41929720071471116,Liverpool,Bolton,0,3
247,E2,12/12/09,Southend,Hartlepool,3,2,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Southend0910,Hartlepool0910,E20910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Man United,Aston Villa,3,0
268,E2,26/12/09,Southend,Colchester,1,2,0.35714285714285715,0.3076923076923077,0.4,0910,Southend0910,Colchester0910,E20910,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Chelsea,Man City,0,3
304,E2,23/01/10,Southend,Wycombe,1,1,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Southend0910,Wycombe0910,E20910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Blackburn,Birmingham,1,1
325,E2,30/01/10,Southend,Swindon,2,2,0.3448275862068966,0.3076923076923077,0.4166666666666667,0910,Southend0910,Swindon0910,E20910,0.06918656056587102,0.3225139549307422,0.28778168286127764,0.3897043622079801,Everton,West Ham,1,1
353,E2,13/02/10,Southend,Tranmere,1,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Southend0910,Tranmere0910,E20910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Wolves,Blackburn,1,1
382,E2,26/02/10,Southend,Charlton,1,2,0.30303030303030304,0.30303030303030304,0.45454545454545453,0910,Southend0910,Charlton0910,E20910,0.06060606060606055,0.28571428571428575,0.28571428571428575,0.4285714285714286,Crystal Palace,Plymouth,0,3
420,E2,13/03/10,Southend,Exeter,0,0,0.45454545454545453,0.3125,0.29411764705882354,0910,Southend0910,Exeter0910,E20910,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Middlesbrough,Doncaster,1,1
