,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
19,E2,15/08/09,Stockport,Bristol Rvs,0,2,0.3846153846153846,0.3125,0.36363636363636365,0910,Stockport0910,Bristol Rvs0910,E20910,0.06075174825174834,0.36258755665430564,0.2946023897816234,0.34281005356407085,Man City,Wolves,0,3
31,E2,18/08/09,Stockport,Carlisle,1,2,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Stockport0910,Carlisle0910,E20910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Tottenham,Birmingham,0,3
55,E2,29/08/09,Stockport,Southampton,1,1,0.3225806451612903,0.30303030303030304,0.4347826086956522,0910,Stockport0910,Southampton0910,E20910,0.06039355688724557,0.30420841683366734,0.28577154308617236,0.41002004008016035,Wolves,Fulham,1,1
93,E2,19/09/09,Stockport,Leyton Orient,2,1,0.4166666666666667,0.29411764705882354,0.35714285714285715,0910,Stockport0910,Leyton Orient0910,E20910,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,Man United,Liverpool,3,0
116,E2,29/09/09,Stockport,Hartlepool,2,2,0.42016806722689076,0.3076923076923077,0.3333333333333333,0910,Stockport0910,Hartlepool0910,E20910,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Liverpool,Birmingham,1,1
128,E2,03/10/09,Stockport,Southend,0,2,0.4,0.30303030303030304,0.35714285714285715,0910,Stockport0910,Southend0910,E20910,0.06017316017316032,0.3772968558595345,0.2858309514087382,0.3368721927317272,Everton,Hull,0,3
148,E2,17/10/09,Stockport,Millwall,0,4,0.3333333333333333,0.3125,0.42016806722689076,0910,Stockport0910,Millwall0910,E20910,0.06600140056022408,0.31269502381343406,0.29315158482509446,0.39415339136147154,Fulham,Sunderland,0,3
176,E2,31/10/09,Stockport,Norwich,1,3,0.23094688221709006,0.2857142857142857,0.5464480874316939,0910,Stockport0910,Norwich0910,E20910,0.06310925536306966,0.21723720403338773,0.2687534552755911,0.5140093406910212,Chelsea,Birmingham,0,3
201,E2,21/11/09,Stockport,Exeter,1,3,0.4,0.30303030303030304,0.35714285714285715,0910,Stockport0910,Exeter0910,E20910,0.06017316017316032,0.3772968558595345,0.2858309514087382,0.3368721927317272,Man City,Everton,0,3
248,E2,12/12/09,Stockport,Charlton,1,2,0.2,0.26666666666666666,0.5988023952095809,0910,Stockport0910,Charlton0910,E20910,0.06546906187624746,0.18771075309104535,0.2502810041213938,0.562008242787561,Blackburn,Hull,0,3
276,E2,28/12/09,Stockport,Leeds,2,4,0.11764705882352941,0.21052631578947367,0.7352941176470588,0910,Stockport0910,Leeds0910,E20910,0.06346749226006176,0.11062590975254732,0.19796215429403205,0.6914119359534208,Everton,Hull,0,3
296,E2,19/01/10,Stockport,Swindon,0,1,0.18181818181818182,0.2857142857142857,0.5988023952095809,0910,Stockport0910,Swindon0910,E20910,0.06633486274204836,0.1705075845974329,0.26794049008168025,0.5615519253208868,Tottenham,Stoke,0,3
312,E2,26/01/10,Stockport,Brighton,1,1,0.29411764705882354,0.29411764705882354,0.47619047619047616,0910,Stockport0910,Brighton0910,E20910,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,West Ham,Stoke,1,1
336,E2,06/02/10,Stockport,Milton Keynes Dons,1,3,0.2222222222222222,0.26666666666666666,0.5780346820809249,0910,Stockport0910,Milton Keynes Dons0910,E20910,0.06692357096981372,0.20828316879364314,0.24993980255237178,0.5417770286539851,Wigan,Portsmouth,0,3
