,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
10,E0,18/08/09,Sunderland,Chelsea,1,3,0.15384615384615385,0.25,0.6535947712418301,0910,Sunderland0910,Chelsea0910,E00910,0.05744092508798393,0.1454891239748009,0.23641982645905146,0.6180910495661476,Chelsea,Sunderland,0,3
20,E0,22/08/09,Sunderland,Blackburn,2,1,0.47619047619047616,0.3076923076923077,0.26666666666666666,0910,Sunderland0910,Blackburn0910,E00910,0.05054945054945059,0.4532775453277545,0.2928870292887029,0.25383542538354253,Sunderland,Blackburn,3,0
41,E0,12/09/09,Sunderland,Hull,4,1,0.5714285714285714,0.2857142857142857,0.2,0910,Sunderland0910,Hull0910,E00910,0.05714285714285716,0.5405405405405405,0.27027027027027023,0.1891891891891892,Sunderland,Hull,3,0
64,E0,27/09/09,Sunderland,Wolves,5,2,0.5780346820809249,0.2777777777777778,0.2,0910,Sunderland0910,Wolves0910,E00910,0.055812459858702645,0.5474785570898474,0.26309386215706554,0.1894275807530872,Sunderland,Wolves,3,0
82,E0,17/10/09,Sunderland,Liverpool,1,0,0.23809523809523808,0.29411764705882354,0.5235602094240838,0910,Sunderland0910,Liverpool0910,E00910,0.05577309457814539,0.22551743297680232,0.2785803583831088,0.4959022086400889,Liverpool,Sunderland,3,0
104,E0,31/10/09,Sunderland,West Ham,2,2,0.5,0.30303030303030304,0.25,0910,Sunderland0910,West Ham0910,E00910,0.05303030303030298,0.47482014388489213,0.2877697841726619,0.23741007194244607,Sunderland,West Ham,1,1
123,E0,21/11/09,Sunderland,Arsenal,1,0,0.16666666666666666,0.26666666666666666,0.6172839506172839,0910,Sunderland0910,Arsenal0910,E00910,0.05061728395061715,0.15863689776733256,0.2538190364277321,0.5875440658049355,Arsenal,Sunderland,3,0
156,E0,12/12/09,Sunderland,Portsmouth,1,1,0.5555555555555556,0.2857142857142857,0.21052631578947367,0910,Sunderland0910,Portsmouth0910,E00910,0.05179615705931484,0.5281969817315331,0.27164416203335984,0.20015885623510724,Sunderland,Portsmouth,1,1
162,E0,15/12/09,Sunderland,Aston Villa,0,2,0.3472222222222222,0.30303030303030304,0.4,0910,Sunderland0910,Aston Villa0910,E00910,0.05025252525252544,0.33060831930752577,0.28853089685020433,0.38086078384226973,Aston Villa,Sunderland,0,3
181,E0,26/12/09,Sunderland,Everton,1,1,0.42016806722689076,0.30303030303030304,0.3333333333333333,0910,Sunderland0910,Everton0910,E00910,0.05653170359052706,0.39768618944323936,0.28681610026512416,0.31549771029163654,Sunderland,Everton,1,1
229,E0,01/02/10,Sunderland,Stoke,0,0,0.5,0.29411764705882354,0.2631578947368421,0910,Sunderland0910,Stoke0910,E00910,0.05727554179566563,0.47291361639824303,0.2781844802342606,0.24890190336749632,Sunderland,Stoke,1,1
238,E0,06/02/10,Sunderland,Wigan,1,1,0.5,0.29411764705882354,0.2631578947368421,0910,Sunderland0910,Wigan0910,E00910,0.05727554179566563,0.47291361639824303,0.2781844802342606,0.24890190336749632,Sunderland,Wigan,1,1
271,E0,28/02/10,Sunderland,Fulham,0,0,0.45454545454545453,0.3125,0.2857142857142857,0910,Sunderland0910,Fulham0910,E00910,0.05275974025974017,0.4317656129529684,0.2968388589051658,0.27139552814186585,Sunderland,Fulham,1,1
279,E0,09/03/10,Sunderland,Bolton,4,0,0.47619047619047616,0.3076923076923077,0.26666666666666666,0910,Sunderland0910,Bolton0910,E00910,0.05054945054945059,0.4532775453277545,0.2928870292887029,0.25383542538354253,Sunderland,Bolton,3,0
289,E0,14/03/10,Sunderland,Man City,1,1,0.2777777777777778,0.29411764705882354,0.47619047619047616,0910,Sunderland0910,Man City0910,E00910,0.04808590102707733,0.26503340757238314,0.28062360801781744,0.4543429844097996,Man City,Sunderland,1,1
297,E0,20/03/10,Sunderland,Birmingham,3,1,0.45454545454545453,0.3125,0.2857142857142857,0910,Sunderland0910,Birmingham0910,E00910,0.05275974025974017,0.4317656129529684,0.2968388589051658,0.27139552814186585,Sunderland,Birmingham,3,0
323,E0,03/04/10,Sunderland,Tottenham,3,1,0.2777777777777778,0.30303030303030304,0.47619047619047616,0910,Sunderland0910,Tottenham0910,E00910,0.05699855699855716,0.26279863481228666,0.28668941979522183,0.4505119453924914,Tottenham,Sunderland,3,0
342,E0,17/04/10,Sunderland,Burnley,2,1,0.6172839506172839,0.26666666666666666,0.16666666666666666,0910,Sunderland0910,Burnley0910,E00910,0.050617283950617376,0.5875440658049352,0.25381903642773207,0.15863689776733253,Sunderland,Burnley,3,0
365,E0,02/05/10,Sunderland,Man United,0,1,0.10526315789473684,0.21052631578947367,0.7352941176470588,0910,Sunderland0910,Man United0910,E00910,0.051083591331269274,0.10014727540500737,0.20029455081001474,0.6995581737849779,Man United,Sunderland,0,3
