,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
21,E1,14/08/10,Swansea,Preston,4,0,0.5464480874316939,0.29411764705882354,0.2222222222222222,1011,Swansea1011,Preston1011,E11011,0.06278795671273985,0.5141647343482205,0.27674160701683637,0.209093658634943,Man United,Wigan,3,0
46,E1,28/08/10,Swansea,Burnley,1,0,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Swansea1011,Burnley1011,E11011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Arsenal,Wigan,3,0
71,E1,14/09/10,Swansea,Coventry,2,1,0.5714285714285714,0.2777777777777778,0.2222222222222222,1011,Swansea1011,Coventry1011,E11011,0.0714285714285714,0.5333333333333333,0.2592592592592593,0.2074074074074074,Arsenal,Blackburn,3,0
83,E1,18/09/10,Swansea,Scunthorpe,2,0,0.5988023952095809,0.2857142857142857,0.18181818181818182,1011,Swansea1011,Scunthorpe1011,E11011,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Blackburn,Burnley,3,0
119,E1,02/10/10,Swansea,Derby,0,0,0.5780346820809249,0.2857142857142857,0.2,1011,Swansea1011,Derby1011,E11011,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Chelsea,Wolves,1,1
142,E1,19/10/10,Swansea,QPR,0,0,0.4166666666666667,0.3076923076923077,0.3448275862068966,1011,Swansea1011,QPR1011,E11011,0.06918656056587102,0.3897043622079801,0.28778168286127764,0.3225139549307422,Chelsea,Man City,1,1
153,E1,23/10/10,Swansea,Leicester,2,0,0.45454545454545453,0.3076923076923077,0.30303030303030304,1011,Swansea1011,Leicester1011,E11011,0.06526806526806528,0.42669584245076586,0.2888402625820569,0.2844638949671772,Blackburn,Hull,3,0
191,E1,10/11/10,Swansea,Bristol City,0,1,0.6172839506172839,0.2777777777777778,0.16666666666666666,1011,Swansea1011,Bristol City1011,E11011,0.06172839506172845,0.5813953488372092,0.2616279069767442,0.15697674418604649,Man City,Wolves,0,3
203,E1,14/11/10,Swansea,Middlesbrough,1,0,0.5780346820809249,0.2777777777777778,0.21052631578947367,1011,Swansea1011,Middlesbrough1011,E11011,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Liverpool,Stoke,3,0
216,E1,26/11/10,Swansea,Portsmouth,1,2,0.5780346820809249,0.26666666666666666,0.2222222222222222,1011,Swansea1011,Portsmouth1011,E11011,0.06692357096981372,0.5417770286539851,0.24993980255237178,0.20828316879364314,Arsenal,Aston Villa,0,3
236,E1,10/12/10,Swansea,Millwall,1,1,0.5882352941176471,0.2777777777777778,0.2,1011,Swansea1011,Millwall1011,E11011,0.06601307189542482,0.5518087063151441,0.26057633353770693,0.187614960147149,Man United,Portsmouth,1,1
269,E1,28/12/10,Swansea,Barnsley,1,0,0.6172839506172839,0.2631578947368421,0.18181818181818182,1011,Swansea1011,Barnsley1011,E11011,0.06226002717230794,0.5811043763554468,0.24773397097258518,0.17116165267196795,Arsenal,Stoke,3,0
282,E1,01/01/11,Swansea,Reading,1,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Swansea1011,Reading1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Bolton,Wigan,3,0
306,E1,15/01/11,Swansea,Crystal Palace,3,0,0.6369426751592356,0.2631578947368421,0.16666666666666666,1011,Swansea1011,Crystal Palace1011,E11011,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Chelsea,Portsmouth,3,0
349,E1,06/02/11,Swansea,Cardiff,0,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Swansea1011,Cardiff1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Bolton,Portsmouth,0,3
377,E1,19/02/11,Swansea,Doncaster,3,0,0.6369426751592356,0.2631578947368421,0.16666666666666666,1011,Swansea1011,Doncaster1011,E11011,0.06676723656274453,0.5970774629445346,0.24668726758497875,0.15623526947048655,Man United,Stoke,3,0
400,E1,26/02/11,Swansea,Leeds,3,0,0.5235602094240838,0.29411764705882354,0.25,1011,Swansea1011,Leeds1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Plymouth,QPR,3,0
427,E1,08/03/11,Swansea,Watford,1,1,0.5988023952095809,0.26666666666666666,0.2,1011,Swansea1011,Watford1011,E11011,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Cardiff,Bristol City,1,1
453,E1,19/03/11,Swansea,Nott'm Forest,3,2,0.5,0.30303030303030304,0.26666666666666666,1011,Swansea1011,Nott'm Forest1011,E11011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Derby,Barnsley,3,0
477,E1,09/04/11,Swansea,Norwich,3,0,0.47619047619047616,0.3076923076923077,0.2777777777777778,1011,Swansea1011,Norwich1011,E11011,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Derby,Bristol City,3,0
489,E1,12/04/11,Swansea,Hull,1,1,0.5988023952095809,0.2777777777777778,0.18181818181818182,1011,Swansea1011,Hull1011,E11011,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Cardiff,Derby,1,1
527,E1,25/04/11,Swansea,Ipswich,4,1,0.6172839506172839,0.26666666666666666,0.18181818181818182,1011,Swansea1011,Ipswich1011,E11011,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Ipswich,Watford,3,0
551,E1,07/05/11,Swansea,Sheffield United,4,0,0.6535947712418301,0.25,0.16666666666666666,1011,Swansea1011,Sheffield United1011,E11011,0.0702614379084967,0.6106870229007634,0.233587786259542,0.15572519083969466,Ipswich,Derby,3,0
5,E1,07/08/10,Hull,Swansea,2,0,0.4444444444444444,0.3125,0.3076923076923077,1011,Hull1011,Swansea1011,E11011,0.06463675213675213,0.41746111389864526,0.29352734570998495,0.28901154039136984,Portsmouth,Fulham,3,0
31,E1,21/08/10,Norwich,Swansea,2,0,0.42016806722689076,0.30303030303030304,0.3448275862068966,1011,Norwich1011,Swansea1011,E11011,0.06802595646409038,0.39340623201512787,0.28372934308969827,0.3228644248951739,Tottenham,Birmingham,3,0
52,E1,11/09/10,Leeds,Swansea,2,1,0.4444444444444444,0.3076923076923077,0.3076923076923077,1011,Leeds1011,Swansea1011,E11011,0.05982905982905984,0.4193548387096774,0.2903225806451613,0.2903225806451613,Chelsea,Tottenham,3,0
91,E1,25/09/10,Nott'm Forest,Swansea,3,1,0.45454545454545453,0.3125,0.29411764705882354,1011,Nott'm Forest1011,Swansea1011,E11011,0.06116310160427818,0.4283464566929133,0.2944881889763779,0.27716535433070866,Aston Villa,Wolves,3,0
107,E1,28/09/10,Watford,Swansea,2,3,0.4347826086956522,0.3076923076923077,0.3225806451612903,1011,Watford1011,Swansea1011,E11011,0.0650555615492503,0.40822528363047,0.28889789303079416,0.3028768233387358,Aston Villa,Bolton,0,3
129,E1,16/10/10,Reading,Swansea,0,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,Reading1011,Swansea1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Aston Villa,Tottenham,0,3
158,E1,30/10/10,Crystal Palace,Swansea,0,3,0.3125,0.3076923076923077,0.4444444444444444,1011,Crystal Palace1011,Swansea1011,E11011,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Liverpool,Arsenal,0,3
179,E1,07/11/10,Cardiff,Swansea,0,1,0.5235602094240838,0.29411764705882354,0.25,1011,Cardiff1011,Swansea1011,E11011,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Liverpool,Wolves,0,3
209,E1,20/11/10,Doncaster,Swansea,1,1,0.3846153846153846,0.3076923076923077,0.37037037037037035,1011,Doncaster1011,Swansea1011,E11011,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Arsenal,Bolton,1,1
231,E1,04/12/10,Ipswich,Swansea,1,3,0.3802281368821293,0.3225806451612903,0.36363636363636365,1011,Ipswich1011,Swansea1011,E11011,0.06644514567978321,0.35653792266995676,0.3024821731038665,0.3409799042261768,Fulham,Portsmouth,0,3
253,E1,18/12/10,Sheffield United,Swansea,1,0,0.3472222222222222,0.30303030303030304,0.4166666666666667,1011,Sheffield United1011,Swansea1011,E11011,0.06691919191919204,0.32544378698224846,0.2840236686390532,0.3905325443786982,Wigan,Bolton,3,0
258,E1,26/12/10,QPR,Swansea,4,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,1011,QPR1011,Swansea1011,E11011,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Chelsea,Wolves,3,0
288,E1,03/01/11,Leicester,Swansea,2,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Leicester1011,Swansea1011,E11011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Man United,Fulham,3,0
308,E1,22/01/11,Barnsley,Swansea,1,1,0.26666666666666666,0.30303030303030304,0.5,1011,Barnsley1011,Swansea1011,E11011,0.06969696969696981,0.24929178470254953,0.28328611898017,0.4674220963172804,Man United,Bolton,1,1
327,E1,01/02/11,Bristol City,Swansea,0,2,0.29411764705882354,0.29411764705882354,0.47619047619047616,1011,Bristol City1011,Swansea1011,E11011,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Hull,Burnley,0,3
357,E1,12/02/11,Middlesbrough,Swansea,3,4,0.4,0.3125,0.3472222222222222,1011,Middlesbrough1011,Swansea1011,E11011,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Everton,Fulham,0,3
379,E1,22/02/11,Coventry,Swansea,0,1,0.3125,0.3076923076923077,0.4444444444444444,1011,Coventry1011,Swansea1011,E11011,0.06463675213675213,0.29352734570998495,0.28901154039136984,0.41746111389864526,Wolves,Sunderland,0,3
414,E1,05/03/11,Scunthorpe,Swansea,1,0,0.21052631578947367,0.2777777777777778,0.5780346820809249,1011,Scunthorpe1011,Swansea1011,E11011,0.06633877564817636,0.19742911033269403,0.26049674280008245,0.5420741468672235,Swansea,Reading,3,0
