,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
20,E2,15/08/09,Swindon,Milton Keynes Dons,0,0,0.35714285714285715,0.3076923076923077,0.4,0910,Swindon0910,Milton Keynes Dons0910,E20910,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Sunderland,Blackburn,1,1
32,E2,18/08/09,Swindon,Southampton,1,0,0.3472222222222222,0.3125,0.4,0910,Swindon0910,Southampton0910,E20910,0.05972222222222223,0.327653997378768,0.2948885976408912,0.3774574049803408,Wolves,Hull,3,0
56,E2,29/08/09,Swindon,Southend,2,1,0.4347826086956522,0.30303030303030304,0.3225806451612903,0910,Swindon0910,Southend0910,E20910,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Birmingham,Bolton,3,0
80,E2,12/09/09,Swindon,Colchester,1,1,0.4,0.3076923076923077,0.35714285714285715,0910,Swindon0910,Colchester0910,E20910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Tottenham,Portsmouth,1,1
105,E2,26/09/09,Swindon,Wycombe,1,1,0.5780346820809249,0.2777777777777778,0.21052631578947367,0910,Swindon0910,Wycombe0910,E20910,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Man City,Birmingham,1,1
139,E2,10/10/09,Swindon,Millwall,1,1,0.4444444444444444,0.3076923076923077,0.3125,0910,Swindon0910,Millwall0910,E20910,0.06463675213675213,0.41746111389864526,0.28901154039136984,0.29352734570998495,Arsenal,Stoke,1,1
149,E2,17/10/09,Swindon,Hartlepool,0,2,0.5235602094240838,0.29411764705882354,0.25,0910,Swindon0910,Hartlepool0910,E20910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Birmingham,West Ham,0,3
211,E2,24/11/09,Swindon,Huddersfield,2,1,0.3448275862068966,0.30303030303030304,0.4166666666666667,0910,Swindon0910,Huddersfield0910,E20910,0.0645245559038663,0.3239263803680982,0.2846625766871166,0.3914110429447853,Man United,Hull,3,0
234,E2,05/12/09,Swindon,Leyton Orient,3,2,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Swindon0910,Leyton Orient0910,E20910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Man City,Hull,3,0
257,E2,19/12/09,Swindon,Brighton,2,1,0.5,0.29411764705882354,0.26666666666666666,0910,Swindon0910,Brighton0910,E20910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,West Ham,Hull,3,0
277,E2,28/12/09,Swindon,Yeovil,3,1,0.5405405405405405,0.29411764705882354,0.23094688221709006,0910,Swindon0910,Yeovil0910,E20910,0.06560506981645409,0.5072616073735894,0.2760099922473943,0.21672840037901628,Liverpool,Wigan,3,0
290,E2,16/01/10,Swindon,Gillingham,3,1,0.5882352941176471,0.2777777777777778,0.2,0910,Swindon0910,Gillingham0910,E20910,0.06601307189542482,0.5518087063151441,0.26057633353770693,0.187614960147149,Liverpool,Portsmouth,3,0
313,E2,26/01/10,Swindon,Leeds,3,0,0.3076923076923077,0.30303030303030304,0.45454545454545453,0910,Swindon0910,Leeds0910,E20910,0.06526806526806528,0.2888402625820569,0.2844638949671772,0.42669584245076586,Everton,Wolves,3,0
337,E2,06/02/10,Swindon,Charlton,1,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Swindon0910,Charlton0910,E20910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Birmingham,Hull,1,1
345,E2,09/02/10,Swindon,Oldham,4,2,0.5988023952095809,0.26666666666666666,0.2,0910,Swindon0910,Oldham0910,E20910,0.06546906187624746,0.562008242787561,0.2502810041213938,0.18771075309104535,Arsenal,Wigan,3,0
368,E2,20/02/10,Swindon,Carlisle,2,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Swindon0910,Carlisle0910,E20910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Fulham,Stoke,3,0
378,E2,23/02/10,Swindon,Stockport,4,1,0.7142857142857143,0.2222222222222222,0.125,0910,Swindon0910,Stockport0910,E20910,0.06150793650793651,0.6728971962616822,0.20934579439252335,0.11775700934579439,Man City,West Ham,3,0
402,E2,06/03/10,Swindon,Bristol Rvs,0,4,0.5780346820809249,0.2857142857142857,0.2,0910,Swindon0910,Bristol Rvs0910,E20910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Sheffield United,Watford,0,3
435,E2,20/03/10,Swindon,Norwich,1,1,0.3333333333333333,0.3076923076923077,0.42016806722689076,0910,Swindon0910,Norwich0910,E20910,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,QPR,Scunthorpe,1,1
