,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
9,E0,16/08/09,Tottenham,Liverpool,2,1,0.3125,0.3076923076923077,0.4347826086956522,0910,Tottenham0910,Liverpool0910,E00910,0.054974916387959816,0.29621557360808404,0.2916584109371904,0.41212601545472566,Liverpool,Tottenham,3,0
31,E0,29/08/09,Tottenham,Birmingham,2,1,0.7352941176470588,0.21052631578947367,0.1111111111111111,0910,Tottenham0910,Birmingham0910,E00910,0.05693154454764349,0.6956875508543532,0.19918633034987795,0.10512611879576893,Tottenham,Birmingham,3,0
42,E0,12/09/09,Tottenham,Man United,1,3,0.3225806451612903,0.29411764705882354,0.4347826086956522,0910,Tottenham0910,Man United0910,E00910,0.05148090091576618,0.3067869752844252,0.27971753628874063,0.41349548842683403,Man United,Tottenham,0,3
62,E0,26/09/09,Tottenham,Burnley,5,0,0.7518796992481203,0.2,0.1,0910,Tottenham0910,Burnley0910,E00910,0.0518796992481203,0.7147962830593281,0.1901358112937813,0.09506790564689065,Tottenham,Burnley,3,0
90,E0,24/10/09,Tottenham,Stoke,0,1,0.6944444444444444,0.23094688221709006,0.13333333333333333,0910,Tottenham0910,Stoke0910,E00910,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Tottenham,Stoke,0,3
110,E0,07/11/09,Tottenham,Sunderland,2,0,0.6369426751592356,0.26666666666666666,0.15384615384615385,0910,Tottenham0910,Sunderland0910,E00910,0.05745549567205632,0.6023352072650892,0.25217767344165065,0.14548711929326003,Tottenham,Sunderland,3,0
126,E0,22/11/09,Tottenham,Wigan,9,1,0.6944444444444444,0.23094688221709006,0.125,0910,Tottenham0910,Wigan0910,E00910,0.05039132666153456,0.661129263749351,0.2198674687757657,0.11900326747488318,Tottenham,Wigan,3,0
157,E0,12/12/09,Tottenham,Wolves,0,1,0.8,0.17391304347826086,0.07692307692307693,0910,Tottenham0910,Wolves0910,E00910,0.05083612040133789,0.7612985359643539,0.16549968173138127,0.0732017823042648,Tottenham,Wolves,0,3
166,E0,16/12/09,Tottenham,Man City,3,0,0.4444444444444444,0.30303030303030304,0.3076923076923077,0910,Tottenham0910,Man City0910,E00910,0.05516705516705511,0.4212076583210604,0.2871870397643594,0.2916053019145803,Tottenham,Man City,3,0
190,E0,28/12/09,Tottenham,West Ham,2,0,0.6944444444444444,0.23809523809523808,0.125,0910,Tottenham0910,West Ham0910,E00910,0.05753968253968256,0.6566604127579737,0.225140712945591,0.11819887429643527,Tottenham,West Ham,3,0
204,E0,16/01/10,Tottenham,Hull,0,0,0.8,0.16666666666666666,0.09090909090909091,0910,Tottenham0910,Hull0910,E00910,0.05757575757575761,0.7564469914040115,0.15759312320916904,0.08595988538681948,Tottenham,Hull,1,1
214,E0,26/01/10,Tottenham,Fulham,2,0,0.6369426751592356,0.26666666666666666,0.15384615384615385,0910,Tottenham0910,Fulham0910,E00910,0.05745549567205632,0.6023352072650892,0.25217767344165065,0.14548711929326003,Tottenham,Fulham,3,0
239,E0,06/02/10,Tottenham,Aston Villa,0,0,0.47619047619047616,0.30303030303030304,0.2777777777777778,0910,Tottenham0910,Aston Villa0910,E00910,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Tottenham,Aston Villa,1,1
272,E0,28/02/10,Tottenham,Everton,2,1,0.5,0.29411764705882354,0.25,0910,Tottenham0910,Everton0910,E00910,0.044117647058823595,0.4788732394366197,0.28169014084507044,0.23943661971830985,Tottenham,Everton,3,0
287,E0,13/03/10,Tottenham,Blackburn,3,1,0.6944444444444444,0.23094688221709006,0.13333333333333333,0910,Tottenham0910,Blackburn0910,E00910,0.05872465999486787,0.6559254456657416,0.21813686876643598,0.1259376855678224,Tottenham,Blackburn,3,0
311,E0,27/03/10,Tottenham,Portsmouth,2,0,0.8333333333333334,0.16666666666666666,0.058823529411764705,0910,Tottenham0910,Portsmouth0910,E00910,0.05882352941176472,0.7870370370370371,0.15740740740740738,0.05555555555555555,Tottenham,Portsmouth,3,0
335,E0,14/04/10,Tottenham,Arsenal,2,1,0.3076923076923077,0.30303030303030304,0.4444444444444444,0910,Tottenham0910,Arsenal0910,E00910,0.05516705516705511,0.2916053019145803,0.2871870397643594,0.4212076583210604,Arsenal,Tottenham,3,0
343,E0,17/04/10,Tottenham,Chelsea,2,1,0.25,0.2777777777777778,0.5235602094240838,0910,Tottenham0910,Chelsea0910,E00910,0.05133798720186156,0.23779222575736617,0.2642135841748513,0.49799419006778256,Chelsea,Tottenham,3,0
