,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
10,E2,07/08/10,Walsall,Milton Keynes Dons,1,2,0.4,0.3125,0.3472222222222222,1011,Walsall1011,Milton Keynes Dons1011,E21011,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Chelsea,Sunderland,0,3
32,E2,21/08/10,Walsall,Plymouth,2,1,0.35714285714285715,0.3225806451612903,0.3846153846153846,1011,Walsall1011,Plymouth1011,E21011,0.06433888691953205,0.33555370524562866,0.30308076602830974,0.3613655287260616,Wolves,Hull,3,0
55,E2,04/09/10,Walsall,Colchester,0,1,0.4,0.3076923076923077,0.35714285714285715,1011,Walsall1011,Colchester1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Wolves,Fulham,0,3
81,E2,18/09/10,Walsall,Swindon,1,2,0.37037037037037035,0.29411764705882354,0.4,1011,Walsall1011,Swindon1011,E21011,0.06448801742919397,0.34793286942284074,0.2762996316004912,0.375767498976668,Stoke,West Ham,0,3
119,E2,02/10/10,Walsall,Yeovil,0,1,0.4347826086956522,0.30303030303030304,0.3225806451612903,1011,Walsall1011,Yeovil1011,E21011,0.06039355688724557,0.41002004008016035,0.28577154308617236,0.30420841683366734,Chelsea,Wolves,0,3
130,E2,09/10/10,Walsall,Exeter,2,1,0.4,0.3076923076923077,0.35714285714285715,1011,Walsall1011,Exeter1011,E21011,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Blackburn,Stoke,3,0
155,E2,23/10/10,Walsall,Tranmere,1,4,0.5,0.30303030303030304,0.26666666666666666,1011,Walsall1011,Tranmere1011,E21011,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Stoke,Wigan,0,3
177,E2,02/11/10,Walsall,Peterboro,1,3,0.3125,0.29411764705882354,0.45454545454545453,1011,Walsall1011,Peterboro1011,E21011,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Burnley,Bolton,0,3
201,E2,20/11/10,Walsall,Carlisle,2,1,0.3125,0.29411764705882354,0.45454545454545453,1011,Walsall1011,Carlisle1011,E21011,0.06116310160427818,0.2944881889763779,0.27716535433070866,0.4283464566929133,Man City,Everton,3,0
244,E2,01/01/11,Walsall,Notts County,0,3,0.3333333333333333,0.3076923076923077,0.42016806722689076,1011,Walsall1011,Notts County1011,E21011,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Portsmouth,Sunderland,0,3
278,E2,15/01/11,Walsall,Huddersfield,2,4,0.2777777777777778,0.2857142857142857,0.5,1011,Walsall1011,Huddersfield1011,E21011,0.06349206349206349,0.2611940298507463,0.26865671641791045,0.4701492537313433,Portsmouth,Birmingham,0,3
299,E2,25/01/11,Walsall,Oldham,1,1,0.35714285714285715,0.3076923076923077,0.4,1011,Walsall1011,Oldham1011,E21011,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Chelsea,Blackburn,1,1
305,E2,29/01/11,Walsall,Bristol Rvs,6,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,1011,Walsall1011,Bristol Rvs1011,E21011,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Man City,Everton,3,0
342,E2,12/02/11,Walsall,Bournemouth,0,1,0.3472222222222222,0.29411764705882354,0.42016806722689076,1011,Walsall1011,Bournemouth1011,E21011,0.06150793650793651,0.32710280373831774,0.27707531610775155,0.3958218801539307,Sunderland,Burnley,0,3
348,E2,15/02/11,Walsall,Dag and Red,1,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,1011,Walsall1011,Dag and Red1011,E21011,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Arsenal,Man City,3,0
