,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
9,E1,08/08/09,Watford,Doncaster,1,1,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Watford0910,Doncaster0910,E10910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,Liverpool,Tottenham,1,1
45,E1,22/08/09,Watford,Blackpool,2,2,0.47619047619047616,0.3076923076923077,0.2777777777777778,0910,Watford0910,Blackpool0910,E10910,0.061660561660561664,0.4485336400230017,0.2898217366302473,0.26164462334675104,Fulham,Everton,1,1
69,E1,12/09/09,Watford,Barnsley,1,0,0.5235602094240838,0.30303030303030304,0.23809523809523808,0910,Watford0910,Barnsley0910,E10910,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Man United,Sunderland,3,0
94,E1,19/09/09,Watford,Leicester,3,3,0.4,0.3125,0.3472222222222222,0910,Watford0910,Leicester0910,E10910,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Man City,Fulham,1,1
116,E1,29/09/09,Watford,Coventry,2,3,0.5,0.30303030303030304,0.26666666666666666,0910,Watford0910,Coventry0910,E10910,0.06969696969696959,0.4674220963172805,0.28328611898017003,0.2492917847025496,Liverpool,Birmingham,0,3
130,E1,03/10/09,Watford,Cardiff,0,4,0.36363636363636365,0.30303030303030304,0.4,0910,Watford0910,Cardiff0910,E10910,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Blackburn,Stoke,0,3
155,E1,23/10/09,Watford,Sheffield Weds,4,1,0.42016806722689076,0.3076923076923077,0.3333333333333333,0910,Watford0910,Sheffield Weds0910,E10910,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Stoke,Wigan,3,0
190,E1,07/11/09,Watford,Preston,2,0,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Watford0910,Preston0910,E10910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Tottenham,West Ham,3,0
201,E1,21/11/09,Watford,Scunthorpe,3,0,0.5555555555555556,0.2777777777777778,0.2222222222222222,0910,Watford0910,Scunthorpe0910,E10910,0.05555555555555558,0.5263157894736842,0.2631578947368421,0.21052631578947367,Man City,Everton,3,0
227,E1,07/12/09,Watford,QPR,3,1,0.4166666666666667,0.30303030303030304,0.3472222222222222,0910,Watford0910,QPR0910,E10910,0.06691919191919204,0.3905325443786982,0.2840236686390532,0.32544378698224846,Arsenal,Man United,3,0
248,E1,12/12/09,Watford,Derby,0,1,0.5235602094240838,0.29411764705882354,0.25,0910,Watford0910,Derby0910,E10910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Blackburn,Hull,0,3
269,E1,26/12/09,Watford,Nott'm Forest,0,0,0.3225806451612903,0.3225806451612903,0.42016806722689076,0910,Watford0910,Nott'm Forest0910,E10910,0.06532935754947133,0.30279898218829515,0.30279898218829515,0.3944020356234097,Arsenal,Stoke,1,1
325,E1,02/02/10,Watford,Sheffield United,3,0,0.3448275862068966,0.30303030303030304,0.42016806722689076,0910,Watford0910,Sheffield United0910,E10910,0.06802595646409038,0.3228644248951739,0.28372934308969827,0.39340623201512787,Everton,West Ham,3,0
349,E1,09/02/10,Watford,Bristol City,2,0,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Watford0910,Bristol City0910,E10910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Bolton,Portsmouth,3,0
393,E1,27/02/10,Watford,Newcastle,1,2,0.25,0.29411764705882354,0.5235602094240838,0910,Watford0910,Newcastle0910,E10910,0.06767785648290747,0.2341530251676642,0.27547414725607555,0.4903728275762601,Cardiff,Blackpool,0,3
411,E1,09/03/10,Watford,Swansea,0,1,0.35714285714285715,0.3076923076923077,0.4,0910,Watford0910,Swansea0910,E10910,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Cardiff,Plymouth,0,3
424,E1,13/03/10,Watford,Peterboro,0,1,0.5780346820809249,0.2857142857142857,0.2,0910,Watford0910,Peterboro0910,E10910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Sheffield Weds,Scunthorpe,0,3
436,E1,16/03/10,Watford,Ipswich,2,1,0.4166666666666667,0.3076923076923077,0.3448275862068966,0910,Watford0910,Ipswich0910,E10910,0.06918656056587102,0.3897043622079801,0.28778168286127764,0.3225139549307422,Sheffield United,West Brom,3,0
471,E1,27/03/10,Watford,Middlesbrough,1,1,0.36363636363636365,0.3125,0.3846153846153846,0910,Watford0910,Middlesbrough0910,E10910,0.06075174825174834,0.34281005356407085,0.2946023897816234,0.36258755665430564,Nott'm Forest,Blackpool,1,1
476,E1,30/03/10,Watford,Crystal Palace,1,3,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Watford0910,Crystal Palace0910,E10910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Middlesbrough,Coventry,0,3
500,E1,05/04/10,Watford,West Brom,1,1,0.25,0.29411764705882354,0.5235602094240838,0910,Watford0910,West Brom0910,E10910,0.06767785648290747,0.2341530251676642,0.27547414725607555,0.4903728275762601,Coventry,Leicester,1,1
512,E1,10/04/10,Watford,Plymouth,1,0,0.5,0.29411764705882354,0.26666666666666666,0910,Watford0910,Plymouth0910,E10910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Bristol City,Peterboro,3,0
538,E1,24/04/10,Watford,Reading,3,0,0.3846153846153846,0.30303030303030304,0.3846153846153846,0910,Watford0910,Reading0910,E10910,0.07226107226107215,0.358695652173913,0.28260869565217395,0.358695652173913,Crystal Palace,Nott'm Forest,3,0
22,E1,15/08/09,Sheffield United,Watford,2,0,0.5988023952095809,0.2777777777777778,0.18181818181818182,0910,Sheffield United0910,Watford0910,E10910,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Everton,Burnley,3,0
29,E1,18/08/09,Nott'm Forest,Watford,2,4,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Nott'm Forest0910,Watford0910,E10910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Man United,Arsenal,0,3
57,E1,29/08/09,Swansea,Watford,1,1,0.47619047619047616,0.3076923076923077,0.2857142857142857,0910,Swansea0910,Watford0910,E10910,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Aston Villa,Blackburn,1,1
76,E1,15/09/09,Plymouth,Watford,0,1,0.4166666666666667,0.29411764705882354,0.35714285714285715,0910,Plymouth0910,Watford0910,E10910,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,Arsenal,Birmingham,0,3
101,E1,26/09/09,Reading,Watford,1,1,0.47619047619047616,0.3076923076923077,0.2857142857142857,0910,Reading0910,Watford0910,E10910,0.06959706959706957,0.4452054794520548,0.28767123287671237,0.2671232876712329,Man United,Blackburn,1,1
137,E1,17/10/09,Middlesbrough,Watford,0,1,0.6172839506172839,0.26666666666666666,0.18181818181818182,0910,Middlesbrough0910,Watford0910,E10910,0.06576879910213251,0.5791912384161751,0.2502106149957877,0.17059814658803707,Liverpool,Everton,0,3
