,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
15,E0,21/08/10,West Ham,Bolton,1,3,0.4444444444444444,0.30303030303030304,0.3076923076923077,1011,West Ham1011,Bolton1011,E01011,0.05516705516705511,0.4212076583210604,0.2871870397643594,0.2916053019145803,Liverpool,Stoke,0,3
36,E0,11/09/10,West Ham,Chelsea,1,3,0.1,0.2,0.7518796992481203,1011,West Ham1011,Chelsea1011,E01011,0.0518796992481203,0.09506790564689065,0.1901358112937813,0.7147962830593281,Blackburn,Wolves,0,3
56,E0,25/09/10,West Ham,Tottenham,1,0,0.2857142857142857,0.29411764705882354,0.47619047619047616,1011,West Ham1011,Tottenham1011,E01011,0.056022408963585235,0.27055702917771884,0.2785145888594165,0.4509283819628648,Birmingham,Bolton,3,0
65,E0,02/10/10,West Ham,Fulham,1,1,0.4444444444444444,0.3076923076923077,0.30303030303030304,1011,West Ham1011,Fulham1011,E01011,0.05516705516705511,0.4212076583210604,0.2916053019145803,0.2871870397643594,Man City,West Ham,1,1
85,E0,23/10/10,West Ham,Newcastle,1,2,0.42016806722689076,0.3076923076923077,0.3225806451612903,1011,West Ham1011,Newcastle1011,E01011,0.050441020080488785,0.39999205971097346,0.2929172621883437,0.30709067810068286,Fulham,Hull,0,3
117,E0,10/11/10,West Ham,West Brom,2,2,0.4347826086956522,0.3076923076923077,0.3125,1011,West Ham1011,West Brom1011,E01011,0.054974916387959816,0.41212601545472566,0.2916584109371904,0.29621557360808404,Birmingham,Fulham,1,1
125,E0,13/11/10,West Ham,Blackpool,0,0,0.5235602094240838,0.2777777777777778,0.25,1011,West Ham1011,Blackpool1011,E01011,0.05133798720186156,0.49799419006778256,0.2642135841748513,0.23779222575736617,Stoke,Portsmouth,1,1
146,E0,27/11/10,West Ham,Wigan,3,1,0.5,0.2857142857142857,0.26666666666666666,1011,West Ham1011,Wigan1011,E01011,0.05238095238095242,0.4751131221719457,0.27149321266968324,0.25339366515837103,Wolves,Bolton,3,0
164,E0,11/12/10,West Ham,Man City,1,3,0.2222222222222222,0.2777777777777778,0.5555555555555556,1011,West Ham1011,Man City1011,E01011,0.05555555555555558,0.21052631578947367,0.2631578947368421,0.5263157894736842,Chelsea,Portsmouth,0,3
186,E0,28/12/10,West Ham,Everton,1,1,0.29411764705882354,0.3125,0.4444444444444444,1011,West Ham1011,Everton1011,E01011,0.051062091503268014,0.27982899339292655,0.29731830547998445,0.42285270112708895,Blackburn,Sunderland,1,1
197,E0,01/01/11,West Ham,Wolves,2,0,0.5,0.29411764705882354,0.2631578947368421,1011,West Ham1011,Wolves1011,E01011,0.05727554179566563,0.47291361639824303,0.2781844802342606,0.24890190336749632,Arsenal,Everton,3,0
215,E0,15/01/11,West Ham,Arsenal,0,3,0.16666666666666666,0.25,0.6369426751592356,1011,West Ham1011,Arsenal1011,E01011,0.05360934182590227,0.15818639798488665,0.23727959697732998,0.6045340050377834,Liverpool,Wolves,0,3
253,E0,06/02/11,West Ham,Birmingham,0,1,0.5,0.2857142857142857,0.26666666666666666,1011,West Ham1011,Birmingham1011,E01011,0.05238095238095242,0.4751131221719457,0.27149321266968324,0.25339366515837103,Wigan,Bolton,0,3
274,E0,27/02/11,West Ham,Liverpool,3,1,0.29411764705882354,0.30303030303030304,0.45454545454545453,1011,West Ham1011,Liverpool1011,E01011,0.051693404634581164,0.2796610169491525,0.288135593220339,0.43220338983050843,West Ham,Bolton,3,0
283,E0,05/03/11,West Ham,Stoke,3,0,0.4444444444444444,0.30303030303030304,0.3076923076923077,1011,West Ham1011,Stoke1011,E01011,0.05516705516705511,0.4212076583210604,0.2871870397643594,0.2916053019145803,Burnley,Wolves,3,0
304,E0,02/04/11,West Ham,Man United,2,4,0.2222222222222222,0.2777777777777778,0.5555555555555556,1011,West Ham1011,Man United1011,E01011,0.05555555555555558,0.21052631578947367,0.2631578947368421,0.5263157894736842,Blackburn,Birmingham,0,3
322,E0,16/04/11,West Ham,Aston Villa,1,2,0.4444444444444444,0.30303030303030304,0.3076923076923077,1011,West Ham1011,Aston Villa1011,E01011,0.05516705516705511,0.4212076583210604,0.2871870397643594,0.2916053019145803,Stoke,Hull,0,3
354,E0,07/05/11,West Ham,Blackburn,1,1,0.5128205128205129,0.2777777777777778,0.2631578947368421,1011,West Ham1011,Blackburn1011,E01011,0.05375618533513271,0.4866595517609392,0.26360725720384204,0.24973319103521877,Aston Villa,Birmingham,1,1
378,E0,22/05/11,West Ham,Sunderland,0,3,0.5,0.2857142857142857,0.26666666666666666,1011,West Ham1011,Sunderland1011,E01011,0.05238095238095242,0.4751131221719457,0.27149321266968324,0.25339366515837103,Man City,West Ham,0,3
0,E0,14/08/10,Aston Villa,West Ham,3,0,0.5,0.30303030303030304,0.25,1011,Aston Villa1011,West Ham1011,E01011,0.05303030303030298,0.47482014388489213,0.2877697841726619,0.23741007194244607,Aston Villa,Wigan,3,0
23,E0,28/08/10,Man United,West Ham,3,0,0.8771929824561404,0.125,0.05263157894736842,1011,Man United1011,West Ham1011,E01011,0.054824561403508776,0.8316008316008316,0.1185031185031185,0.04989604989604989,Chelsea,Fulham,3,0
