,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
6,E0,14/08/10,Wigan,Blackpool,0,4,0.5464480874316939,0.2857142857142857,0.2222222222222222,1011,Wigan1011,Blackpool1011,E01011,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Stoke,Burnley,0,3
16,E0,21/08/10,Wigan,Chelsea,0,6,0.06666666666666667,0.16666666666666666,0.819672131147541,1011,Wigan1011,Chelsea1011,E01011,0.0530054644808744,0.06331084587441618,0.15827711468604044,0.7784120394395433,Arsenal,Portsmouth,0,3
37,E0,11/09/10,Wigan,Sunderland,1,1,0.4,0.3076923076923077,0.3472222222222222,1011,Wigan1011,Sunderland1011,E01011,0.05491452991452994,0.3791776382418473,0.29167510633988253,0.32914725541827017,Liverpool,Burnley,1,1
49,E0,19/09/10,Wigan,Man City,0,2,0.2,0.2777777777777778,0.5780346820809249,1011,Wigan1011,Man City1011,E01011,0.055812459858702645,0.1894275807530872,0.26309386215706554,0.5474785570898474,Sunderland,Burnley,0,3
66,E0,02/10/10,Wigan,Wolves,2,0,0.4444444444444444,0.3076923076923077,0.30303030303030304,1011,Wigan1011,Wolves1011,E01011,0.05516705516705511,0.4212076583210604,0.2916053019145803,0.2871870397643594,Tottenham,Bolton,3,0
86,E0,23/10/10,Wigan,Bolton,1,1,0.42016806722689076,0.3076923076923077,0.3225806451612903,1011,Wigan1011,Bolton1011,E01011,0.050441020080488785,0.39999205971097346,0.2929172621883437,0.30709067810068286,Sunderland,Birmingham,1,1
118,E0,10/11/10,Wigan,Liverpool,1,1,0.21052631578947367,0.2777777777777778,0.5714285714285714,1011,Wigan1011,Liverpool1011,E01011,0.05973266499582275,0.19865983445013796,0.2621206148994876,0.5392195506503745,Aston Villa,Burnley,1,1
126,E0,13/11/10,Wigan,West Brom,1,0,0.4,0.3076923076923077,0.3472222222222222,1011,Wigan1011,West Brom1011,E01011,0.05491452991452994,0.3791776382418473,0.29167510633988253,0.32914725541827017,Tottenham,Wigan,3,0
155,E0,04/12/10,Wigan,Stoke,2,2,0.36363636363636365,0.3125,0.3802281368821293,1011,Wigan1011,Stoke1011,E01011,0.056364500518492955,0.3442337975744933,0.2958259197905802,0.3599402826349265,Stoke,Wigan,1,1
189,E0,29/12/10,Wigan,Arsenal,2,2,0.15384615384615385,0.23809523809523808,0.6666666666666666,1011,Wigan1011,Arsenal1011,E01011,0.05860805860805862,0.1453287197231834,0.22491349480968856,0.629757785467128,Stoke,Birmingham,1,1
