,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,Win,Draw,WinStreak,UndefStreak
0,E0,15/08/09,Wolves,West Ham,0,2,0.3802281368821293,0.30303030303030304,0.37037037037037035,0910,Wolves0910,West Ham0910,E00910,0.05362881028280286,0.3608748481166464,0.28760631834750905,0.3515188335358444,Wolves,West Ham,0,3,0,0,0,0
1,E0,18/08/09,Wigan,Wolves,0,1,0.5780346820809249,0.2777777777777778,0.19047619047619047,0910,Wigan0910,Wolves0910,E00910,0.046288650334893156,0.5524619634322796,0.2654886657605121,0.1820493708072083,Wigan,Wolves,0,3,1,0,0,0
2,E0,22/08/09,Man City,Wolves,1,0,0.7518796992481203,0.2222222222222222,0.08333333333333333,0910,Man City0910,Wolves0910,E00910,0.05743525480367584,0.7110408848508789,0.2101520837448153,0.07880703140430574,Man City,Wolves,3,0,0,0,1,1
3,E0,29/08/09,Wolves,Hull,1,1,0.47619047619047616,0.30303030303030304,0.2777777777777778,0910,Wolves0910,Hull0910,E00910,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Wolves,Hull,1,1,0,1,0,0
4,E0,12/09/09,Blackburn,Wolves,3,1,0.5464480874316939,0.2857142857142857,0.2222222222222222,0910,Blackburn0910,Wolves0910,E00910,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Blackburn,Wolves,3,0,0,0,0,1
5,E0,20/09/09,Wolves,Fulham,2,1,0.4,0.3076923076923077,0.3472222222222222,0910,Wolves0910,Fulham0910,E00910,0.05491452991452994,0.3791776382418473,0.29167510633988253,0.32914725541827017,Wolves,Fulham,3,0,1,0,0,0
6,E0,27/09/09,Sunderland,Wolves,5,2,0.5780346820809249,0.2777777777777778,0.2,0910,Sunderland0910,Wolves0910,E00910,0.055812459858702645,0.5474785570898474,0.26309386215706554,0.1894275807530872,Sunderland,Wolves,3,0,0,0,1,1
7,E0,03/10/09,Wolves,Portsmouth,0,1,0.5,0.29411764705882354,0.2631578947368421,0910,Wolves0910,Portsmouth0910,E00910,0.05727554179566563,0.47291361639824303,0.2781844802342606,0.24890190336749632,Wolves,Portsmouth,0,3,0,0,0,0
8,E0,17/10/09,Everton,Wolves,1,1,0.6944444444444444,0.23809523809523808,0.15384615384615385,0910,Everton0910,Wolves0910,E00910,0.08638583638583652,0.6392245012644,0.21916268614779427,0.14161281258780556,Everton,Wolves,1,1,0,1,0,0
9,E0,24/10/09,Wolves,Aston Villa,1,1,0.2857142857142857,0.3125,0.45454545454545453,0910,Wolves0910,Aston Villa0910,E00910,0.05275974025974017,0.27139552814186585,0.2968388589051658,0.4317656129529684,Aston Villa,Wolves,1,1,0,1,0,1
