,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
7,E0,14/08/10,Wolves,Stoke,2,1,0.4347826086956522,0.3076923076923077,0.3125,1011,Wolves1011,Stoke1011,E01011,0.054974916387959816,0.41212601545472566,0.2916584109371904,0.29621557360808404,Wolves,West Ham,3,0
25,E0,28/08/10,Wolves,Newcastle,1,1,0.4166666666666667,0.3125,0.3225806451612903,1011,Wolves1011,Newcastle1011,E01011,0.051747311827957,0.39616613418530355,0.2971246006389776,0.30670926517571884,Liverpool,Aston Villa,1,1
59,E0,26/09/10,Wolves,Aston Villa,1,2,0.3472222222222222,0.3076923076923077,0.4,1011,Wolves1011,Aston Villa1011,E01011,0.05491452991452994,0.32914725541827017,0.29167510633988253,0.3791776382418473,Liverpool,Hull,0,3
76,E0,16/10/10,Wolves,West Ham,1,1,0.4444444444444444,0.3125,0.29411764705882354,1011,Wolves1011,West Ham1011,E01011,0.051062091503268014,0.42285270112708895,0.29731830547998445,0.27982899339292655,Arsenal,Birmingham,1,1
95,E0,30/10/10,Wolves,Man City,2,1,0.18181818181818182,0.29411764705882354,0.5780346820809249,1011,Wolves1011,Man City1011,E01011,0.05397051095793026,0.1725078452649793,0.2790568085168783,0.5484353462181424,Arsenal,West Ham,3,0
119,E0,10/11/10,Wolves,Arsenal,0,2,0.18181818181818182,0.2777777777777778,0.5988023952095809,1011,Wolves1011,Arsenal1011,E01011,0.05839835480554045,0.17178615309883705,0.26245106723433437,0.5657627796668286,Chelsea,Wolves,0,3
127,E0,13/11/10,Wolves,Bolton,2,3,0.4166666666666667,0.3225806451612903,0.3125,1011,Wolves1011,Bolton1011,E01011,0.051747311827957,0.39616613418530355,0.30670926517571884,0.2971246006389776,Fulham,Blackburn,0,3
147,E0,27/11/10,Wolves,Sunderland,3,2,0.3846153846153846,0.3125,0.35714285714285715,1011,Wolves1011,Sunderland1011,E01011,0.05425824175824179,0.3648208469055374,0.29641693811074915,0.33876221498371334,Tottenham,Everton,3,0
167,E0,12/12/10,Wolves,Birmingham,1,0,0.4166666666666667,0.3076923076923077,0.3333333333333333,1011,Wolves1011,Birmingham1011,E01011,0.05769230769230771,0.393939393939394,0.2909090909090909,0.3151515151515151,Arsenal,Hull,3,0
178,E0,26/12/10,Wolves,Wigan,1,2,0.47619047619047616,0.30303030303030304,0.2777777777777778,1011,Wolves1011,Wigan1011,E01011,0.05699855699855716,0.4505119453924914,0.28668941979522183,0.26279863481228666,Tottenham,Fulham,0,3
209,E0,05/01/11,Wolves,Chelsea,1,0,0.125,0.23809523809523808,0.6944444444444444,1011,Wolves1011,Chelsea1011,E01011,0.05753968253968256,0.11819887429643527,0.225140712945591,0.6566604127579737,Arsenal,Bolton,3,0
228,E0,22/01/11,Wolves,Liverpool,0,3,0.29411764705882354,0.3125,0.4444444444444444,1011,Wolves1011,Liverpool1011,E01011,0.051062091503268014,0.27982899339292655,0.29731830547998445,0.42285270112708895,Man City,Portsmouth,0,3
251,E0,05/02/11,Wolves,Man United,2,1,0.11764705882352941,0.2222222222222222,0.7142857142857143,1011,Wolves1011,Man United1011,E01011,0.05415499533146595,0.11160318866253321,0.21080602302922938,0.6775907883082374,Tottenham,Wolves,3,0
272,E0,26/02/11,Wolves,Blackpool,4,0,0.5464480874316939,0.2777777777777778,0.23094688221709006,1011,Wolves1011,Blackpool1011,E01011,0.05517274742656175,0.517875474669351,0.2632533662902535,0.2188711590403955,Tottenham,Everton,3,0
285,E0,06/03/11,Wolves,Tottenham,3,3,0.3333333333333333,0.30303030303030304,0.42016806722689076,1011,Wolves1011,Tottenham1011,E01011,0.05653170359052706,0.31549771029163654,0.28681610026512416,0.39768618944323936,Arsenal,Hull,1,1
314,E0,09/04/11,Wolves,Everton,0,3,0.3846153846153846,0.3076923076923077,0.35714285714285715,1011,Wolves1011,Everton1011,E01011,0.0494505494505495,0.3664921465968586,0.2931937172774869,0.3403141361256544,Burnley,Blackburn,0,3
334,E0,23/04/11,Wolves,Fulham,1,1,0.4,0.3076923076923077,0.3472222222222222,1011,Wolves1011,Fulham1011,E01011,0.05491452991452994,0.3791776382418473,0.29167510633988253,0.32914725541827017,Aston Villa,Everton,1,1
357,E0,08/05/11,Wolves,West Brom,3,1,0.47619047619047616,0.29411764705882354,0.2857142857142857,1011,Wolves1011,West Brom1011,E01011,0.056022408963585235,0.4509283819628648,0.2785145888594165,0.27055702917771884,Everton,Fulham,3,0
379,E0,22/05/11,Wolves,Blackburn,2,3,0.45454545454545453,0.3333333333333333,0.26666666666666666,1011,Wolves1011,Blackburn1011,E01011,0.05454545454545445,0.4310344827586207,0.3160919540229885,0.25287356321839083,Wolves,Sunderland,0,3
12,E0,21/08/10,Everton,Wolves,1,1,0.6666666666666666,0.25,0.14285714285714285,1011,Everton1011,Wolves1011,E01011,0.059523809523809534,0.6292134831460674,0.23595505617977527,0.1348314606741573,Birmingham,Portsmouth,1,1
32,E0,11/09/10,Fulham,Wolves,2,1,0.5464480874316939,0.2857142857142857,0.2222222222222222,1011,Fulham1011,Wolves1011,E01011,0.05438459536820184,0.5182625863770978,0.27097729516288255,0.21076011846001974,Wolves,Hull,3,0
45,E0,18/09/10,Tottenham,Wolves,3,1,0.7142857142857143,0.2222222222222222,0.11764705882352941,1011,Tottenham1011,Wolves1011,E01011,0.05415499533146595,0.6775907883082374,0.21080602302922938,0.11160318866253321,Fulham,Everton,3,0
66,E0,02/10/10,Wigan,Wolves,2,0,0.4444444444444444,0.3076923076923077,0.30303030303030304,1011,Wigan1011,Wolves1011,E01011,0.05516705516705511,0.4212076583210604,0.2916053019145803,0.2871870397643594,Tottenham,Bolton,3,0
