,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
23,E2,15/08/09,Wycombe,Leeds,0,1,0.2631578947368421,0.2857142857142857,0.5235602094240838,0910,Wycombe0910,Leeds0910,E20910,0.07243238987521172,0.24538413537422452,0.2664170612634438,0.48819880336233157,Chelsea,Fulham,0,3
35,E2,18/08/09,Wycombe,Southend,1,1,0.4,0.30303030303030304,0.36363636363636365,0910,Wycombe0910,Southend0910,E20910,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Man City,Portsmouth,1,1
59,E2,29/08/09,Wycombe,Bristol Rvs,2,1,0.35714285714285715,0.3076923076923077,0.4,0910,Wycombe0910,Bristol Rvs0910,E20910,0.06483516483516505,0.33539731682146534,0.2889576883384932,0.3756449948400412,Liverpool,Hull,3,0
95,E2,19/09/09,Wycombe,Milton Keynes Dons,0,1,0.2857142857142857,0.30303030303030304,0.47619047619047616,0910,Wycombe0910,Milton Keynes Dons0910,E20910,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Arsenal,West Ham,0,3
118,E2,29/09/09,Wycombe,Tranmere,0,1,0.47619047619047616,0.30303030303030304,0.2857142857142857,0910,Wycombe0910,Tranmere0910,E20910,0.06493506493506507,0.4471544715447154,0.2845528455284553,0.26829268292682923,Aston Villa,Burnley,0,3
130,E2,03/10/09,Wycombe,Leyton Orient,0,1,0.45454545454545453,0.29411764705882354,0.3125,0910,Wycombe0910,Leyton Orient0910,E20910,0.06116310160427796,0.42834645669291344,0.2771653543307087,0.29448818897637796,Blackburn,Stoke,0,3
152,E2,17/10/09,Wycombe,Colchester,1,1,0.26666666666666666,0.29411764705882354,0.5,0910,Wycombe0910,Colchester0910,E20910,0.0607843137254902,0.2513863216266174,0.27726432532347506,0.47134935304990755,Chelsea,Everton,1,1
178,E2,31/10/09,Wycombe,Walsall,2,3,0.4,0.30303030303030304,0.36363636363636365,0910,Wycombe0910,Walsall0910,E20910,0.06666666666666687,0.37499999999999994,0.28409090909090906,0.34090909090909083,Tottenham,Fulham,0,3
214,E2,24/11/09,Wycombe,Brentford,1,0,0.3846153846153846,0.3076923076923077,0.37037037037037035,0910,Wycombe0910,Brentford0910,E20910,0.06267806267806275,0.3619302949061662,0.28954423592493295,0.34852546916890076,Tottenham,Fulham,3,0
237,E2,05/12/09,Wycombe,Stockport,2,1,0.5,0.30303030303030304,0.2631578947368421,0910,Wycombe0910,Stockport0910,E20910,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Stoke,Blackburn,3,0
260,E2,19/12/09,Wycombe,Oldham,2,2,0.4,0.3125,0.3472222222222222,0910,Wycombe0910,Oldham0910,E20910,0.05972222222222223,0.3774574049803408,0.2948885976408912,0.327653997378768,Blackburn,Bolton,1,1
279,E2,28/12/09,Wycombe,Brighton,2,5,0.4166666666666667,0.29411764705882354,0.35714285714285715,0910,Wycombe0910,Brighton0910,E20910,0.06792717086834732,0.39016393442622954,0.2754098360655738,0.3344262295081967,Sunderland,Bolton,0,3
281,E2,02/01/10,Wycombe,Norwich,0,1,0.18181818181818182,0.2631578947368421,0.6172839506172839,0910,Wycombe0910,Norwich0910,E20910,0.06226002717230772,0.171161652671968,0.24773397097258523,0.5811043763554469,Everton,Birmingham,0,3
292,E2,16/01/10,Wycombe,Charlton,1,2,0.21052631578947367,0.2777777777777778,0.5780346820809249,0910,Wycombe0910,Charlton0910,E20910,0.06633877564817636,0.19742911033269403,0.26049674280008245,0.5420741468672235,Arsenal,West Ham,0,3
340,E2,06/02/10,Wycombe,Yeovil,1,4,0.42016806722689076,0.3076923076923077,0.3333333333333333,0910,Wycombe0910,Yeovil0910,E20910,0.06119370825253179,0.39593908629441626,0.2899492385786802,0.3141116751269035,Man United,Man City,0,3
371,E2,20/02/10,Wycombe,Millwall,1,0,0.29411764705882354,0.29411764705882354,0.47619047619047616,0910,Wycombe0910,Millwall0910,E20910,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Aston Villa,Blackburn,3,0
381,E2,23/02/10,Wycombe,Southampton,0,0,0.25,0.29411764705882354,0.5235602094240838,0910,Wycombe0910,Southampton0910,E20910,0.06767785648290747,0.2341530251676642,0.27547414725607555,0.4903728275762601,Cardiff,Scunthorpe,1,1
405,E2,06/03/10,Wycombe,Carlisle,0,0,0.3846153846153846,0.29411764705882354,0.3846153846153846,0910,Wycombe0910,Carlisle0910,E20910,0.06334841628959276,0.36170212765957444,0.2765957446808511,0.36170212765957444,Blackpool,Derby,1,1
437,E2,20/03/10,Wycombe,Exeter,2,2,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Wycombe0910,Exeter0910,E20910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Swansea,Watford,1,1
465,E2,03/04/10,Wycombe,Huddersfield,1,2,0.2857142857142857,0.30303030303030304,0.47619047619047616,0910,Wycombe0910,Huddersfield0910,E20910,0.06493506493506507,0.26829268292682923,0.2845528455284553,0.4471544715447154,Bristol City,Scunthorpe,0,3
489,E2,10/04/10,Wycombe,Hartlepool,2,0,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Wycombe0910,Hartlepool0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Cardiff,Derby,3,0
527,E2,24/04/10,Wycombe,Swindon,2,2,0.29411764705882354,0.29411764705882354,0.47619047619047616,0910,Wycombe0910,Swindon0910,E20910,0.06442577030812324,0.27631578947368424,0.27631578947368424,0.4473684210526316,Ipswich,Watford,1,1
551,E2,08/05/10,Wycombe,Gillingham,3,0,0.3333333333333333,0.3076923076923077,0.42016806722689076,0910,Wycombe0910,Gillingham0910,E20910,0.06119370825253179,0.3141116751269035,0.2899492385786802,0.39593908629441626,Ipswich,Derby,3,0
3,E2,08/08/09,Charlton,Wycombe,3,2,0.5988023952095809,0.2777777777777778,0.19047619047619047,0910,Charlton0910,Wycombe0910,E20910,0.06705636346354904,0.5611722264285397,0.26032156059323924,0.17850621297822117,Chelsea,Hull,3,0
44,E2,22/08/09,Norwich,Wycombe,5,2,0.5780346820809249,0.2857142857142857,0.2,0910,Norwich0910,Wycombe0910,E20910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Aston Villa,Birmingham,3,0
62,E2,05/09/09,Brighton,Wycombe,1,0,0.5,0.29411764705882354,0.2777777777777778,0910,Brighton0910,Wycombe0910,E20910,0.0718954248366015,0.46646341463414626,0.274390243902439,0.2591463414634146,Tottenham,Burnley,3,0
77,E2,12/09/09,Hartlepool,Wycombe,1,1,0.5235602094240838,0.29411764705882354,0.25,0910,Hartlepool0910,Wycombe0910,E20910,0.06767785648290725,0.4903728275762602,0.2754741472560756,0.23415302516766426,Chelsea,Aston Villa,1,1
105,E2,26/09/09,Swindon,Wycombe,1,1,0.5780346820809249,0.2777777777777778,0.21052631578947367,0910,Swindon0910,Wycombe0910,E20910,0.06633877564817636,0.5420741468672235,0.26049674280008245,0.19742911033269403,Man City,Birmingham,1,1
135,E2,10/10/09,Gillingham,Wycombe,3,2,0.5235602094240838,0.30303030303030304,0.23809523809523808,0910,Gillingham0910,Wycombe0910,E20910,0.064685750549625,0.4917509313464608,0.2846194784459819,0.22362959020755718,Wigan,Sunderland,3,0
