,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts
11,E2,08/08/09,Yeovil,Tranmere,2,0,0.4,0.3076923076923077,0.35714285714285715,0910,Yeovil0910,Tranmere0910,E20910,0.06483516483516483,0.3756449948400413,0.28895768833849333,0.33539731682146545,Wigan,Wolves,3,0
47,E2,22/08/09,Yeovil,Leyton Orient,3,3,0.42016806722689076,0.30303030303030304,0.3448275862068966,0910,Yeovil0910,Leyton Orient0910,E20910,0.06802595646409038,0.39340623201512787,0.28372934308969827,0.3228644248951739,Aston Villa,Portsmouth,1,1
71,E2,05/09/09,Yeovil,Swindon,0,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Yeovil0910,Swindon0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Arsenal,Blackburn,0,3
82,E2,12/09/09,Yeovil,Stockport,2,2,0.5,0.30303030303030304,0.2631578947368421,0910,Yeovil0910,Stockport0910,E20910,0.06618819776714502,0.4689603590127151,0.2842183994016455,0.2468212415856395,Liverpool,Sunderland,1,1
107,E2,26/09/09,Yeovil,Brentford,2,0,0.3846153846153846,0.30303030303030304,0.3802281368821293,0910,Yeovil0910,Brentford0910,E20910,0.06787382452781676,0.36016931568245014,0.2837697638710213,0.3560609204465287,Aston Villa,Bolton,3,0
140,E2,10/10/09,Yeovil,Brighton,2,2,0.3846153846153846,0.30303030303030304,0.3802281368821293,0910,Yeovil0910,Brighton0910,E20910,0.06787382452781676,0.36016931568245014,0.2837697638710213,0.3560609204465287,Aston Villa,Hull,1,1
153,E2,17/10/09,Yeovil,Carlisle,3,1,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Yeovil0910,Carlisle0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Blackburn,Hull,3,0
189,E2,14/11/09,Yeovil,Southend,1,0,0.4166666666666667,0.3076923076923077,0.3448275862068966,0910,Yeovil0910,Southend0910,E20910,0.06918656056587102,0.3897043622079801,0.28778168286127764,0.3225139549307422,Stoke,Birmingham,3,0
202,E2,21/11/09,Yeovil,Charlton,1,1,0.30303030303030304,0.3125,0.4444444444444444,0910,Yeovil0910,Charlton0910,E20910,0.0599747474747474,0.2858844550327576,0.2948183442525313,0.41929720071471116,Man United,Burnley,1,1
225,E2,01/12/09,Yeovil,Walsall,1,3,0.42016806722689076,0.29411764705882354,0.3448275862068966,0910,Yeovil0910,Walsall0910,E20910,0.059113300492610765,0.3967168262653899,0.2777017783857729,0.32558139534883723,West Ham,Blackburn,0,3
249,E2,12/12/09,Yeovil,Norwich,3,3,0.23094688221709006,0.2857142857142857,0.5464480874316939,0910,Yeovil0910,Norwich0910,E20910,0.06310925536306966,0.21723720403338773,0.2687534552755911,0.5140093406910212,Chelsea,Everton,1,1
269,E2,26/12/09,Yeovil,Wycombe,4,0,0.5,0.29411764705882354,0.26666666666666666,0910,Yeovil0910,Wycombe0910,E20910,0.0607843137254902,0.47134935304990755,0.27726432532347506,0.2513863216266174,Arsenal,Stoke,3,0
305,E2,23/01/10,Yeovil,Exeter,2,1,0.45454545454545453,0.30303030303030304,0.3076923076923077,0910,Yeovil0910,Exeter0910,E20910,0.06526806526806528,0.42669584245076586,0.2844638949671772,0.2888402625820569,Man City,Everton,3,0
326,E2,30/01/10,Yeovil,Huddersfield,0,1,0.3076923076923077,0.3076923076923077,0.4444444444444444,0910,Yeovil0910,Huddersfield0910,E20910,0.05982905982905984,0.2903225806451613,0.2903225806451613,0.4193548387096774,Fulham,Wigan,0,3
355,E2,13/02/10,Yeovil,Gillingham,0,0,0.5555555555555556,0.2857142857142857,0.2222222222222222,0910,Yeovil0910,Gillingham0910,E20910,0.06349206349206349,0.5223880597014926,0.26865671641791045,0.208955223880597,Liverpool,Burnley,1,1
359,E2,16/02/10,Yeovil,Colchester,0,1,0.36363636363636365,0.30303030303030304,0.4,0910,Yeovil0910,Colchester0910,E20910,0.06666666666666687,0.34090909090909083,0.28409090909090906,0.37499999999999994,Man City,Aston Villa,0,3
392,E2,27/02/10,Yeovil,Milton Keynes Dons,1,0,0.3802281368821293,0.30303030303030304,0.3846153846153846,0910,Yeovil0910,Milton Keynes Dons0910,E20910,0.06787382452781698,0.3560609204465286,0.28376976387102126,0.36016931568245003,Barnsley,Coventry,3,0
422,E2,13/03/10,Yeovil,Hartlepool,4,0,0.4444444444444444,0.30303030303030304,0.3125,0910,Yeovil0910,Hartlepool0910,E20910,0.0599747474747474,0.41929720071471116,0.2858844550327576,0.2948183442525313,QPR,Nott'm Forest,3,0
438,E2,20/03/10,Yeovil,Bristol Rvs,0,3,0.4166666666666667,0.30303030303030304,0.3448275862068966,0910,Yeovil0910,Bristol Rvs0910,E20910,0.0645245559038663,0.3914110429447853,0.2846625766871166,0.3239263803680982,Newcastle,Leicester,0,3
476,E2,05/04/10,Yeovil,Leeds,1,2,0.2777777777777778,0.2857142857142857,0.5,0910,Yeovil0910,Leeds0910,E20910,0.06349206349206349,0.2611940298507463,0.26865671641791045,0.4701492537313433,Middlesbrough,Coventry,0,3
501,E2,13/04/10,Yeovil,Millwall,1,1,0.23094688221709006,0.2857142857142857,0.5464480874316939,0910,Yeovil0910,Millwall0910,E20910,0.06310925536306966,0.21723720403338773,0.2687534552755911,0.5140093406910212,Crystal Palace,Blackpool,1,1
513,E2,17/04/10,Yeovil,Southampton,0,1,0.23094688221709006,0.2777777777777778,0.5555555555555556,0910,Yeovil0910,Southampton0910,E20910,0.0642802155504234,0.21699819168173598,0.26100060277275466,0.5220012055455093,Cardiff,Crystal Palace,0,3
539,E2,01/05/10,Yeovil,Oldham,3,0,0.47619047619047616,0.29411764705882354,0.29411764705882354,0910,Yeovil0910,Oldham0910,E20910,0.06442577030812324,0.4473684210526316,0.27631578947368424,0.27631578947368424,QPR,Derby,3,0
13,E2,15/08/09,Colchester,Yeovil,2,1,0.5780346820809249,0.2857142857142857,0.2,0910,Colchester0910,Yeovil0910,E20910,0.06374896779521055,0.5433938829374321,0.2685918335662164,0.18801428349635152,Man United,Burnley,3,0
26,E2,18/08/09,Exeter,Yeovil,1,1,0.47619047619047616,0.29411764705882354,0.2857142857142857,0910,Exeter0910,Yeovil0910,E20910,0.056022408963585235,0.4509283819628648,0.2785145888594165,0.27055702917771884,Blackburn,West Ham,1,1
53,E2,29/08/09,Huddersfield,Yeovil,2,1,0.6369426751592356,0.25,0.16666666666666666,0910,Huddersfield0910,Yeovil0910,E20910,0.05360934182590227,0.6045340050377834,0.23727959697732998,0.15818639798488665,Everton,Blackburn,3,0
92,E2,19/09/09,Southampton,Yeovil,2,0,0.5988023952095809,0.2777777777777778,0.18181818181818182,0910,Southampton0910,Yeovil0910,E20910,0.05839835480554045,0.5657627796668286,0.26245106723433437,0.17178615309883705,Bolton,Everton,3,0
112,E2,29/09/09,Millwall,Yeovil,0,0,0.5988023952095809,0.2857142857142857,0.18181818181818182,0910,Millwall0910,Yeovil0910,E20910,0.06633486274204836,0.5615519253208868,0.26794049008168025,0.1705075845974329,Chelsea,Man United,1,1
